Index,Name,Dataset,Found Names,Found Name IDs,Match Type,Edit Distance,Query Time,ChEMBL,Manual normalization
19,Abexinostat (PCI-24781),SrivatsanTrapnell2020_sciplex3,"['abexinostat', 'pci24781']","[['CHEMBL2103863'], ['CHEMBL2103863']]",substring,,0.0001504180000004,CHEMBL2103863,unique-id
20,Alisertib (MLN8237),SrivatsanTrapnell2020_sciplex3,"['alisertib', 'mln8237']","[['CHEMBL483158'], ['CHEMBL483158']]",substring,,8.915999999814517e-05,CHEMBL483158,unique-id
22,Obatoclax Mesylate (GX15-070),SrivatsanTrapnell2020_sciplex3,"['gx15070', 'obatoclax']","[['CHEMBL408194'], ['CHEMBL2107358', 'CHEMBL408194']]",substring,,0.000103353,CHEMBL408194,majority-voting
23,Enzastaurin (LY317615),SrivatsanTrapnell2020_sciplex3,"['enzastaurin', 'ly317615']","[['CHEMBL300138'], ['CHEMBL300138']]",substring,,8.242799999891304e-05,CHEMBL300138,unique-id
31,Iniparib (BSI-201),SrivatsanTrapnell2020_sciplex3,"['bsi201', 'iniparib']","[['CHEMBL1170047'], ['CHEMBL1170047']]",substring,,0.0001357639999994,CHEMBL1170047,unique-id
32,Lenalidomide (CC-5013),SrivatsanTrapnell2020_sciplex3,"['cc5013', 'lenalidomide']","[['CHEMBL848'], ['CHEMBL848']]",substring,,8.988600000137126e-05,CHEMBL848,unique-id
41,Tanespimycin (17-AAG),SrivatsanTrapnell2020_sciplex3,"['17aag', 'tanespimycin']","[['CHEMBL109480'], ['CHEMBL109480']]",substring,,9.319599999813022e-05,CHEMBL109480,unique-id
42,Roxadustat (FG-4592),SrivatsanTrapnell2020_sciplex3,"['fg4592', 'roxadustat']","[['CHEMBL2338329'], ['CHEMBL2338329']]",substring,,8.916999999897257e-05,CHEMBL2338329,unique-id
43,"Patupilone (EPO906, Epothilone B)",SrivatsanTrapnell2020_sciplex3,"['epo906', 'patupilone']","[['CHEMBL94657'], ['CHEMBL94657']]",substring,,9.3073000002164e-05,CHEMBL94657,unique-id
45,Dacinostat (LAQ824),SrivatsanTrapnell2020_sciplex3,"['dacinostat', 'laq824']","[['CHEMBL356066'], ['CHEMBL356066']]",substring,,9.110700000292128e-05,CHEMBL356066,unique-id
49,Linifanib (ABT-869),SrivatsanTrapnell2020_sciplex3,"['abt869', 'linifanib']","[['CHEMBL223360'], ['CHEMBL223360']]",substring,,9.303499999901987e-05,CHEMBL223360,unique-id
53,JNJ-26854165 (Serdemetan),SrivatsanTrapnell2020_sciplex3,"['jnj26854165', 'serdemetan']","[['CHEMBL2137530'], ['CHEMBL2137530']]",substring,,0.0001187000000015,CHEMBL2137530,unique-id
59,Momelotinib (CYT387),SrivatsanTrapnell2020_sciplex3,"['cyt387', 'momelotinib']","[['CHEMBL1078178', 'CHEMBL2219411'], ['CHEMBL1078178']]",substring,,0.0001300299999975,CHEMBL1078178,majority-voting
62,"Roscovitine (Seliciclib,CYC202)",SrivatsanTrapnell2020_sciplex3,['roscovitine'],[['CHEMBL14762']],substring,,7.026099999762891e-05,CHEMBL14762,unique-id
63,MK-5108 (VX-689),SrivatsanTrapnell2020_sciplex3,"['mk5108', 'vx689']","[['CHEMBL3182444'], ['CHEMBL3182444']]",substring,,9.254500000110966e-05,CHEMBL3182444,unique-id
64,Tucidinostat (Chidamide),SrivatsanTrapnell2020_sciplex3,"['chidamide', 'tucidinostat']","[['CHEMBL3621988'], ['CHEMBL3621988']]",substring,,8.660199999965812e-05,CHEMBL3621988,unique-id
71,Nintedanib (BIBF 1120),SrivatsanTrapnell2020_sciplex3,['nintedanib'],[['CHEMBL502835']],substring,,0.0001193019999981,CHEMBL502835,unique-id
72,Trametinib (GSK1120212),SrivatsanTrapnell2020_sciplex3,"['gsk1120212', 'trametinib']","[['CHEMBL2103875'], ['CHEMBL2103875']]",substring,,9.005999999800451e-05,CHEMBL2103875,unique-id
74,Panobinostat (LBH589),SrivatsanTrapnell2020_sciplex3,"['lbh589', 'panobinostat']","[['CHEMBL483254'], ['CHEMBL483254']]",substring,,0.0002250590000016,CHEMBL483254,unique-id
76,ENMD-2076 L-(+)-Tartaric acid ,SrivatsanTrapnell2020_sciplex3,['enmd2076'],"[['CHEMBL482968', 'CHEMBL52885']]",substring,,8.125800000158279e-05,CHEMBL482968;CHEMBL52885,majority-voting
77,Avagacestat (BMS-708163),SrivatsanTrapnell2020_sciplex3,"['avagacestat', 'bms708163']","[['CHEMBL1090771'], ['CHEMBL1090771']]",substring,,9.020099999901277e-05,CHEMBL1090771,unique-id
80,Fasudil (HA-1077) HCl,SrivatsanTrapnell2020_sciplex3,"['fasudil', 'ha1077']","[['CHEMBL38380', 'CHEMBL541388'], ['CHEMBL38380']]",substring,,0.0001040199999984,CHEMBL38380,majority-voting
81,Trichostatin A (TSA),SrivatsanTrapnell2020_sciplex3,['trichostatin'],[['CHEMBL99']],substring,,7.46720000002199e-05,CHEMBL99,unique-id
83,Crizotinib (PF-02341066),SrivatsanTrapnell2020_sciplex3,"['crizotinib', 'pf02341066']","[['CHEMBL601719'], ['CHEMBL601719']]",substring,,8.824700000076291e-05,CHEMBL601719,unique-id
84,Navitoclax (ABT-263),SrivatsanTrapnell2020_sciplex3,"['abt263', 'navitoclax']","[['CHEMBL443684'], ['CHEMBL443684']]",substring,,8.600500000000011e-05,CHEMBL443684,unique-id
86,Barasertib (AZD1152-HQPA),SrivatsanTrapnell2020_sciplex3,"['azd1152hqpa', 'barasertib']","[['CHEMBL215152'], ['CHEMBL215152', 'CHEMBL415049']]",substring,,0.0001233719999973,CHEMBL215152,majority-voting
89,"Fluorouracil (5-Fluoracil, 5-FU)",SrivatsanTrapnell2020_sciplex3,"['5fu', 'fluorouracil']","[['CHEMBL185'], ['CHEMBL185']]",substring,,9.877399999780324e-05,CHEMBL185,unique-id
90,Quisinostat (JNJ-26481585) 2HCl,SrivatsanTrapnell2020_sciplex3,"['jnj26481585', 'quisinostat']","[['CHEMBL2105763', 'CHEMBL3039527'], ['CHEMBL2105763']]",substring,,9.24940000004426e-05,CHEMBL2105763,majority-voting
91,"Tozasertib (VX-680, MK-0457)",SrivatsanTrapnell2020_sciplex3,"['mk0457', 'tozasertib', 'vx680']","[['CHEMBL2105657', 'CHEMBL572878'], ['CHEMBL572878'], ['CHEMBL2105657', 'CHEMBL572878']]",substring,,0.0001161869999997,CHEMBL572878,majority-voting
92,Gandotinib (LY2784544),SrivatsanTrapnell2020_sciplex3,"['gandotinib', 'ly2784544']","[['CHEMBL2107823'], ['CHEMBL2107823']]",substring,,8.703399999987482e-05,CHEMBL2107823,unique-id
94,"Temsirolimus (CCI-779, NSC 683864)",SrivatsanTrapnell2020_sciplex3,"['cci779', 'temsirolimus']","[['CHEMBL1201182'], ['CHEMBL1201182']]",substring,,0.0001205130000023,CHEMBL1201182,unique-id
97,SRT2104 (GSK2245840),SrivatsanTrapnell2020_sciplex3,['srt2104'],[['CHEMBL4297436']],substring,,6.815199999721244e-05,CHEMBL4297436,unique-id
100,Belinostat (PXD101),SrivatsanTrapnell2020_sciplex3,"['belinostat', 'pxd101']","[['CHEMBL408513'], ['CHEMBL408513']]",substring,,0.0001285750000015,CHEMBL408513,unique-id
102,Ruxolitinib (INCB018424),SrivatsanTrapnell2020_sciplex3,"['incb018424', 'ruxolitinib']","[['CHEMBL1789941'], ['CHEMBL1789941']]",substring,,8.872300000106748e-05,CHEMBL1789941,unique-id
104,Bosutinib (SKI-606),SrivatsanTrapnell2020_sciplex3,"['bosutinib', 'ski606']","[['CHEMBL288441'], ['CHEMBL288441']]",substring,,8.755300000018451e-05,CHEMBL288441,unique-id
105,Regorafenib (BAY 73-4506),SrivatsanTrapnell2020_sciplex3,['regorafenib'],[['CHEMBL1946170']],substring,,6.841099999732592e-05,CHEMBL1946170,unique-id
