,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,ncells,significant_adj_new
0,0.0027962028188198707,control,0.0,0.0,True,0.0,control,2865.1257440225727,2865.1257440225727,3,control
1,0.0027962028188198707,p-INTERGENIC216151,336.9192730173464,1.0,False,1.0,False,2639.687458919864,704.4464684104275,3,False (lost)
2,0.0027962028188198707,p-INTERGENIC393453,432.20655415252077,1.0,False,1.0,False,3048.3104336198594,1224.3302078835502,3,False (lost)
3,0.0027962028188198707,p-INTERGENIC1144056,413.6526982608341,0.0,True,0.0,True,2642.987862571394,629.849585326896,3,True
4,0.0027962028188198707,p-INTERGENIC1216445,535.0198717942337,1.0,False,1.0,False,4547.621093271113,3350.413865300911,3,False (lost)
5,0.0027962028188198707,p-sgCREB1-2,409.39969506576153,1.0,False,1.0,False,3265.0286651661327,1582.0108442090905,3,False (lost)
6,0.0027962028188198707,p-sgCREB1-4,446.7739418678616,0.0,True,0.0,True,3495.0787355514453,1844.4963359099622,3,True
7,0.0027962028188198707,p-sgCREB1-5,571.0275436703448,0.0,True,0.0,True,4050.9994730802687,2553.0980406920376,3,True
8,0.0027962028188198707,p-sgE2F4-6,449.83354082489586,0.0,True,0.0,True,3369.4894661931953,1640.5487267129893,3,True
9,0.0027962028188198707,p-sgE2F4-7,455.681738013762,1.0,False,1.0,False,3320.0520892609875,1613.6791261869755,3,False (lost)
10,0.0027962028188198707,p-sgEGR1-2,445.15588812043825,0.0,True,0.0,True,2966.1090898123803,992.3533527168353,3,True
11,0.0027962028188198707,p-sgEGR1-4,505.5814041862668,1.0,False,1.0,False,4443.216293899335,3291.4307602619265,3,False (lost)
12,0.0027962028188198707,p-sgELF1-1,483.0287231371524,1.0,False,1.0,False,3278.080938750965,1493.2152189936353,3,False (lost)
13,0.0027962028188198707,p-sgELF1-2,388.4106568397249,1.0,False,1.0,False,3365.2719354784144,1655.8190462142325,3,False (lost)
14,0.0027962028188198707,p-sgELF1-4,450.98641394574133,0.0,True,0.0,True,3139.5630964298894,1283.296755413649,3,True
15,0.0027962028188198707,p-sgELF1-5,437.6707502749707,1.0,False,1.0,False,3507.2247634935684,1940.6928950728134,3,False (lost)
16,0.0027962028188198707,p-sgELK1-6,424.97262051534926,1.0,False,1.0,False,3365.6466745475464,1698.2329150667829,3,False (lost)
17,0.0027962028188198707,p-sgELK1-7,434.88994292391203,1.0,False,1.0,False,3225.693056834478,1608.538163464063,3,False (lost)
18,0.0027962028188198707,p-sgETS1-3,433.0079251607692,1.0,False,1.0,False,2977.988839761758,1097.4563362630995,3,False (lost)
19,0.0027962028188198707,p-sgETS1-5,447.915286215542,1.0,False,1.0,False,3560.3143647337083,2194.006212835095,3,False (lost)
20,0.0027962028188198707,p-sgGABPA-1,500.9453776089438,0.0,True,0.0,True,3858.3481366384626,2328.395538963071,3,True
21,0.0027962028188198707,p-sgNR2C2-5,455.31023860776645,0.0,True,0.0,True,2425.691384573127,294.717841209514,3,True
22,0.0027962028188198707,p-sgYY1-3,393.3989842134829,1.0,False,1.0,False,3183.8208086139985,1419.4720817323882,3,False (lost)
23,0.02507208781817638,control,0.0,0.0,True,0.0,control,1703.1790608433819,1703.1790608433819,26,control
24,0.02507208781817638,p-INTERGENIC216151,43.94188312558617,1.0,False,1.0,False,1140.7643490103578,434.9488844193014,26,False (lost)
25,0.02507208781817638,p-INTERGENIC393453,28.253002461344067,1.0,False,1.0,False,1383.0634002282575,943.2465333258234,26,False (lost)
26,0.02507208781817638,p-INTERGENIC1144056,34.6291231994137,1.0,False,1.0,False,1369.6526265775005,893.5256526838191,26,False (lost)
27,0.02507208781817638,p-INTERGENIC1216445,37.06590076612167,1.0,False,1.0,False,1164.4907767351788,479.32691983763084,26,False (lost)
28,0.02507208781817638,p-sgCREB1-2,44.88341500995108,1.0,False,1.0,False,1216.2841782804937,549.7323170269245,26,False (lost)
29,0.02507208781817638,p-sgCREB1-4,36.93536459994726,1.0,False,1.0,False,1501.4090290279428,1145.7008578057093,26,False (lost)
