,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,ncells,significant_adj_new
0,0.0027962028188198707,control,0.0,0.0,True,0.0,control,2221.0231709654017,2221.0231709654017,3,control
1,0.02507208781817638,control,0.0,0.0,True,0.0,control,3205.4206386932037,3205.4206386932037,26,control
2,0.06912625135579575,control,0.0,0.0,True,0.0,control,2630.5504737684973,2630.5504737684973,70,control
3,0.1339745962155613,control,0.0,0.0,True,0.0,control,1883.0299090437566,1883.0299090437566,134,control
4,0.2181685175319702,control,0.0,0.0,True,0.0,control,1384.995826416807,1384.995826416807,219,control
5,0.31982726222908053,control,0.0,0.0,True,0.0,control,1144.2155713089605,1144.2155713089605,320,control
6,0.43667994193637794,control,0.0,0.0,True,0.0,control,983.8624328482904,983.8624328482904,437,control
7,0.5661162608824419,control,0.0,0.0,True,0.0,control,882.4221526131154,882.4221526131154,567,control
8,0.7052448255890957,control,0.0,0.0,True,0.0,control,822.3699214593188,822.3699214593188,706,control
9,0.8509577338238256,control,0.0,0.0,True,0.0,control,773.4606111562375,773.4606111562375,851,control
10,1.0,control,0.0,0.0,True,0.0,control,746.1367764084716,746.1367764084716,1000,control
