,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,ncells,significant_adj_new
0,0.0027962028188198707,control,0.0,0.0,True,0.0,control,10342.250993965974,10342.250993965974,3,control
1,0.02507208781817638,control,0.0,0.0,True,0.0,control,15581.127098987447,15581.127098987447,26,control
2,0.06912625135579575,control,0.0,0.0,True,0.0,control,13364.164203247597,13364.164203247597,70,control
3,0.1339745962155613,control,0.0,0.0,True,0.0,control,8477.175753678901,8477.175753678901,134,control
4,0.2181685175319702,control,0.0,0.0,True,0.0,control,6238.541245487913,6238.541245487913,219,control
5,0.31982726222908053,control,0.0,0.0,True,0.0,control,5086.037557531058,5086.037557531058,320,control
6,0.43667994193637794,control,0.0,0.0,True,0.0,control,4388.395077485666,4388.395077485666,437,control
7,0.5661162608824419,control,0.0,0.0,True,0.0,control,3906.6196559392774,3906.6196559392774,567,control
8,0.7052448255890957,control,0.0,0.0,True,0.0,control,3610.4841353196366,3610.4841353196366,706,control
9,0.8509577338238256,control,0.0,0.0,True,0.0,control,3402.2961666147703,3402.2961666147703,851,control
10,1.0,control,0.0,0.0,True,0.0,control,3231.18941086057,3231.18941086057,1000,control
