,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,ncells,significant_adj_new
0,0.0027962028188198707,2i (LIF+MEKi+GSK3i),87.27401888998565,0.0,True,0.0,True,2143.4322603482915,1835.87207106902,34,True
1,0.0027962028188198707,control,0.0,0.0,True,0.0,control,2206.897264874603,2206.897264874603,34,control
2,0.02507208781817638,2i (LIF+MEKi+GSK3i),49.41620591411487,0.0,True,0.0,True,855.7901637640724,671.5987801501238,302,True
3,0.02507208781817638,control,0.0,0.0,True,0.0,control,937.5508243568082,937.5508243568082,302,control
4,0.06912625135579575,2i (LIF+MEKi+GSK3i),49.022479400620284,0.0,True,0.0,True,714.3335226360209,629.8661517678984,830,True
5,0.06912625135579575,control,0.0,0.0,True,0.0,control,703.6331641823609,703.6331641823609,830,control
6,0.1339745962155613,2i (LIF+MEKi+GSK3i),48.6077021627292,0.0,True,0.0,True,682.2928965225141,606.8130754602363,1609,True
7,0.1339745962155613,control,0.0,0.0,True,0.0,control,666.1386456216319,666.1386456216319,1609,control
8,0.2181685175319702,2i (LIF+MEKi+GSK3i),47.7026028809679,0.0,True,0.0,True,666.2000586676589,605.2524194636408,2620,True
9,0.2181685175319702,control,0.0,0.0,True,0.0,control,636.4767142031789,636.4767142031789,2620,control
10,0.31982726222908053,2i (LIF+MEKi+GSK3i),48.385993643088,0.0,True,0.0,True,660.0924603229441,598.7062793259975,3840,True
11,0.31982726222908053,control,0.0,0.0,True,0.0,control,630.1624736857683,630.1624736857683,3840,control
12,0.43667994193637794,2i (LIF+MEKi+GSK3i),49.10579250029565,0.0,True,0.0,True,656.25133867627,598.481776273014,5243,True
13,0.43667994193637794,control,0.0,0.0,True,0.0,control,620.5146919855588,620.5146919855588,5243,control
14,0.5661162608824419,2i (LIF+MEKi+GSK3i),48.90017818169946,0.0,True,0.0,True,653.7540799898088,594.5269470359794,6797,True
15,0.5661162608824419,control,0.0,0.0,True,0.0,control,619.7857788439524,619.7857788439524,6797,control
16,0.7052448255890957,2i (LIF+MEKi+GSK3i),49.05410920029516,0.0,True,0.0,True,653.533019946556,593.5064281008858,8468,True
17,0.7052448255890957,control,0.0,0.0,True,0.0,control,619.8660160075557,619.8660160075557,8468,control
18,0.8509577338238256,2i (LIF+MEKi+GSK3i),49.65534916852175,0.0,True,0.0,True,651.4482670247586,592.081610666336,10217,True
19,0.8509577338238256,control,0.0,0.0,True,0.0,control,616.4319842595172,616.4319842595172,10217,control
20,1.0,2i (LIF+MEKi+GSK3i),50.40474990388452,0.0,True,0.0,True,649.3968114084488,591.0347894699034,12006,True
21,1.0,control,0.0,0.0,True,0.0,control,611.857324634571,611.857324634571,12006,control
