,MAT2A,control,UBA1,UBA1_MAT2A,RAB7A,MAP3K12,RAB7A_MAT2A,MAP3K12_MAT2A,RFK,MMAB,PPP2R1A,HACD2,MMAB_MAT2A,RFK_MAT2A,UQCRQ,MAP3K12_UBA1_MAT2A,PPP2R1A_MAT2A,PPCDC,MAP3K12_UBA1,UROD,HACD2_MAT2A,MVK,UBA1_RAB7A,PPCDC_MAT2A,UQCRQ_MAT2A,UBA1_RFK_MAT2A,UBA1_RFK,UBA1_RAB7A_MAT2A
MAT2A,0.0,0.0413417921020761,0.038213889273946054,0.04305686263495744,0.04957501923036775,0.03590639399291609,0.0401420323743736,0.04148274392425007,0.05226026955171927,0.042064608301608394,0.04490762218878319,0.03894925643945066,0.03400381988413747,0.03959497473697185,0.04997484055333059,0.033459285157368596,0.04550784189377309,0.04358636089404651,0.03963582633697335,0.042732951386447504,0.043887730734753855,0.04434470579187756,0.04251959388082925,0.041677529157318996,0.036190663163675175,0.04642612884518971,0.049689017870841595,0.0335870481205955
control,0.0413417921020761,0.0,0.05045883070207741,0.04707202487478339,0.05898651212551892,0.056191133232698684,0.05254322826258902,0.0472259020561978,0.05960754204438388,0.054233034464920574,0.05855880745642247,0.06420493322596876,0.042836955449226895,0.049124634440624725,0.053961327921806676,0.061874045387135757,0.05337823815622854,0.05217238704771453,0.05113615020807186,0.04612737263065019,0.05047665783224439,0.04891336532425817,0.05601386819291174,0.043019946997770585,0.04604787095810164,0.05134650796417878,0.052999910498020435,0.04527469552395778
UBA1,0.038213889273946054,0.05045883070207741,0.0,0.04475254250503878,0.04548968571892775,0.05164439808161393,0.05256048076810124,0.05115801008584432,0.053714058498872556,0.06206577810286396,0.05463101561025292,0.053326607173344656,0.05421023493121972,0.043260441371815464,0.06604649342786512,0.060569340653761614,0.0408731414902065,0.05212950268452986,0.04341238520198088,0.049276116144221435,0.0549657593263603,0.05279031712315735,0.06006046740792752,0.03611417779156341,0.04589357277915296,0.03791138638542502,0.040845190860989825,0.040532037709705294
UBA1_MAT2A,0.04305686263495744,0.04707202487478339,0.04475254250503878,0.0,0.06313845045595819,0.05318637462385662,0.0483279885020009,0.04921105882268689,0.052763964089837925,0.0446443007677577,0.05961950320109024,0.04636828760072653,0.039635644721649765,0.04131789859776115,0.05119361971232458,0.04600368315765564,0.05032842694485972,0.04905913965133315,0.049466660267697436,0.05866756406956421,0.059011661602466736,0.05311128054848903,0.042191834064775335,0.03735211883640873,0.041159878379133104,0.042251643625595685,0.03634752186148188,0.03471507900368405
RAB7A,0.04957501923036775,0.05898651212551892,0.04548968571892775,0.06313845045595819,0.0,0.05754533843880418,0.04663367463815512,0.053621338149645766,0.0651416613478412,0.04822257881322955,0.07167375849339601,0.055643984955952984,0.04077846644211362,0.050964236885738104,0.053606221411758706,0.04546039339916735,0.06872290840777344,0.05554454184069092,0.0643886983210045,0.047030669161624995,0.045887310175944634,0.06597307781837712,0.0537417004051679,0.04684107456956456,0.054651517334063454,0.04219374307165857,0.042790384865787394,0.04665418606427218
MAP3K12,0.03590639399291609,0.056191133232698684,0.05164439808161393,0.05318637462385662,0.05754533843880418,0.0,0.052067025981811926,0.0504066117920369,0.07429544522405303,0.060371998023499164,0.07172766115352583,0.05504461744355878,0.0545886502601486,0.04887625753204445,0.04805687538901986,0.046949871002459405,0.052311703737893935,0.05116619869167098,0.059142617844653064,0.05732756784443552,0.06465108041367576,0.0649964984516066,0.049438162018351176,0.04066949068971992,0.06222450148404335,0.04657771821779605,0.04462914587441884,0.03762678690408624
RAB7A_MAT2A,0.0401420323743736,0.05254322826258902,0.05256048076810124,0.0483279885020009,0.04663367463815512,0.052067025981811926,0.0,0.040053188590155914,0.05721421234477635,0.05270925105483454,0.06266636510251622,0.049153070508620375,0.03758205693712413,0.037734152974926286,0.05765776825409238,0.05475238046321803,0.04522268205949198,0.05443977550075052,0.03901840539412199,0.04421352895620582,0.04682870470851641,0.05290503418492793,0.05275235529714399,0.03906510223327869,0.04723795697016759,0.04978986283379945,0.053284868754872206,0.036181373317716835
MAP3K12_MAT2A,0.04148274392425007,0.0472259020561978,0.05115801008584432,0.04921105882268689,0.053621338149645766,0.0504066117920369,0.040053188590155914,0.0,0.05660435072429039,0.04589476060352677,0.051268270537300445,0.047481811383544834,0.04104234086734173,0.039600827210856046,0.05510721231671397,0.03852378692764144,0.04107190931670155,0.04634093787407205,0.046662402838235126,0.04558655001151786,0.03795452612448014,0.04119944975222391,0.03968049950581623,0.038930130606895375,0.04482022665811509,0.04057836441301557,0.044842273183740025,0.039251782241229424
RFK,0.05226026955171927,0.05960754204438388,0.053714058498872556,0.052763964089837925,0.0651416613478412,0.07429544522405303,0.05721421234477635,0.05660435072429039,0.0,0.058154703594346366,0.06561509064664184,0.058619667703911416,0.04611805589603212,0.045478150558076386,0.05567472965127203,0.0566144003521708,0.046784922420390514,0.06680476990909233,0.058024805385646895,0.05969139787050021,0.0728121143452234,0.05785046416367483,0.04623388525156678,0.04462647491707474,0.05516078351554332,0.047530461998276,0.05115079954333378,0.03888811146830137
MMAB,0.042064608301608394,0.054233034464920574,0.06206577810286396,0.0446443007677577,0.04822257881322955,0.060371998023499164,0.05270925105483454,0.04589476060352677,0.058154703594346366,0.0,0.07016747756327527,0.05844189813933613,0.042766446707869256,0.04893776157914478,0.05315159921356259,0.05213939803990552,0.04107932391745448,0.0564949801194051,0.04943627549933614,0.052759480854548214,0.06267835768263108,0.05050719116945778,0.06488248720112466,0.04139767134653112,0.045157275381381444,0.050899798968715576,0.047371141958424026,0.04361274425610607
