,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,ncounts,ncells,significant_adj_new
0,0.004265823704965532_0.004265823704965532,2-Methoxyestradiol (2-MeOE2),1.1908438244574642,0.0,True,0.0,True,1.262290318606035,1.0534772381975182,4.6666665,3,True
1,0.004265823704965532_0.004265823704965532,(+)-JQ1,0.5896726692843752,0.16,False,0.9924173674692699,False,0.8687515808825168,0.8675709179235707,2.0,3,False (lost)
2,0.004265823704965532_0.004265823704965532,A-366,0.8150550083881982,0.0,True,0.0,True,1.1408381868278197,1.1863617907103534,4.0,3,True (gained)
3,0.004265823704965532_0.004265823704965532,ABT-737,1.036389513338694,0.0,True,0.0,True,0.7656907752916929,0.2147324626876041,16.333334,3,True
4,0.004265823704965532_0.004265823704965532,AC480 (BMS-599626),0.3918380901402044,0.0,True,0.0,True,0.42502354781278,0.17794943092826784,8.333333,3,True
5,0.004265823704965532_0.004265823704965532,AG-490 (Tyrphostin B42),0.6150096929045785,0.0,True,0.0,True,0.802691099783388,0.7101129321051094,26.0,3,True
6,0.004265823704965532_0.004265823704965532,AG-14361,0.9965603585203353,0.0,True,0.0,True,1.4029292468723236,1.529038560667224,6.3333335,3,True
7,0.004265823704965532_0.004265823704965532,AICAR (Acadesine),1.5673009974523557,0.0,True,0.0,True,1.75288195053425,1.6582033290590568,4.3333335,3,True
8,0.004265823704965532_0.004265823704965532,AMG-900,1.9619200749288015,0.0,True,0.0,True,1.2323334419037149,0.2224872343215405,17.0,3,True
9,0.004265823704965532_0.004265823704965532,AR-42,1.4585474658692061,0.0,True,0.0,True,2.115192367890343,2.491577695354392,3.3333333,3,True
10,0.004265823704965532_0.004265823704965532,AT9283,0.46555272168114975,0.06,False,0.9740257292994555,False,0.45914506242009534,0.17247782860195318,5.6666665,3,False (lost)
11,0.004265823704965532_0.004265823704965532,AZ 960,1.6269438384729684,0.0,True,0.0,True,1.3785368204644246,0.8498702278987931,12.333333,3,True
12,0.004265823704965532_0.004265823704965532,AZD1480,0.8156415774860764,0.48,False,0.9955723737338837,False,1.2109562429498808,1.3260113338565975,3.6666667,3,False
13,0.004265823704965532_0.004265823704965532,Abexinostat (PCI-24781),0.8703095891548318,0.06,False,0.9740257292994555,False,0.9835241655943443,0.816479167476769,5.3333335,3,False (lost)
14,0.004265823704965532_0.004265823704965532,Alendronate sodium trihydrate,1.0112515731757399,0.0,True,0.0,True,1.160673627732925,1.0298361077330225,7.3333335,3,True
15,0.004265823704965532_0.004265823704965532,Alisertib (MLN8237),1.3082510179139444,0.0,True,0.0,True,1.4574836427998152,1.3264566931285984,6.0,3,True
16,0.004265823704965532_0.004265823704965532,Altretamine,1.0898238255500117,0.26,False,0.9955723737338837,False,1.6234373740838648,1.8767913480606293,3.6666667,3,False
17,0.004265823704965532_0.004265823704965532,Alvespimycin (17-DMAG) HCl,0.8240637289192141,0.12,False,0.9911720702289156,False,0.9311105896615572,0.7578978758468127,9.0,3,False (lost)
18,0.004265823704965532_0.004265823704965532,Aminoglutethimide ,1.7908016235693656,0.0,True,0.0,True,2.619340531353495,3.167619864580537,2.6666667,3,True
19,0.004265823704965532_0.004265823704965532,Amisulpride,0.3223693314162412,0.1,False,0.9892247363356942,False,0.45391225224525467,0.30519559851718037,4.6666665,3,False
20,0.004265823704965532_0.004265823704965532,Anacardic Acid,0.7356394281787266,0.44,False,0.9955723737338837,False,0.8832144065498405,0.7505298103638668,1.3333334,3,False
21,0.004265823704965532_0.004265823704965532,Andarine,0.9924732769204518,0.0,True,0.0,True,0.8424264466991325,0.41212004192072565,8.666667,3,True (gained)
22,0.004265823704965532_0.004265823704965532,Aurora A Inhibitor I,0.6721792257339942,0.28,False,0.9955723737338837,False,1.00303066888704,1.0536225374829982,1.6666666,3,False (lost)
23,0.004265823704965532_0.004265823704965532,Avagacestat (BMS-708163),0.749935743350205,0.08,False,0.9869091748559277,False,1.1038562992868663,1.1775172806664405,8.0,3,False
24,0.004265823704965532_0.004265823704965532,Azacitidine ,0.37546728165717574,0.3,False,0.9955723737338837,False,0.5519579705398444,0.44818908486542536,3.3333333,3,False (lost)
25,0.004265823704965532_0.004265823704965532,BMS-265246,0.48323314286407465,0.18,False,0.9924173674692699,False,0.7115268229859051,0.6595609285506477,9.666667,3,False (lost)
26,0.004265823704965532_0.004265823704965532,BMS-536924,1.289090923656096,0.0,True,0.0,True,1.8728690856913903,2.176387673169597,4.6666665,3,True
27,0.004265823704965532_0.004265823704965532,BMS-754807,0.2802886186679458,0.32,False,0.9955723737338837,False,0.43942285825622707,0.3182975232874206,5.6666665,3,False (lost)
28,0.004265823704965532_0.004265823704965532,BMS-911543,0.6575947930476611,0.08,False,0.9869091748559277,False,0.7153927783520864,0.4929311890994237,3.3333333,3,False (lost)
29,0.004265823704965532_0.004265823704965532,BRD4770,0.7338811952071764,0.0,True,0.0,True,0.7015212409720816,0.3889017121798991,9.333333,3,True (gained)
30,0.004265823704965532_0.004265823704965532,Barasertib (AZD1152-HQPA),0.8083744986431551,0.0,True,0.0,True,1.0142102181438934,0.939786363087544,13.0,3,True
31,0.004265823704965532_0.004265823704965532,"Baricitinib (LY3009104, INCB028050)",0.5122995977170051,0.04,True,0.9377063402093107,False,0.755580786174805,0.718602400075517,1.6666666,3,False (lost)
32,0.004265823704965532_0.004265823704965532,Belinostat (PXD101),0.2627737383341768,0.08,False,0.9869091748559277,False,0.34873023775000406,0.15442716260874362,7.3333335,3,False (lost)
33,0.004265823704965532_0.004265823704965532,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),0.5613596805568983,0.0,True,0.0,True,0.8013048036822359,0.7609903522504857,6.0,3,True
34,0.004265823704965532_0.004265823704965532,Bosutinib (SKI-606),0.8335705856762725,0.0,True,0.0,True,1.1836255119325205,1.2534208636316808,2.3333333,3,True
35,0.004265823704965532_0.004265823704965532,Busulfan ,0.6150259915636298,0.04,True,0.9377063402093107,False,0.887151564882736,0.8790175636447543,8.0,3,False (lost)
36,0.004265823704965532_0.004265823704965532,CEP-33779,1.3576953761003625,0.0,True,0.0,True,1.9494052984325256,2.2608556462076,9.0,3,True
37,0.004265823704965532_0.004265823704965532,CUDC-101,0.501789184989216,0.02,True,0.7568774185023381,False,0.7092280528010936,0.6364073460558833,3.6666667,3,False (lost)
38,0.004265823704965532_0.004265823704965532,CUDC-907,0.7725802037981648,0.0,True,0.0,True,1.0933579526102306,1.1338761268652087,6.6666665,3,True
39,0.004265823704965532_0.004265823704965532,CYC116,0.24153887673221192,0.0,True,0.0,True,0.3427099143708433,0.1636213774523869,5.6666665,3,True
40,0.004265823704965532_0.004265823704965532,Capecitabine ,0.6902400002531957,0.2,False,0.9940970418964129,False,1.009954902502927,1.0494102301955708,9.0,3,False (lost)
41,0.004265823704965532_0.004265823704965532,Carmofur,0.9707767088515697,0.0,True,0.0,True,0.8194047564377722,0.3877732294668867,9.0,3,True (gained)
42,0.004265823704965532_0.004265823704965532,Cediranib (AZD2171),0.6205106135708385,0.04,True,0.9377063402093107,False,0.8944661418792358,0.8881620956305453,6.0,3,False (lost)
43,0.004265823704965532_0.004265823704965532,Celecoxib,0.22944978643853137,0.0,True,0.0,True,0.31600295534115536,0.12229654968669133,7.6666665,3,True
44,0.004265823704965532_0.004265823704965532,"Cerdulatinib (PRT062070, PRT2070)",0.6424132547508077,0.12,False,0.9911720702289156,False,0.937263425952604,0.9518540225973126,3.6666667,3,False (lost)
45,0.004265823704965532_0.004265823704965532,Cimetidine ,0.7585663471922244,0.0,True,0.0,True,1.0325768998272613,1.0263278779052105,5.0,3,True
46,0.004265823704965532_0.004265823704965532,Clevudine ,0.5939709567473146,0.0,True,0.0,True,0.8382186233677622,0.8022067154311221,5.6666665,3,True (gained)
47,0.004265823704965532_0.004265823704965532,Costunolide,1.1148292641942654,0.0,True,0.0,True,1.6023485988751665,1.8096083589989798,5.0,3,True
48,0.004265823704965532_0.004265823704965532,Crizotinib (PF-02341066),0.7161205528625862,0.0,True,0.0,True,0.9066849659977164,0.8169898045757589,13.666667,3,True (gained)
49,0.004265823704965532_0.004265823704965532,Curcumin,1.007902316584018,0.0,True,0.0,True,1.0237504859363862,0.7593390807316667,9.666667,3,True (gained)
50,0.004265823704965532_0.004265823704965532,Cyclocytidine HCl,1.1230151741144472,0.0,True,0.0,True,1.56879852386569,1.7343222990598457,5.3333335,3,True
51,0.004265823704965532_0.004265823704965532,Dacinostat (LAQ824),1.3568515570357074,0.0,True,0.0,True,1.5810160780367024,1.5249210244806097,4.0,3,True
52,0.004265823704965532_0.004265823704965532,Danusertib (PHA-739358),2.1597830827650646,0.0,True,0.0,True,1.3030657140635489,0.16608877080494533,7.3333335,3,True
53,0.004265823704965532_0.004265823704965532,Daphnetin,0.19565779062609817,0.82,False,0.99668224,False,0.3185480300440078,0.16117869490482964,4.3333335,3,False (lost)
54,0.004265823704965532_0.004265823704965532,Dasatinib,1.1722069381054177,0.0,True,0.0,True,1.6792214024251544,1.905976292187803,5.0,3,True
55,0.004265823704965532_0.004265823704965532,Decitabine,0.7760271148564111,0.0,True,0.0,True,0.9611526653955459,0.866018641377593,10.333333,3,True
56,0.004265823704965532_0.004265823704965532,Disulfiram ,1.947497701975471,0.0,True,0.0,True,2.409494011575141,2.5912307466177222,4.3333335,3,True (gained)
57,0.004265823704965532_0.004265823704965532,Divalproex Sodium,0.2441864787955132,0.16,False,0.9924173674692699,False,0.3474372772525642,0.17042850115252753,5.0,3,False (lost)
58,0.004265823704965532_0.004265823704965532,Droxinostat,0.566343309772273,0.06,False,0.9740257292994555,False,0.6599368427794142,0.47327080122946774,8.666667,3,False
59,0.004265823704965532_0.004265823704965532,EED226,0.7012516402071038,0.48,False,0.9955723737338837,False,0.8452664905015297,0.7090217662388678,2.3333333,3,False (lost)
60,0.004265823704965532_0.004265823704965532,ENMD-2076,0.6450650058930569,0.0,True,0.0,True,0.6014785907180864,0.2776326009860281,15.0,3,True
61,0.004265823704965532_0.004265823704965532,ENMD-2076 L-(+)-Tartaric acid ,0.31621257108715345,0.0,True,0.0,True,0.44906128213066054,0.30165041861708014,5.0,3,True
