,singlePCA,multiPCA,edist,pvalue,significant,pvalue_adj,significant_adj,log10_edist
p-INTERGENIC393453,14.867996052922024,34.024389932614554,14.867980135491138,0.001,True,0.0554328691410804,False,1.1722519721807272
p-sgELF1-2,15.448678936924864,32.13533905766502,15.448645917242004,1.0,False,1.0,False,1.188890419266261
p-INTERGENIC216151,22.463558826986116,35.533574368745064,22.46351505244988,0.0,True,0.0,True,1.351477714901351
p-INTERGENIC1144056,15.592730008879727,33.63037946525594,15.59271165092224,1.0,False,1.0,False,1.1929216477498663
p-sgELF1-5,14.86871510872507,29.740205033055588,14.868688092019482,1.0,False,1.0,False,1.1722726511358403
p-sgGABPA-1,15.034808711502308,33.47571962071714,15.034782095796942,1.0,False,1.0,False,1.177097138104727
control,0.0,0.0,0.0,0.0,True,0.0,True,-inf
p-sgELK1-6,9.805538485049567,25.558142277048205,9.805523260290784,1.0,False,1.0,False,0.9914707742397374
p-sgNR2C2-5,13.699732912436161,28.252932241426265,13.699705090204816,1.0,False,1.0,False,1.1367112183187975
p-INTERGENIC1216445,19.633787046159085,39.45169745517069,19.63374843175646,1.0,False,1.0,False,1.2930032220563477
p-sgCREB1-5,15.824604047637678,31.226121748723358,15.824576960240336,1.0,False,1.0,False,1.199332108813312
p-sgELK1-7,10.406955192231152,28.063142306679993,10.406959023226309,1.0,False,1.0,False,1.017323844556751
p-sgETS1-5,15.547890227895635,32.843082829704485,15.547867101574496,1.0,False,1.0,False,1.1916708197583334
p-sgCREB1-4,11.185855312136084,24.810336398132222,11.185838318355906,1.0,False,1.0,False,1.0486685376854783
p-sgCREB1-2,17.848545772071418,33.61003018605493,17.84851685019234,1.0,False,1.0,False,1.251602133583294
p-sgELF1-1,15.083245052153842,32.73338824283235,15.083220699372331,1.0,False,1.0,False,1.178494085739325
p-sgELF1-4,8.287080754422703,26.948321766731397,8.287081812239165,1.0,False,1.0,False,0.9184016263335804
p-sgE2F4-6,15.617301495900705,28.27771501652046,15.617267612624488,1.0,False,1.0,False,1.1936050522965782
p-sgEGR1-4,16.963635219372577,35.22689999381464,16.963628986852882,1.0,False,1.0,False,1.2295187653955164
p-sgE2F4-7,11.723233771602025,28.933238212530455,11.723213757503656,1.0,False,1.0,False,1.0690466838513737
p-sgYY1-3,17.122391916386505,29.3724975137535,17.122359516702915,1.0,False,1.0,False,1.2335636116539597
p-sgETS1-3,12.079846454211491,29.10957047672821,12.079835015493783,1.0,False,1.0,False,1.08206100279919
p-sgEGR1-2,12.714889630650816,28.876710044837637,12.714863907202924,1.0,False,1.0,False,1.1043117160911926
p-sgGABPA-9,14.845429712834914,29.498283704730852,14.845405445808185,1.0,False,1.0,False,1.1715920631966417
p-sgYY1-10,8.69197825897757,23.480989501957993,8.69196923997606,1.0,False,1.0,False,0.9391181807257653
p-sgIRF1-3,16.105224188199657,37.358118721233154,16.10519774966218,1.0,False,1.0,False,1.2069660617269506
p-sgIRF1-2,18.76160866411547,30.358722762793718,18.761562009033725,1.0,False,1.0,False,1.2732689930869712
p-sgELK1-1,17.554995247322466,31.38848416802739,17.554954672259726,1.0,False,1.0,False,1.2443997124335038
p-sgEGR1-3,15.96343974279057,31.868158918730273,15.963408470948709,1.0,False,1.0,False,1.203125626493437
p-sgNR2C2-3,6.704615509448928,25.244453467693802,6.704626976139906,1.0,False,1.0,False,0.8263746201129549
p-sgNR2C2-2,16.397276585962373,32.27718086038635,16.39725846470725,1.0,False,1.0,False,1.21477124236612
p-INTERGENIC393453_p-sgELF1-2,16.038688731673744,29.760371117481554,16.038669384888863,1.0,False,1.0,False,1.205168335097091
