,singlePCA,multiPCA,edist,pvalue,significant,pvalue_adj,significant_adj,log10_edist
control,0.0,0.0,0.0,0.0,True,0.0,True,-inf
ETV7,11.988869451042433,19.72596266324456,11.988872399911171,1.0,False,1.0,False,1.0787783379341085
IRF1,28.24234330013013,38.001645745998985,28.24234552762624,0.0,True,0.0,True,1.4509007620470684
ATF2,24.480218585324508,37.20927008218348,24.48023639416411,0.0,True,0.0,True,1.388815607271944
IRF7,18.57041272891678,28.755837654680477,18.5704260146928,0.0,True,0.0,True,1.2688218667827582
MARCH8,22.003357271881015,31.777114441544313,22.00336075959669,0.0,True,0.0,True,1.3424890193620582
IFNGR1,130.42762623909832,157.9812709282872,130.42769365669272,0.0,True,0.0,True,2.115369814749656
STAT2,25.84572014631661,39.543726666074974,25.845724248602863,0.0,True,0.0,True,1.4123887064694567
CAV1,44.36322938491219,51.269229803119856,44.36323752885721,0.0,True,0.0,True,1.6470232324638585
PDL1,40.974210742461594,52.74649613923708,40.97420492356065,0.0,True,0.0,True,1.6125105351367306
