,singlePCA,multiPCA,edist,pvalue,significant,pvalue_adj,significant_adj,log10_edist
control,0.0,0.0,0.0,0.0,True,0.0,True,-inf
Divalproex Sodium,3.9912936092439253,0.0,3.991293609243925,0.0,True,0.0,True,0.6011136767151882
Ellagic acid,7.5434218128026345,0.0,7.543421812802634,0.0,True,0.0,True,0.8775683932589178
Fasudil (HA-1077) HCl,5.390531871464873,0.0,5.390531871464873,0.0,True,0.0,True,0.7316316181452416
Tazemetostat (EPZ-6438),4.880942929550159,0.0,4.880942929550159,0.0,True,0.0,True,0.6885037296957863
Ruxolitinib (INCB018424),6.239822954185371,0.0,6.239822954185371,0.0,True,0.0,True,0.7951722673889707
UNC1999,4.4504622767105815,0.0,4.4504622767105815,0.0,True,0.0,True,0.648405124193809
SRT3025 HCl,4.252787354193828,0.0,4.252787354193828,0.0,True,0.0,True,0.6286736678753154
SRT2104 (GSK2245840),4.526752928878679,0.0,4.526752928878679,0.0,True,0.0,True,0.6557867912584847
Selisistat (EX 527),5.349960703413927,0.0,5.349960703413927,0.0,True,0.0,True,0.7283505920486739
MC1568,5.443879399754948,0.0,5.443879399754948,0.0,True,0.0,True,0.7359084955538742
Iniparib (BSI-201),10.317132209226457,0.0,10.317132209226456,0.0,True,0.0,True,1.0135589958581066
Resveratrol,5.7042589875630085,0.0,5.7042589875630085,0.0,True,0.0,True,0.7561992353424228
EED226,3.3628899818958615,0.0,3.362889981895861,0.0,True,0.0,True,0.5267126594534693
G007-LK,7.080699397302311,0.0,7.080699397302311,0.0,True,0.0,True,0.8500761573207515
PFI-1 (PF-6405761),5.192125467285621,0.0,5.192125467285621,0.0,True,0.0,True,0.7153451786096142
Roxadustat (FG-4592),5.397887073784034,0.0,5.397887073784034,0.0,True,0.0,True,0.7322237946803986
BMS-911543,6.283421193296377,0.0,6.283421193296377,0.0,True,0.0,True,0.7981961725272457
FLLL32,6.889975352198647,0.0,6.889975352198647,0.0,True,0.0,True,0.8382176682903159
Aurora A Inhibitor I,5.940916907558218,0.0,5.940916907558218,0.0,True,0.0,True,0.7738534781734696
ITSA-1 (ITSA1),4.5838510787123,0.0,4.5838510787123,0.0,True,0.0,True,0.66123049972197
Ofloxacin,3.9220728929683872,0.0,3.9220728929683872,0.0,True,0.0,True,0.5935156609074308
TMP195,7.778801974899423,0.0,7.778801974899423,0.0,True,0.0,True,0.8909127157873663
Azacitidine ,5.379128257219236,0.0,5.379128257219236,0.0,True,0.0,True,0.7307118995037295
"Rucaparib (AG-014699,PF-01367338) phosphate",6.4449734024134955,0.0,6.444973402413496,0.0,True,0.0,True,0.8092211294149632
2-Methoxyestradiol (2-MeOE2),5.591635234974319,0.0,5.591635234974319,0.0,True,0.0,True,0.74753883287268
JNJ-7706621,4.430229772154377,0.0,4.430229772154377,0.0,True,0.0,True,0.6464262513226052
Decitabine,8.868359634977722,0.0,8.868359634977722,0.0,True,0.0,True,0.9478432965668728
PCI-34051,5.189308625168323,0.0,5.189308625168323,0.0,True,0.0,True,0.7151095003772887
ZM 447439,8.176614959903816,0.0,8.176614959903816,0.0,True,0.0,True,0.9125735471313072
Tucidinostat (Chidamide),8.58177039014862,0.0,8.58177039014862,0.0,True,0.0,True,0.933576890571223
(+)-JQ1,10.78382654134522,0.0,10.78382654134522,0.0,True,0.0,True,1.032772893588271
Belinostat (PXD101),8.879048769068177,0.0,8.879048769068177,0.0,True,0.0,True,0.9483664414010318
Abexinostat (PCI-24781),11.101795860200383,0.0,11.101795860200385,0.0,True,0.0,True,1.0453932372632155
MLN8054,3.6920234986983758,0.0,3.692023498698376,0.0,True,0.0,True,0.5672644565257485
Barasertib (AZD1152-HQPA),5.624064069904364,0.0,5.624064069904364,0.0,True,0.0,True,0.7500502595664309
"Tozasertib (VX-680, MK-0457)",5.741372469727622,0.0,5.741372469727622,0.0,True,0.0,True,0.7590157224990692
"Baricitinib (LY3009104, INCB028050)",0.7497529119972768,0.0,0.7497529119972768,0.049,True,0.6488722292300009,False,-0.1250818387903189
PHA-680632,8.740209832211903,0.0,8.740209832211903,0.0,True,0.0,True,0.9415218591650492
Mocetinostat (MGCD0103),15.166069263859725,0.0,15.166069263859724,0.0,True,0.0,True,1.180873035090039
Tranylcypromine (2-PCPA) HCl,0.9847094044728522,0.0,0.9847094044728522,0.023,True,0.5964587034397211,False,-0.0066919143287622
Tubastatin A HCl,1.0076226346835853,0.0,1.0076226346835853,0.022,True,0.5899157821422741,False,0.0032979146892857
Pracinostat (SB939),10.223016511815814,0.0,10.223016511815814,0.0,True,0.0,True,1.0095790622505436
Tacedinaline (CI994),2.5237010228497923,0.0,2.5237010228497923,0.0,True,0.0,True,0.4020379037347684
PD98059,1.6320603702061902,0.0,1.6320603702061902,0.002,True,0.1797927808733188,False,0.2127362193458455
Danusertib (PHA-739358),6.640773151757514,0.0,6.640773151757514,0.0,True,0.0,True,0.8222186450298965
Daphnetin,0.8204249653259694,0.0,0.8204249653259694,0.054,False,0.6488722292300009,False,-0.0859611326304125
GSK-LSD1 2HCl,1.212415711711941,0.0,1.212415711711941,0.006,True,0.3632355196912263,False,0.0836515557602366
Curcumin,1.318525147167648,0.0,1.318525147167648,0.008,True,0.4300758623245509,False,0.1200884171571346
WP1066,0.7214426177072539,0.0,0.7214426177072539,0.067,False,0.6488722292300009,False,-0.1417982062255824
RG108,0.9594831381415787,0.0,0.9594831381415788,0.023,True,0.5964587034397211,False,-0.0179626531082007
Entacapone,1.6805431225795218,0.0,1.6805431225795218,0.001,True,0.104215167096087,False,0.2254496609043071
Tofacitinib (CP-690550) Citrate,1.0886711139518752,0.0,1.0886711139518752,0.018,True,0.5818314048631658,False,0.0368966998029837
CEP-33779,0.8122815068886382,0.0,0.8122815068886382,0.032,True,0.6106094908929958,False,-0.0902934341811946
S-Ruxolitinib (INCB018424),0.7764724149568707,0.0,0.7764724149568707,0.052,False,0.6488722292300009,False,-0.109873968454178
