,singlePCA,multiPCA,edist,pvalue,significant,pvalue_adj,significant_adj,log10_edist
TTBK2,86.54399574696535,114.08314068293487,86.54399574696535,0.0,True,0.0,True,1.9372369427554408
INSR,86.89461598442816,73.9080951319703,86.89461598442816,0.0,True,0.0,True,1.938992868270403
NOP56,4.600729691688926,15.177412962059918,4.600729691688912,1.0,False,1.0,False,0.6628267177558896
control,0.0,0.0,0.0,0.0,True,0.0,True,-inf
RRAS2,5.550998382980254,20.74946788569042,5.550998382980254,1.0,False,1.0,False,0.7443711008208076
JPH3,11.655629290999144,30.688280582461175,11.655629290999144,1.0,False,1.0,False,1.066535726181829
GLIS3,6.497980568186222,22.78401587788551,6.497980568186222,1.0,False,1.0,False,0.8127784082797987
CDC42EP3,3.9472280110805116,15.488712017959983,3.947228011080512,1.0,False,1.0,False,0.5962922140808387
RUNX1T1,3.634957492347368,17.125764075848906,3.6349574923473824,1.0,False,1.0,False,0.5604993365301566
IGF1R,4.235033727460348,17.39630772789735,4.235033727460348,1.0,False,1.0,False,0.6268568733660388
ARID1B,5.585952523530523,16.81882084737549,5.585952523530523,1.0,False,1.0,False,0.7470972401984384
BCL2L1,4.925937377107189,18.173870600532837,4.925937377107175,1.0,False,1.0,False,0.6924888864008374
CASP3,2.990716644047751,16.163279094036568,2.990716644047751,1.0,False,1.0,False,0.475775267676601
P4HB,2.865083061774783,13.681665050609581,2.865083061774783,1.0,False,1.0,False,0.4571372171402462
TUSC1,3.979008293351825,18.365142516326387,3.979008293351825,1.0,False,1.0,False,0.5997748443369337
GBX2,51.49192040027654,68.33834380343518,51.49192040027654,0.0,True,0.0,True,1.711739089218777
CH25H,5.600725182565213,17.61078511905299,5.600725182565213,1.0,False,1.0,False,0.74824426314837
TSEN15,4.398181811679336,17.39664793064253,4.398181811679336,1.0,False,1.0,False,0.6432731782255542
HDAC9,5.072941764826453,16.46259088736872,5.072941764826453,1.0,False,1.0,False,0.7052598768335308
NR2F2,14.612627773200785,35.20701886247781,14.612627773200783,1.0,False,1.0,False,1.164728321668848
PRNP,4.234485782987548,14.308601228023576,4.234485782987548,1.0,False,1.0,False,0.6268006790893825
PRRC2C,3.7960604560927322,16.54722213797112,3.796060456092732,1.0,False,1.0,False,0.5793331203881305
NUAK1,14.121697541441392,27.62484249963751,14.121697541441392,1.0,False,1.0,False,1.1498869055379073
HMGA2,3.308709280429369,17.17342647813217,3.3087092804293547,1.0,False,1.0,False,0.5196586095738838
PCDHA3,2.609955045058399,12.499624458020492,2.609955045058399,1.0,False,1.0,False,0.4166330269355175
KSR2,12.851650254143749,29.070873277875194,12.851650254143747,0.0,True,0.0,True,1.1089588981149123
EFNA5,7.087707644589159,17.381047477917264,7.087707644589159,1.0,False,1.0,False,0.8505057953688001
MEGF6,6.6998285857951885,23.00118200932127,6.6998285857951885,1.0,False,1.0,False,0.8260636914776049
YAP1,9.436218989430188,18.409391436252747,9.436218989430188,1.0,False,1.0,False,0.974798011145048
GABRG3,6.9139415473802615,20.747344127880865,6.9139415473802615,1.0,False,1.0,False,0.8397257035608118
PPP2R2B,6.663485806539057,19.081238345900772,6.663485806539057,1.0,False,1.0,False,0.8237014769943942
SHC1,6.026843464812629,15.642828343094777,6.026843464812629,1.0,False,1.0,False,0.7800899116851101
FRMD4A,2.4305808667855757,12.684607448342433,2.43058086678559,1.0,False,1.0,False,0.385710074871377
HNRNPA2B1,3.7851639614821266,16.205549907338252,3.785163961482112,1.0,False,1.0,False,0.5780846965242445
GSX2,113.95538379211797,144.27663136465492,113.95538379211796,0.0,True,0.0,True,2.056734848129602
CCDC85C,3.603700132289717,15.030911038211457,3.603700132289703,1.0,False,1.0,False,0.5567486457060103
EPC2,6.255528024905516,18.775153828803866,6.255528024905516,1.0,False,1.0,False,0.7962639740812691
SOX5,44.61537842840988,58.01592106394344,44.61537842840988,0.0,True,0.0,True,1.649484581030929
SPAST,11.109224295956011,23.259606739824505,11.109224295956013,1.0,False,1.0,False,1.0456837352912618
GPR156,23.470696784882506,38.40165890638798,23.470696784882502,0.0,True,0.0,True,1.3705259828809806
BMPER,4.157832517131084,15.967642359198464,4.157832517131084,1.0,False,1.0,False,0.6188669914046058
SERAC1,6.232465543450147,20.46208056698657,6.232465543450132,1.0,False,1.0,False,0.7946598861600327
