,singlePCA,multiPCA,edist,pvalue,significant,pvalue_adj,significant_adj,log10_edist
control,0.0,0.0,0.0,0.0,True,0.0,True,-inf
TAF1,19.160964946241933,31.745055734244374,19.160952245500454,0.003,True,0.4177245280060074,False,1.282417088494605
DNAJC6,11.652120499955657,22.640900109221548,11.652110830777843,0.056,False,0.9997906450847156,False,1.0664046068315591
CREBBP,13.69717548509064,25.139219900438547,13.697188951454224,0.038,True,0.9977171030391564,False,1.1366314468544487
PAXIP1,9.84566830583887,24.35437189514937,9.845656346520087,0.137,False,0.9999997434854768,False,0.9932446730562124
UBA5,10.27425557602848,25.288937362872275,10.274261539549684,0.107,False,0.9999976430783803,False,1.0117506168426218
SNCB,9.977642057985207,24.59533878131026,9.97763823672176,0.159,False,0.9999999282834152,False,0.9990277534973608
CYB561,18.33832485941366,29.48169286608686,18.338325738585556,0.021,True,0.971112528426442,False,1.263359682714311
HTT,9.520642546669109,23.610963845067488,9.52064699021176,0.172,False,0.9999999612329924,False,0.9786664625369152
PLEKHG5,11.79782177878397,25.10942958983452,11.79781898591176,0.081,False,0.9999829777689848,False,1.0718017284984322
RAB7A,9.885326002575255,22.38464743934162,9.885333354782972,0.184,False,0.9999999717448992,False,0.9949913192441964
PPP2R2B,12.769696519937213,28.316375689365145,12.76970415320494,0.088,False,0.9999900148454548,False,1.1061808357035932
NDUFV1,10.799264095917096,22.7568530227079,10.799263721673384,0.09,False,0.9999900148454548,False,1.033394146920784
MAPT,11.384321578408958,26.420269680192064,11.384320606267323,0.084,False,0.999986737645587,False,1.0563071178889594
TOP1,5.517721134423823,16.87695412185701,5.51772365864025,0.644,False,0.9999999999170446,False,0.7417599461372045
DMXL1,8.058501280297833,19.546756525780665,8.058497024491146,0.258,False,0.9999999949201612,False,0.9062540498899224
FRMD4A,116.47174090047628,156.90092630767248,116.47187660933564,0.0,True,0.0,True,2.0662210729342254
CASP3,23.878904407640306,42.799417754576325,23.87889025712744,0.001,True,0.1656402046646526,False,1.3780141396095569
AP2A2,10.459740779939466,26.126811807612512,10.459731622223243,0.093,False,0.9999925786701584,False,1.019520541464067
BECN1,7.035029944523444,17.622772944025485,7.035019428932344,0.306,False,0.9999999990932452,False,0.8472653011831959
MATR3,8.7611947509304,21.56004643518412,8.76119462995473,0.175,False,0.9999999633223569,False,0.942563328294085
CEP63,11.470311637660274,25.942581968307536,11.47030635979533,0.098,False,0.9999953271916692,False,1.0595750176041234
SYNJ1,5.427648033565191,17.75775048422264,5.427662199641048,0.623,False,0.9999999999170446,False,0.734612810727382
SASH1,8.890769004987675,25.305611518797832,8.890756892785362,0.218,False,0.9999999863229472,False,0.94893873513979
HEXA,7.183309968467654,18.24768909699378,7.183317455314693,0.357,False,0.9999999996741892,False,0.8563250598127956
RPL6,7.453291929553018,21.03459893117082,7.453295003511471,0.328,False,0.9999999996741892,False,0.8723483110681225
FOXC1,15.615648896984595,27.19543315031524,15.61563562734088,0.011,True,0.8524434656902269,False,1.19355966668523
ANO10,8.340594998762384,20.230858596140195,8.340591410269724,0.284,False,0.9999999989893348,False,0.9211968464543224
GTF2H3,15.57946080003282,31.21458538203018,15.579454292317736,0.028,True,0.989665995338086,False,1.1925522413990746
PON2,13.440446583617103,25.031915515166418,13.44043812101259,0.04,True,0.9982848095331788,False,1.128413425744365
FXN,10.73938937879106,23.88354726561778,10.739395419105904,0.087,False,0.9999895451460732,False,1.0309798331757627
PARP1,9.000156189197668,22.78060969342016,9.000167707214075,0.145,False,0.9999998704838288,False,0.9542506020658864
ZNF599,11.00048042390236,22.09820182271494,11.000483017737452,0.146,False,0.9999998704838288,False,1.04141175491573
FARP1,8.775195403313006,22.34003131319247,8.775186410140009,0.212,False,0.9999999863229472,False,0.9432563508968692
VPS54,7.083298731028066,21.29992111310412,7.083288232494198,0.459,False,0.9999999999170446,False,0.8502349144279022
