,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,significant_adj_new
0,2,control,0.0,0.0,True,0.0,control,185.82354584472714,185.82354584472714,control
1,2,p-INTERGENIC216151,22.46351350913011,0.0,True,0.0,True,156.4668972166112,93.6623396978807,True
2,2,p-INTERGENIC393453,14.867982634876398,0.01,True,0.43609480954761215,False,175.3651607991637,135.81870646940692,False
3,2,p-INTERGENIC393453_p-INTERGENIC216151,10.806628629292419,1.0,False,1.0,False,175.93804096790223,144.18480087413607,False
4,2,p-INTERGENIC393453_p-sgE2F4-6,13.704262869111261,1.0,False,1.0,False,183.8116933451319,178.98792719807727,False
5,2,p-INTERGENIC393453_p-sgE2F4-7,13.399348984049993,1.0,False,1.0,False,174.36116619638884,156.56410051280673,False
6,2,p-INTERGENIC393453_p-sgELF1-2,16.038653554663142,1.0,False,1.0,False,182.40863504642132,157.1082908782956,False
7,2,p-INTERGENIC393453_p-sgELF1-4,11.078221566300243,1.0,False,1.0,False,190.5785502948028,170.85542300209,False
8,2,p-INTERGENIC393453_p-sgELF1-5,10.25831193498533,1.0,False,1.0,False,160.8297303630142,131.40056918654534,False
9,2,p-INTERGENIC393453_p-sgGABPA-1,10.888863956453434,1.0,False,1.0,False,175.7686980694154,151.49441671772823,False
10,2,p-INTERGENIC1144056,15.592702690924,1.0,False,1.0,False,177.6202037622754,131.77683375284235,False
11,2,p-INTERGENIC1144056_p-INTERGENIC393453,16.216662304336836,1.0,False,1.0,False,177.8141935277317,144.90534989574698,False
12,2,p-INTERGENIC1144056_p-sgELF1-2,10.15691064414392,1.0,False,1.0,False,177.6146328065292,164.23521572773043,False
13,2,p-INTERGENIC1144056_p-sgELF1-5,13.83175661396129,1.0,False,1.0,False,187.68012974236603,167.89268105506628,False
14,2,p-INTERGENIC1144056_p-sgGABPA-1,16.636163864335856,1.0,False,1.0,False,184.8999039381691,154.9274121168941,False
15,2,p-INTERGENIC1216445,19.63374910010404,1.0,False,1.0,False,181.05319022961896,131.8192723987037,False
16,2,p-INTERGENIC1216445_p-sgELF1-2,11.010293526734301,1.0,False,1.0,False,184.05841563413387,157.70928889814,False
17,2,p-sgCREB1-2,17.848533685132452,1.0,False,1.0,False,184.81669406150306,147.8271287016539,False
18,2,p-sgCREB1-2_p-INTERGENIC393453,6.0130582232271195,1.0,False,1.0,False,196.14312858607715,205.99702688506065,False
19,2,p-sgCREB1-4,11.185839194738008,1.0,False,1.0,False,177.12468660000172,148.8241475313922,False
20,2,p-sgCREB1-4_p-INTERGENIC393453,10.612361547602205,1.0,False,1.0,False,165.6067221869461,134.23347313256676,False
21,2,p-sgCREB1-5,15.824565731648988,1.0,False,1.0,False,170.4428040902802,126.35007497522842,False
22,2,p-sgCREB1-5_p-INTERGENIC216151,16.443183675300872,1.0,False,1.0,False,169.8272806944865,140.55477718357676,False
23,2,p-sgCREB1-5_p-INTERGENIC393453,21.405993474069874,0.0,True,0.0,True,183.86304315255546,153.2738198512375,True
24,2,p-sgE2F4-6,15.61725412919344,1.0,False,1.0,False,176.9621624635295,155.23540582212908,False
25,2,p-sgE2F4-6_p-INTERGENIC216151,14.78261388145782,1.0,False,1.0,False,163.84034985095604,124.44735755085614,False
26,2,p-sgE2F4-7,11.72321656235087,1.0,False,1.0,False,194.44292209261712,191.49586331940617,False
27,2,p-sgEGR1-2,12.714852967507426,1.0,False,1.0,False,166.60046377698978,139.93386720212413,False
28,2,p-sgEGR1-3,15.963392339101972,1.0,False,1.0,False,166.43276007299846,114.98894414368057,False
29,2,p-sgEGR1-4,16.963621194762908,1.0,False,1.0,False,167.88796153764656,108.35210257034288,False
30,2,p-sgELF1-1,15.083229933739915,1.0,False,1.0,False,163.31180390616595,111.41081179023944,False
31,2,p-sgELF1-1_p-INTERGENIC393453,13.840196361375206,1.0,False,1.0,False,169.53153605671008,146.82922637058053,False
32,2,p-sgELF1-2,15.448645424683065,1.0,False,1.0,False,176.28188793415936,137.49131419288452,False
33,2,p-sgELF1-2_p-INTERGENIC216151,16.141776272134535,1.0,False,1.0,False,165.8660406553219,137.02453741328307,False
34,2,p-sgELF1-4,8.287056363955742,1.0,False,1.0,False,172.36871436221674,146.85561146889177,False
35,2,p-sgELF1-5,14.868662137402964,1.0,False,1.0,False,179.5639331974231,154.84622031904053,False
36,2,p-sgELF1-5_p-sgELF1-2,13.238966663015447,1.0,False,1.0,False,163.066193619502,126.23749876842727,False
37,2,p-sgELK1-1,17.554958132545636,1.0,False,1.0,False,165.94904843613818,135.8797449860753,False
38,2,p-sgELK1-1_p-INTERGENIC393453,9.368509766627028,1.0,False,1.0,False,183.2380476542085,174.0915086346592,False
39,2,p-sgELK1-6,9.805512877444073,1.0,False,1.0,False,172.12935344301653,150.0274440120875,False
40,2,p-sgELK1-6_p-sgELF1-2,11.122423814415242,1.0,False,1.0,False,176.2566875854328,151.7329385110777,False
41,2,p-sgELK1-7,10.406938635186833,1.0,False,1.0,False,171.68931114797965,137.4198510381305,False
42,2,p-sgETS1-3,12.079818055126708,1.0,False,1.0,False,177.46779075260474,147.90820576073364,False
43,2,p-sgETS1-3_p-INTERGENIC393453,16.91863972050578,1.0,False,1.0,False,183.77170342919771,154.1618682750579,False
44,2,p-sgETS1-5,15.54787282144926,1.0,False,1.0,False,169.30613479885315,121.0679862983868,False
45,2,p-sgETS1-5_p-INTERGENIC393453,16.886730285088134,1.0,False,1.0,False,192.48240328493034,163.5478644420718,False
46,2,p-sgGABPA-1,15.034785952314877,1.0,False,1.0,False,182.0408833204775,155.0773521137536,False
47,2,p-sgGABPA-9,14.845404854057364,1.0,False,1.0,False,175.55848404385537,147.7546566118605,False
48,2,p-sgGABPA-9_p-INTERGENIC393453,8.757709605637416,1.0,False,1.0,False,167.0755200881619,134.72993604777471,False
49,2,p-sgIRF1-2,18.76159156241647,1.0,False,1.0,False,176.52711655993113,144.86315368465586,False
50,2,p-sgIRF1-3,16.10519164333678,1.0,False,1.0,False,173.22051974021574,128.02032890848812,False
51,2,p-sgNR2C2-2,16.397248678187538,1.0,False,1.0,False,171.08542686362748,123.74667356744814,False
52,2,p-sgNR2C2-3,6.704588891507967,1.0,False,1.0,False,186.6601107202039,180.60354621337464,False
53,2,p-sgNR2C2-5,13.69969026717996,1.0,False,1.0,False,170.99837473553538,143.9503308188568,False
54,2,p-sgNR2C2-5_p-INTERGENIC393453,21.08570991607951,1.0,False,1.0,False,194.09110144673303,173.44114902159683,False
55,2,p-sgNR2C2-5_p-sgELF1-2,13.807623196418092,1.0,False,1.0,False,175.36062659853738,151.73784284912347,False
