,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,significant_adj_new
0,2,BMS,59.43523547641105,0.0,True,0.0,True,202.33871793039148,98.52767948030161,True
1,2,Dex,64.65383697988877,0.0,True,0.0,True,166.43145330822117,51.56607469055915,True
2,2,Nutlin,59.93026939341259,0.0,True,0.0,True,175.06158942937375,79.70194507168092,True
3,2,SAHA,101.60039929452275,0.0,True,0.0,True,281.85091103755207,170.2961422405457,True
4,2,control,0.0,0.0,True,0.0,control,58.953157551067626,58.953157551067626,control
5,6,BMS,59.435225427124536,0.0,True,0.0,True,265.69302692779104,194.05737231636542,True
6,6,Dex,64.65390031041788,0.0,True,0.0,True,218.24107722782838,102.56443508126252,True
7,6,Nutlin,59.9302490517898,0.0,True,0.0,True,230.9817622318234,149.75384327951522,True
8,6,SAHA,101.60036793977223,0.0,True,0.0,True,323.7354188158013,215.9751892317345,True
9,6,control,0.0,0.0,True,0.0,control,82.74321298838069,82.74321298838069,control
10,13,BMS,59.435051131645665,0.0,True,0.0,True,299.9441960609798,238.7357873189599,True
11,13,Dex,64.65371383232669,0.0,True,0.0,True,247.01127807126534,137.8812759381192,True
12,13,Nutlin,59.930081585409866,0.0,True,0.0,True,259.16086341604716,182.61644769524818,True
13,13,SAHA,101.6001155655237,0.0,True,0.0,True,357.6592319384157,261.5548085555523,True
14,13,control,0.0,0.0,True,0.0,control,104.05446777079567,104.05446777079567,control
15,21,BMS,59.4351327817792,0.0,True,0.0,True,331.2406419960578,265.94264940649333,True
16,21,Dex,64.6538440399346,0.0,True,0.0,True,276.0296445445687,161.02610472311287,True
17,21,Nutlin,59.93017133982454,0.0,True,0.0,True,288.16286933726997,205.87917135881145,True
18,21,SAHA,101.60014956413349,0.0,True,0.0,True,389.7979722168386,290.83936768160953,True
19,21,control,0.0,0.0,True,0.0,control,138.65896641046962,138.65896641046962,control
20,31,BMS,59.43515730613889,0.0,True,0.0,True,373.9442987416994,290.74734981928987,True
21,31,Dex,64.65382723183895,0.0,True,0.0,True,317.9144686407876,184.24393501068306,True
22,31,Nutlin,59.930190037522735,0.0,True,0.0,True,330.50451252180096,230.02441662030924,True
23,31,SAHA,101.60013821860697,0.0,True,0.0,True,430.9831042743503,312.71298726719687,True
24,31,control,0.0,0.0,True,0.0,control,199.01628339781752,199.01628339781752,control
25,43,BMS,59.43524242308172,0.0,True,0.0,True,424.2378885358049,319.24596080339825,True
26,43,Dex,64.65393034591631,0.0,True,0.0,True,366.6869202710794,209.7617553906266,True
27,43,Nutlin,59.930277391315315,0.0,True,0.0,True,380.6224714309979,258.2579547280294,True
28,43,SAHA,101.6003067831455,0.0,True,0.0,True,478.7604281437811,336.3065486189119,True
29,43,control,0.0,0.0,True,0.0,control,270.8148498398349,270.8148498398349,control
30,56,BMS,59.435168209796814,0.0,True,0.0,True,476.50380840341734,348.6731009161691,True
31,56,Dex,64.65380919912465,0.0,True,0.0,True,417.55390593921004,236.35540049682464,True
32,56,Nutlin,59.93020026639934,0.0,True,0.0,True,432.61338628533747,287.09748880965907,True
33,56,SAHA,101.6002320063902,0.0,True,0.0,True,529.0151789175037,361.6490105244926,True
34,56,control,0.0,0.0,True,0.0,control,345.85326368941617,345.85326368941617,control
35,70,BMS,59.43515564995549,0.0,True,0.0,True,530.6926461972432,380.78413070827304,True
36,70,Dex,64.65385795737863,0.0,True,0.0,True,470.26973633686515,265.64078947175125,True
37,70,Nutlin,59.930174415817945,0.0,True,0.0,True,485.82448202338827,317.28468881251774,True
38,70,SAHA,101.60012927519033,0.0,True,0.0,True,579.7075067800661,386.85966665330574,True
39,70,control,0.0,0.0,True,0.0,control,421.89375237289994,421.89375237289994,control
40,85,BMS,59.43520705065963,0.0,True,0.0,True,586.0754505550427,413.8352191389033,True
41,85,Dex,64.65384573251346,0.0,True,0.0,True,524.0485391085286,295.48315314417795,True
42,85,Nutlin,59.93023530242935,0.0,True,0.0,True,540.2095570875551,348.3847045000094,True
43,85,SAHA,101.60031435113818,0.0,True,0.0,True,632.8219656018696,415.377803034266,True
44,85,control,0.0,0.0,True,0.0,control,499.47842275767914,499.47842275767914,control
45,100,BMS,59.435093143444035,0.0,True,0.0,True,639.1734128573906,444.9482637451456,True
46,100,Dex,64.65374409062004,0.0,True,0.0,True,576.1036774921728,324.5438586578949,True
47,100,Nutlin,59.93012845299613,0.0,True,0.0,True,593.6195837997265,380.1678897506484,True
48,100,SAHA,101.600211642173,0.0,True,0.0,True,684.1949769941745,443.0909772331259,True
49,100,control,0.0,0.0,True,0.0,control,574.4274555355861,574.4274555355861,control
