,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,significant_adj_new
0,2,HMGCS1,19.957970337217148,1.0,False,1.0,False,284.9872270506106,241.84293277224893,False
1,2,MAT2A,26.709962144587962,1.0,False,1.0,False,378.67823652007365,394.63871712714274,False
2,2,MMAB,16.186003631753692,1.0,False,1.0,False,308.01754134032933,301.54065449611454,False
3,2,MVK,20.543124713057978,1.0,False,1.0,False,295.0845226703664,265.1004612612228,False
4,2,PMVK,25.51346772644672,1.0,False,1.0,False,324.09504020160006,299.5306210643845,False
5,2,PPP2R1A,21.329086618492738,1.0,False,1.0,False,316.4847121621374,297.73335075088096,False
6,2,PPP2R1A_MAT2A,41.02073013379163,1.0,False,1.0,False,464.532135420885,554.1931613288464,False
7,2,UBA1,21.134106935589216,1.0,False,1.0,False,340.99213339837894,363.97082954222225,False
8,2,UBA1_MAT2A,24.452782664517827,1.0,False,1.0,False,390.0514020551156,451.3180549642509,False
9,2,UBA1_PPP2R1A,25.9550232661677,1.0,False,1.0,False,460.4885564933749,559.3877447987486,False
10,2,UBA1_PPP2R1A_MAT2A,116.62621465359291,0.0,True,0.0,True,690.6766903639628,759.1593917137455,True
11,2,UROD,24.322130702931418,1.0,False,1.0,False,327.5368520532738,306.8360692462624,False
12,2,UROD_PPP2R1A,22.16371978240454,1.0,False,1.0,False,439.32079346773645,543.9875408640011,False
13,2,UROD_PPP2R1A_MAT2A,68.55943896003077,0.0,True,0.0,True,599.1377475700256,741.0577048665256,True
14,2,control,0.0,0.0,True,0.0,control,314.47020660341417,314.47020660341417,control
15,6,HMGCS1,19.957965361612537,1.0,False,1.0,False,394.4886252494443,334.5926826990003,False
16,6,MAT2A,26.7099150598184,1.0,False,1.0,False,493.92426727593096,496.232735058629,False
17,6,MMAB,16.18596567476345,1.0,False,1.0,False,423.08202970216024,403.8073583267316,False
18,6,MVK,20.54310005307059,1.0,False,1.0,False,425.47630883397034,399.7143656471844,False
19,6,PMVK,25.5134521086012,1.0,False,1.0,False,431.6042400466764,386.57061322357674,False
