,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,significant_adj_new
0,2,Ana-12,48.026276850354975,0.0,True,0.0,True,176.7170522632684,181.18220616198417,True
1,2,Ispenisib,40.52555071974447,0.0,True,0.0,True,166.41421216017207,171.02339004058956,True
2,2,RO4929097,37.64980990569748,0.0,True,0.0,True,166.00966369870397,181.78372659990612,True
3,2,Tazemetostat,44.79709585256069,0.0,True,0.0,True,157.8909752582618,163.2214807857172,True
4,2,control,0.0,0.0,True,0.0,control,101.49997934415171,101.49997934415171,control
5,2,etoposide,20.962935326596636,0.0,True,0.0,True,117.11012809058882,107.57144405049745,True
6,2,panobinostat,29.175266925353725,0.0,True,0.0,True,105.77649104542819,103.24681862667103,True
7,6,Ana-12,48.026276850354975,0.0,True,0.0,True,252.72840436047358,238.07686475782245,True
8,6,Ispenisib,40.52555071974447,0.0,True,0.0,True,240.63585045944728,227.62308279933183,True
9,6,RO4929097,37.64980990569748,0.0,True,0.0,True,239.64233330328295,235.32646150380197,True
10,6,Tazemetostat,44.79709585256069,0.0,True,0.0,True,243.10368178683305,213.90857629224004,True
11,6,control,0.0,0.0,True,0.0,control,186.18732920549704,186.18732920549704,control
12,6,etoposide,20.962935326596636,0.0,True,0.0,True,194.44015673595834,163.8248486945825,True
13,6,panobinostat,29.175266925353725,0.0,True,0.0,True,199.013390238079,175.02558104915303,True
14,13,Ana-12,48.026276850354975,0.0,True,0.0,True,296.6913958815634,273.9218045710937,True
15,13,Ispenisib,40.52555071974447,0.0,True,0.0,True,288.45863193004016,265.7940475582904,True
16,13,RO4929097,37.64980990569748,0.0,True,0.0,True,287.26530384800566,275.8451291078728,True
17,13,Tazemetostat,44.79709585256069,0.0,True,0.0,True,288.6786813174503,246.34137040006715,True
18,13,control,0.0,0.0,True,0.0,control,233.9351850314949,233.9351850314949,control
19,13,etoposide,20.962935326596636,0.0,True,0.0,True,239.43360665704762,203.3566785528036,True
20,13,panobinostat,29.175266925353725,0.0,True,0.0,True,257.7838111288643,228.61284388843077,True
21,21,Ana-12,48.026276850354975,0.0,True,0.0,True,328.18334725883534,299.41479308742254,True
22,21,Ispenisib,40.52555071974447,0.0,True,0.0,True,322.18372470710887,292.4203891691892,True
23,21,RO4929097,37.64980990569748,0.0,True,0.0,True,321.49726938003124,304.4346601592909,True
24,21,Tazemetostat,44.79709585256069,0.0,True,0.0,True,322.47398009855243,271.91726826253375,True
25,21,control,0.0,0.0,True,0.0,control,269.6571695225215,269.6571695225215,control
26,21,etoposide,20.962935326596636,0.0,True,0.0,True,272.05187220219636,231.0013375613454,True
27,21,panobinostat,29.175266925353725,0.0,True,0.0,True,296.0441319737861,264.22428581034524,True
28,31,Ana-12,48.026276850354975,0.0,True,0.0,True,351.8057330562062,319.2974154381978,True
29,31,Ispenisib,40.52555071974447,0.0,True,0.0,True,347.64804236923317,315.0905197076893,True
30,31,RO4929097,37.64980990569748,0.0,True,0.0,True,346.14062808143814,326.2414523301134,True
31,31,Tazemetostat,44.79709585256069,0.0,True,0.0,True,345.96466051783517,292.1266309218923,True
32,31,control,0.0,0.0,True,0.0,control,295.7779067406879,295.7779067406879,control
33,31,etoposide,20.962935326596636,0.0,True,0.0,True,297.0329761553235,253.8145686609312,True
34,31,panobinostat,29.175266925353725,0.0,True,0.0,True,324.7254222248605,294.1546823894853,True
