,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,ncells,significant_adj_new
0,0.0027962028188198707,2i (LIF+MEKi+GSK3i),91.13356986129122,0.0,True,0.0,True,2188.785495370652,1747.4829962301978,34,True
1,0.0027962028188198707,control,0.0,0.0,True,0.0,control,2356.3671339183525,2356.3671339183525,34,control
2,0.02507208781817638,2i (LIF+MEKi+GSK3i),72.02288178633131,0.0,True,0.0,True,878.9983228618379,708.6192283730629,302,True
3,0.02507208781817638,control,0.0,0.0,True,0.0,control,911.5642909896937,911.5642909896937,302,control
4,0.06912625135579575,2i (LIF+MEKi+GSK3i),49.59089834087308,0.0,True,0.0,True,710.4101548364871,631.9231540498278,830,True
5,0.06912625135579575,control,0.0,0.0,True,0.0,control,692.2453128707656,692.2453128707656,830,control
6,0.1339745962155613,2i (LIF+MEKi+GSK3i),56.12082500982086,0.0,True,0.0,True,682.6380589181225,610.3255484798003,1609,True
7,0.1339745962155613,control,0.0,0.0,True,0.0,control,649.0685572020549,649.0685572020549,1609,control
8,0.2181685175319702,2i (LIF+MEKi+GSK3i),50.86939296868036,0.0,True,0.0,True,661.8357624366597,605.9727472301747,2620,True
9,0.2181685175319702,control,0.0,0.0,True,0.0,control,619.6899781969131,619.6899781969131,2620,control
10,0.31982726222908053,2i (LIF+MEKi+GSK3i),50.92872476856854,0.0,True,0.0,True,655.206563362526,598.0049538037576,3840,True
11,0.31982726222908053,control,0.0,0.0,True,0.0,control,614.7095782514361,614.7095782514361,3840,control
12,0.43667994193637794,2i (LIF+MEKi+GSK3i),50.68253759458452,0.0,True,0.0,True,652.5664573232043,596.5799055278521,5243,True
13,0.43667994193637794,control,0.0,0.0,True,0.0,control,611.8143790658897,611.8143790658897,5243,control
14,0.5661162608824419,2i (LIF+MEKi+GSK3i),50.62848309140338,0.0,True,0.0,True,651.4207540600022,594.7965996151852,6797,True
15,0.5661162608824419,control,0.0,0.0,True,0.0,control,611.5417962164298,611.5417962164298,6797,control
16,0.7052448255890957,2i (LIF+MEKi+GSK3i),50.74108027490803,0.0,True,0.0,True,651.5671866842064,594.4849267483022,8468,True
17,0.7052448255890957,control,0.0,0.0,True,0.0,control,612.148201086987,612.148201086987,8468,control
18,0.8509577338238256,2i (LIF+MEKi+GSK3i),50.81897814699897,0.0,True,0.0,True,650.5973117302091,593.2738280713828,10217,True
19,0.8509577338238256,control,0.0,0.0,True,0.0,control,611.5376725736704,611.5376725736704,10217,control
20,1.0,2i (LIF+MEKi+GSK3i),51.51569877504886,0.0,True,0.0,True,650.7874343151015,592.4176084652685,12006,True
21,1.0,control,0.0,0.0,True,0.0,control,611.6504080194691,611.6504080194691,12006,control
