,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,ncells,significant_adj_new
0,0.0027962028188198707,ACLY.inhibitor,85.9923114391182,0.01,True,0.049009950100000005,True,1131.1966168642523,952.5057460183268,7,True
1,0.0027962028188198707,ACSS2.inhibitor,59.56419494557798,1.0,False,1.0,False,1141.5546327459351,994.3930908150501,7,False (lost)
2,0.0027962028188198707,Acetate,44.65670621086031,1.0,False,1.0,False,1072.5356993107803,886.1180135021878,7,False (lost)
3,0.0027962028188198707,Chloride,83.69735176769186,0.0,True,0.0,True,1067.1660904191804,813.6078324403188,7,True
4,0.0027962028188198707,Citrate,49.44477921396174,1.0,False,1.0,False,1084.366117392079,918.2067042995311,7,False (lost)
5,0.0027962028188198707,PDH.inhibitor,48.739660611319096,1.0,False,1.0,False,1100.8155595373184,945.9927902799383,7,False (lost)
6,0.0027962028188198707,Pyruvate,66.7971105780696,0.0,True,0.0,True,1123.7434274147593,954.0331139778713,7,True
7,0.0027962028188198707,control,0.0,0.0,True,0.0,control,960.5113200024722,960.5113200024722,7,control
8,0.02507208781817638,ACLY.inhibitor,3.444850272724196,0.01,True,0.01,True,246.85419499459883,224.88067416116124,60,True
9,0.02507208781817638,ACSS2.inhibitor,5.584068532430791,0.0,True,0.0,True,260.6891621819327,250.55145653717253,60,True
10,0.02507208781817638,Acetate,17.972631590816377,0.0,True,0.0,True,295.467909364663,297.1419594530117,60,True
11,0.02507208781817638,Chloride,24.95840442463171,0.0,True,0.0,True,285.3439237809003,267.556279432077,60,True
12,0.02507208781817638,Citrate,10.017739199775178,0.0,True,0.0,True,304.44116336202984,330.07012935528724,60,True
13,0.02507208781817638,PDH.inhibitor,4.185293923216037,0.0,True,0.0,True,286.1647778905422,302.88605098871415,60,True
14,0.02507208781817638,Pyruvate,6.768032906532724,0.0,True,0.0,True,274.6069174195785,273.0692326213211,60,True
15,0.02507208781817638,control,0.0,0.0,True,0.0,control,258.1735246902628,258.1735246902628,60,control
16,0.06912625135579575,ACLY.inhibitor,3.3343196184096797,0.0,True,0.0,True,202.14296229576289,200.99069875983736,164,True
17,0.06912625135579575,ACSS2.inhibitor,2.9179687239723933,0.0,True,0.0,True,197.81752940063856,192.27012878503947,164,True
18,0.06912625135579575,Acetate,23.98855313370835,0.0,True,0.0,True,215.16467831262275,193.57275065432108,164,True
19,0.06912625135579575,Chloride,23.298807696767412,0.0,True,0.0,True,204.83436880972252,175.0928664754243,164,True
20,0.06912625135579575,Citrate,17.57339627714167,0.0,True,0.0,True,221.68626761046184,216.71383566561684,164,True
21,0.06912625135579575,PDH.inhibitor,6.733711553944175,0.0,True,0.0,True,198.5387285602182,187.79549822735274,164,True
22,0.06912625135579575,Pyruvate,16.98127755477475,0.0,True,0.0,True,216.99713309589617,207.87591964299241,164,True
23,0.06912625135579575,control,0.0,0.0,True,0.0,control,197.8375381167196,197.8375381167196,164,control
24,0.1339745962155613,ACLY.inhibitor,0.9137754242559168,0.0,True,0.0,True,172.12916402891733,169.85256656456852,317,True
25,0.1339745962155613,ACSS2.inhibitor,1.902360361907327,0.0,True,0.0,True,171.9155859136901,168.1408678555279,317,True
