,edist,pvalue,significant,pvalue_adj,significant_adj,log10_edist
DOK2_1,2.112566399387088,1.0,False,1.0,False,0.3248103680047964
DOK2_2,1.2755234953122816,1.0,False,1.0,False,0.10568846278155597
EGR1_1,1.2957118295811263,1.0,False,1.0,False,0.11250842380409391
EGR1_2,2.238747406362325,0.0,True,0.0,True,0.3500050957177545
EGR2_1,1.6890952835415014,1.0,False,1.0,False,0.2276541492448354
EGR2_2,1.3881723076525923,1.0,False,1.0,False,0.142443376506603
EGR3_1,0.7137784481808147,1.0,False,1.0,False,-0.14643656926555187
EGR3_2,1.8966085962661872,1.0,False,1.0,False,0.27797771464171406
EGR4_1,1.233340022938119,1.0,False,1.0,False,0.09108282495589919
EGR4_2,1.1005160855214378,1.0,False,1.0,False,0.04159639473320584
FOS_1,2.021398383377498,1.0,False,1.0,False,0.3056519140359261
FOS_2,1.301825361517185,1.0,False,1.0,False,0.11455272799836488
JUND_1,1.2395668158696616,1.0,False,1.0,False,0.09326994133491497
JUND_2,1.244280331715597,1.0,False,1.0,False,0.09491823630466983
JUN_1,1.7148058948134413,1.0,False,1.0,False,0.23421496777103565
JUN_2,2.925492839739757,0.0,True,0.0,True,0.4661990394949962
LAT_1,3.248051495562205,0.0,True,0.0,True,0.5116229060559673
LAT_2,3.164127200121829,0.0,True,0.0,True,0.5002539341178649
LCK_1,2.6330748452074424,0.0,True,0.0,True,0.42046320411123683
LCK_2,2.368423065478762,0.0,True,0.0,True,0.37445928191569267
NFAT5_1,1.3248329694449588,1.0,False,1.0,False,0.12216112731358042
NFAT5_2,0.8139683174552452,1.0,False,1.0,False,-0.08939249906920367
NFATC1_1,2.240966191235767,0.0,True,0.0,True,0.3504353045178794
NFATC1_2,1.609420526296777,1.0,False,1.0,False,0.20666953594991264
NFKB1_1,0.8899263040948959,1.0,False,1.0,False,-0.050645956332734346
NFKB1_2,1.631081472275124,1.0,False,1.0,False,0.21247565452636588
NFKB2_1,1.1785153450937322,1.0,False,1.0,False,0.07133524171494177
NFKB2_2,0.7424472797389576,1.0,False,1.0,False,-0.12933437962872774
NR4A1_1,1.9495262483260767,1.0,False,1.0,False,0.2899290868830365
NR4A1_2,1.1717576259396871,1.0,False,1.0,False,0.0688377886422143
PTPN6_1,1.6173547453041088,1.0,False,1.0,False,0.2088052870869088
PTPN6_2,1.8070631507039785,1.0,False,1.0,False,0.25697332993948074
PTPN11_1,2.1746772121925027,1.0,False,1.0,False,0.3373948036506795
PTPN11_2,2.8621150513335856,0.0,True,0.0,True,0.4566870875492042
RELA_1,2.1397228009460925,1.0,False,1.0,False,0.33035751455614815
RELA_2,1.2413980567958554,1.0,False,1.0,False,0.09391106123344642
RUNX2_1,1.3727746622191255,1.0,False,1.0,False,0.1375992546538364
RUNX2_2,1.5142625838485095,1.0,False,1.0,False,0.18020119143110333
ZAP70_1,2.88268234339586,1.0,False,1.0,False,0.4597967880312588
ZAP70_2,3.0528970163078917,0.0,True,0.0,True,0.48471215444489146
control,0.0,0.0,True,0.0,True,-inf
