,edist,pvalue,significant,pvalue_adj,significant_adj,log10_edist
ATF2,24.48023639416411,0.0,True,0.0,True,1.388815607271944
CAV1,44.36323752885721,0.0,True,0.0,True,1.6470232324638583
ETV7,11.988872399911173,1.0,False,1.0,False,1.0787783379341083
IFNGR1,130.42769365669272,0.0,True,0.0,True,2.115369814749656
IRF1,28.24234552762624,0.0,True,0.0,True,1.4509007620470684
IRF7,18.5704260146928,0.0,True,0.0,True,1.2688218667827582
MARCH8,22.00336075959669,0.0,True,0.0,True,1.3424890193620582
PDL1,40.97420492356065,0.0,True,0.0,True,1.6125105351367306
STAT2,25.845724248602863,0.0,True,0.0,True,1.4123887064694567
control,0.0,0.0,True,0.0,True,-inf
