,edist,pvalue,significant,pvalue_adj,significant_adj,log10_edist
HACD2,16.327449488992897,1.0,False,1.0,False,1.2129183488905748
HACD2_MAT2A,44.15183514578348,0.0,True,0.0,True,1.644948759490569
MAP3K12,22.488097637938722,1.0,False,1.0,False,1.351952718206195
MAP3K12_MAT2A,24.27998777631842,1.0,False,1.0,False,1.385248463759118
MAP3K12_UBA1,34.94157648326075,0.0,True,0.0,True,1.5433424954533126
MAP3K12_UBA1_MAT2A,28.232890867226274,1.0,False,1.0,False,1.4507553493975442
MAT2A,14.44447669204476,1.0,False,1.0,False,1.1597018124402283
MMAB,29.966877247786954,1.0,False,1.0,False,1.4766414888677555
MMAB_MAT2A,39.58565550328001,0.0,True,0.0,True,1.5975378408659882
MVK,15.234141043727902,1.0,False,1.0,False,1.1828179721467695
PPCDC,15.53575152435593,1.0,False,1.0,False,1.1913322666020307
PPCDC_MAT2A,37.1791604503631,1.0,False,1.0,False,1.5702995786609675
PPP2R1A,13.781013334014574,1.0,False,1.0,False,1.1392811529265026
PPP2R1A_MAT2A,20.491375640109993,1.0,False,1.0,False,1.311571114714264
RAB7A,7.611365157266221,1.0,False,1.0,False,0.8814625578343885
RAB7A_MAT2A,22.801380981664124,1.0,False,1.0,False,1.357961151147548
RFK,9.68770161270919,1.0,False,1.0,False,0.9862207537983378
RFK_MAT2A,29.13198525267086,0.0,True,0.0,True,1.4643700814317149
UBA1,14.686743590402614,1.0,False,1.0,False,1.166925512775061
UBA1_MAT2A,37.511734366530675,1.0,False,1.0,False,1.5741671443533565
UBA1_RAB7A,12.812830430302427,1.0,False,1.0,False,1.1076450785720495
UBA1_RAB7A_MAT2A,60.52790698966044,0.0,True,0.0,True,1.781955656589624
UBA1_RFK,33.258292322734064,0.0,True,0.0,True,1.5218999462108276
UBA1_RFK_MAT2A,39.49233248393841,0.0,True,0.0,True,1.5965127846605425
UQCRQ,7.501101559976405,1.0,False,1.0,False,0.8751250455637206
UQCRQ_MAT2A,25.56189973244102,1.0,False,1.0,False,1.4075931269768676
UROD,16.752755298774048,1.0,False,1.0,False,1.2240862449636591
control,0.0,0.0,True,0.0,True,-inf
