,edist,pvalue,significant,pvalue_adj,significant_adj,log10_edist
ACE,14.969996638904803,0.0,True,0.0,True,1.1752217028343508
ACHE,4.630226903831357,1.0,False,1.0,False,0.6656022740994422
ADAMTS20,10.285784270546117,1.0,False,1.0,False,1.012237411381736
ARHGAP20,3.681081458469521,1.0,False,1.0,False,0.5659754280341122
ARID1B,5.585952523530523,1.0,False,1.0,False,0.7470972401984384
ATM,4.101144470195891,1.0,False,1.0,False,0.6129050683617961
ATP5C1,59.024796002264196,0.0,True,0.0,True,1.7710344947724659
ATXN7,11.849610665496073,1.0,False,1.0,False,1.073704081265582
BCL2,5.1070667511991985,1.0,False,1.0,False,0.7081715342777094
BCL2L1,4.925937377107175,1.0,False,1.0,False,0.6924888864008374
BDH1,2.9674415478104947,1.0,False,1.0,False,0.4723821730475639
BDNF,3.097953605225854,1.0,False,1.0,False,0.49107490950282723
BMPER,4.157832517131084,1.0,False,1.0,False,0.6188669914046058
C6orf203,3.4782900755758988,1.0,False,1.0,False,0.5413657976117081
CASP3,2.990716644047751,1.0,False,1.0,False,0.47577526767660105
CCDC85C,3.6037001322897027,1.0,False,1.0,False,0.5567486457060103
CCR5,2.808777484240494,1.0,False,1.0,False,0.44851733507403424
CDC5L,3.7717970041827016,1.0,False,1.0,False,0.5765483112297612
CDC42EP3,3.9472280110805116,1.0,False,1.0,False,0.5962922140808387
CH25H,5.600725182565213,1.0,False,1.0,False,0.74824426314837
CIC,11.136026143809175,0.0,True,0.0,True,1.0467302418515025
CLRN2,4.310778785349356,1.0,False,1.0,False,0.6345557368953861
CPS1,17.33843098366839,0.0,True,0.0,True,1.239009794064889
CSMD1,4.763456751993317,1.0,False,1.0,False,0.6779222265587705
CYCS,4.408226900778573,1.0,False,1.0,False,0.6442639404762045
DAPL1,4.676121363195733,1.0,False,1.0,False,0.6698857742353603
DDIT4,8.067164758815437,1.0,False,1.0,False,0.9067209267971476
EFNA5,7.087707644589159,1.0,False,1.0,False,0.8505057953688001
EGR2,7.093491540404727,1.0,False,1.0,False,0.8508600551381074
EPC2,6.255528024905516,1.0,False,1.0,False,0.7962639740812691
FAM171A2,2.0819108966728095,1.0,False,1.0,False,0.3184621382814333
FEZF2,28.296544070082007,0.0,True,0.0,True,1.4517333972577404
FGD4,3.9571815765227427,1.0,False,1.0,False,0.5973859784622971
FMNL1,8.373679432869494,1.0,False,1.0,False,0.9229163309043048
FRMD4A,2.43058086678559,1.0,False,1.0,False,0.38571007487137704
GABRG3,6.9139415473802615,1.0,False,1.0,False,0.8397257035608118
GBX2,51.49192040027654,0.0,True,0.0,True,1.711739089218777
GDI1,4.5536155942812115,1.0,False,1.0,False,0.6583563656886867
GIGYF2,4.450676581577596,1.0,False,1.0,False,0.648426036443958
GLIS3,6.497980568186222,1.0,False,1.0,False,0.8127784082797987
GPR156,23.470696784882506,0.0,True,0.0,True,1.3705259828809806
GRID2,3.578367357188995,1.0,False,1.0,False,0.5536849234338398
GSTP1,4.076667908497598,1.0,False,1.0,False,0.6103053346110398
GSX2,113.95538379211797,0.0,True,0.0,True,2.056734848129602
HDAC9,5.072941764826453,1.0,False,1.0,False,0.7052598768335308
HECW1,43.490815912195956,0.0,True,0.0,True,1.6383975553507932
HMGA2,3.3087092804293547,1.0,False,1.0,False,0.5196586095738838
HNRNPA2B1,3.7851639614821124,1.0,False,1.0,False,0.5780846965242445
IGF1R,4.235033727460348,1.0,False,1.0,False,0.6268568733660388
INSR,86.89461598442816,0.0,True,0.0,True,1.938992868270403
JPH3,11.655629290999144,1.0,False,1.0,False,1.066535726181829
KSR2,12.851650254143749,0.0,True,0.0,True,1.1089588981149123
LOXHD1,5.67519609071482,1.0,False,1.0,False,0.7539808719698525
LTF,4.453040485556301,1.0,False,1.0,False,0.6486566436095005
MAOA,3.231042258877096,1.0,False,1.0,False,0.5093426382024523
MEF2C,4.914161566296286,1.0,False,1.0,False,0.6914494309795232
MEGF6,6.6998285857951885,1.0,False,1.0,False,0.8260636914776049
MEGF10,5.094721700368325,1.0,False,1.0,False,0.707120465615184
NOP56,4.600729691688912,1.0,False,1.0,False,0.6628267177558896
NOS1,2.817908574178432,1.0,False,1.0,False,0.4499268985058
NOS3,4.869659015344013,1.0,False,1.0,False,0.6874985519868911
NQO1,146.83694328165916,0.0,True,0.0,True,2.1668353351773213
NR2F2,14.612627773200785,1.0,False,1.0,False,1.164728321668848
NTRK1,10.185144292010335,1.0,False,1.0,False,1.007967185990084
NUAK1,14.121697541441392,1.0,False,1.0,False,1.1498869055379073
P4HB,2.865083061774783,1.0,False,1.0,False,0.4571372171402462
PCDHA3,2.609955045058399,1.0,False,1.0,False,0.4166330269355175
PDGFA,4.4523632617888325,1.0,False,1.0,False,0.6485905905580867
PICALM,4.236189611044097,1.0,False,1.0,False,0.6269753908091993
POU4F1,7.738171348333594,1.0,False,1.0,False,0.888638342186965
PPARGC1A,3.5432744854653038,1.0,False,1.0,False,0.5494047969579369
PPP1R3B,8.086974860410237,1.0,False,1.0,False,0.9077860930423484
PPP2R2B,6.663485806539057,1.0,False,1.0,False,0.8237014769943942
PRNP,4.234485782987548,1.0,False,1.0,False,0.6268006790893825
PRRC2C,3.7960604560927322,1.0,False,1.0,False,0.5793331203881305
RBMS1,15.46327474485156,0.0,True,0.0,True,1.1893014723128368
RRAS2,5.550998382980254,1.0,False,1.0,False,0.7443711008208076
RUNX1T1,3.6349574923473824,1.0,False,1.0,False,0.5604993365301566
SEMA3C,3.2726538931012215,1.0,False,1.0,False,0.51490007794341
SERAC1,6.232465543450132,1.0,False,1.0,False,0.7946598861600327
SETX,16.569454410851733,0.0,True,0.0,True,1.2193082084641496
SHC1,6.026843464812629,1.0,False,1.0,False,0.7800899116851101
SLC2A3,9.238706580521097,1.0,False,1.0,False,0.9656111742221195
SMEK1,5.274725513786507,1.0,False,1.0,False,0.7221998647375987
SNCB,3.8059513558992535,1.0,False,1.0,False,0.5804632332417172
SOX5,44.61537842840988,0.0,True,0.0,True,1.6494845810309293
SPAST,11.109224295956011,1.0,False,1.0,False,1.0456837352912618
TFAM,6.379646837877601,1.0,False,1.0,False,0.8047966378737998
TMSB4X,11.603804534392253,1.0,False,1.0,False,1.0646004045196455
TNS3,7.2588026599587465,1.0,False,1.0,False,0.8608649897004533
