perturbation,MAP3K12_UBA1,UBA1_MAT2A,RFK_MAT2A,PPP2R1A_MAT2A,MMAB_MAT2A,MAT2A,UBA1_RFK,MAP3K12_MAT2A,PPCDC_MAT2A,UQCRQ_MAT2A,UBA1_RFK_MAT2A,UBA1_RAB7A_MAT2A,control,RAB7A,UROD,MVK,HACD2,UQCRQ,UBA1_RAB7A,MMAB,RFK,RAB7A_MAT2A,HACD2_MAT2A,MAP3K12_UBA1_MAT2A,UBA1,PPP2R1A,MAP3K12,PPCDC
MAP3K12_UBA1,1.0,-0.058933272712609806,0.011252212867722291,-0.012154461522276064,0.0238208678925944,0.11768393059652431,0.024624760313453852,-0.011943989777607798,0.05105784340558394,0.035300103453477005,0.031133802696716138,0.06790547107526598,-0.019280884600511,-0.0004249537709256982,0.0029590818918208773,-0.08170515794756275,-0.08450300269522786,-0.13289678953373016,-0.0005108023818541682,-0.056427858222070346,-0.10516004119970315,-0.1245689861602719,0.05434301224147718,-0.09181962041215559,-0.1573346004776401,-0.14233037737349824,-0.11356892930316358,-0.19189583149500783
UBA1_MAT2A,-0.058933272712609806,1.0,-0.04906587873219005,0.024142332437265875,-0.015701305740307196,-0.06686282573337272,0.02939912312464148,-0.0212674262181717,0.16461661501756492,0.1422414119971591,0.10645673762549372,0.0965328154068293,-0.07567355493042176,-0.10741656656426787,-0.10311103055309132,-0.08167870107906816,-0.14101415117940733,-0.04652677143619544,-0.15632500072451297,0.002686203468752353,-0.0729035796913176,-0.09174957050740606,-0.18435805608273043,-0.005090866698583393,-0.11138553250207577,-0.11322877539244436,-0.12849948124478516,-0.03756548670372363
RFK_MAT2A,0.011252212867722291,-0.04906587873219005,1.0,0.08785045545639258,-0.03550264922117629,-0.052625261502094345,-0.0010715164997749354,0.16500905976605798,0.11014190968950542,0.0395108693260868,0.10806293978945479,0.1992321681626522,-0.04313482531091572,-0.17278678005431367,-0.14467704691721966,0.0290025098039296,-0.09944083056084992,-0.022440073633930323,-0.21168100902096418,-0.12487338881813637,0.006934562933895341,-0.03031864926734172,-0.14552672632107672,-0.0921851457803764,-0.20288538622298397,-0.1629542464873932,-0.08298205758953811,0.03800315090579065
PPP2R1A_MAT2A,-0.012154461522276064,0.024142332437265875,0.08785045545639258,1.0,0.03607190763863915,0.016570419381113727,0.031190992543268785,0.06739672017571285,0.02123379495317339,0.07345729183091812,0.07721723197094264,0.12801658725852766,-0.020350760779535803,-0.031436543805649045,-0.06315948758387273,-0.07460292870483681,-0.06125507053864117,-0.22629746153832353,-0.04171834440495169,-0.05078227616264624,-0.09338374997762737,-0.03846925938994754,-0.09667255798816779,-0.1985506316447494,-0.10826163899763958,-0.16938189092025804,-0.09924075235811736,-0.13624667271501753
MMAB_MAT2A,0.0238208678925944,-0.015701305740307196,-0.03550264922117629,0.03607190763863915,1.0,0.0683761803369229,0.008490432312065163,0.15634366837464028,0.10251143392581198,-0.061192430360243404,0.111634589184216,0.20327155746640427,0.017611720687189573,-0.11406225288838275,-0.01085423286687288,-0.07194997540625057,-0.06927719680624173,0.057159323197019926,-0.12238607203258202,-0.26391564913526905,-0.15240634482344995,-0.0790419323668462,-0.17042555806069026,-0.1493668217963777,-0.08916149655042051,-0.19655361182664852,-0.14249015986969552,-0.05328171229722831
MAT2A,0.11768393059652431,-0.06686282573337272,-0.052625261502094345,0.016570419381113727,0.0683761803369229,1.0,0.06918241998119949,0.16797079193155023,0.09383269446262885,-0.09049488905690398,0.16349500344848583,0.21541678796693192,-0.01133604721641055,-0.09835363157327204,-0.00687681195945406,-0.05119263811121757,-0.11558312878471413,-0.035858173911914974,-0.07594726469960934,-0.22953545824009888,-0.03667381903632036,-0.14755081448908908,-0.1932499601484778,-0.11834234190966744,-0.15109519434790192,-0.22985885028591221,-0.167932751714076,-0.044554906069710305
UBA1_RFK,0.024624760313453852,0.02939912312464148,-0.0010715164997749354,0.031190992543268785,0.008490432312065163,0.06918241998119949,1.0,0.051520199632735596,0.1014684846189133,0.048466500532046534,0.12203431147289463,0.18285906553249212,-0.08058232581764493,-0.11415653348011355,-0.01888007821697435,-0.022001155803255408,-0.07606808359984514,-0.07977010044386935,-0.05109469797649912,-0.07175221064732612,-0.08977711957814104,-0.1526409306415335,-0.12368958888155761,-0.12248004455978109,-0.16119438969429098,-0.19322658500558615,-0.14146413446783146,-0.15442904204855315
MAP3K12_MAT2A,-0.011943989777607798,-0.0212674262181717,0.16500905976605798,0.06739672017571285,0.15634366837464028,0.16797079193155023,0.051520199632735596,1.0,0.0977896847775392,0.09472472158047929,0.10913478943274757,0.22341084511316342,-0.02006742632543495,-0.027898297555252062,-0.10411540158929854,-0.030099913563485698,-0.05398427876834838,-0.19951749775555908,-0.019751699947287316,-0.13674885192845124,-0.14565056224282408,-0.19528416687849812,-0.09700755999043598,-0.2691272126661472,-0.1298123692453091,-0.2743565092195804,-0.12694199594619618,-0.25599914048289685
PPCDC_MAT2A,0.05105784340558394,0.16461661501756492,0.11014190968950542,0.02123379495317339,0.10251143392581198,0.09383269446262885,0.1014684846189133,0.0977896847775392,1.0,0.3068080978753136,0.16992053983160021,0.29670989145543003,-0.09103288610229666,-0.1338425848178054,-0.13103887741480447,-0.16438425786698746,-0.14957066980082342,-0.1801582120361919,-0.13288201196423968,-0.03722380481795306,-0.23125956981075146,-0.20194663137656918,-0.21018214263695997,-0.0895408051539018,-0.13071879428906966,-0.30901588789639955,-0.2187114810372088,-0.27742855512500003
UQCRQ_MAT2A,0.035300103453477005,0.1422414119971591,0.0395108693260868,0.07345729183091812,-0.061192430360243404,-0.09049488905690398,0.048466500532046534,0.09472472158047929,0.3068080978753136,1.0,0.051206754410799096,0.16796661053654602,-0.12855286091430967,-0.17510675665607758,-0.18041592578577817,-0.08566272334021752,-0.16080846801141718,-0.13667846099463865,-0.17244301552793057,0.04806682514987589,-0.0818066714309964,-0.10769706979278501,-0.10836340148509378,-0.059425399251462306,-0.1316530348112637,-0.1830297127868258,-0.18165268746009042,-0.11941726281756875
