perturbation,MVK,MAT2A,HMGCS1,UBA1,PMVK,UROD,control,MMAB,PPP2R1A,PPP2R1A_MAT2A,UROD_PPP2R1A,UBA1_MAT2A,UBA1_PPP2R1A,UROD_PPP2R1A_MAT2A,UBA1_PPP2R1A_MAT2A
MVK,1.0,0.00596194414650157,0.15832087828514976,-0.030447166126667046,-0.05706849799471855,0.07713809672958331,0.053185091006228084,-0.031340000944266755,0.05634421558928423,-0.14774567441830602,-0.5894583435976767,-0.09814117112073459,-0.18764384219019778,-0.2329680775468218,-0.3655753439114011
MAT2A,0.00596194414650157,1.0,-0.0037918462564893963,0.012790045673533935,-0.04199276336684067,0.00712352840908784,-0.014463312265622905,-0.1036289881703505,-0.07305329458364801,-0.09105675867152228,-0.25057173301296964,-0.11352206793485749,-0.1442143629011235,-0.21151163064430212,-0.28794515710124813
HMGCS1,0.15832087828514976,-0.0037918462564893963,1.0,-0.04166269168022604,-0.03797611131832731,-0.1704550434059081,-0.14252379723440758,-0.15180385076132855,-0.2357896528025441,-0.0820651149333486,0.11610917015991105,-0.16800923054267133,-0.13260298937709764,-0.22860789355450012,-0.07904883196668945
UBA1,-0.030447166126667046,0.012790045673533935,-0.04166269168022604,1.0,-0.031812239133233354,-0.05909151032202198,-0.01428560319116599,-0.038763974398603934,-0.08350613714891614,-0.13110906747871678,-0.22877707838178826,-0.12884611290469788,-0.16457237756568918,-0.2146536484312673,-0.18274057389776988
PMVK,-0.05706849799471855,-0.04199276336684067,-0.03797611131832731,-0.031812239133233354,1.0,-0.014371672747190959,-0.054582924654272176,-0.0527116489682727,-0.12435378619869193,-0.024088188466728454,-0.20095169764907667,-0.1079800593683102,-0.1375776263085981,-0.11627744400416731,-0.12639813684345086
UROD,0.07713809672958331,0.00712352840908784,-0.1704550434059081,-0.05909151032202198,-0.014371672747190959,1.0,-0.08450330789610748,-0.12509050554438647,-0.19158248771130337,-0.04558057120138425,0.024111762808477894,-0.13334656295275696,-0.09444486595980721,-0.13079720588600516,-0.08665785936091197
control,0.053185091006228084,-0.014463312265622905,-0.14252379723440758,-0.01428560319116599,-0.054582924654272176,-0.08450330789610748,1.0,-0.13496562304408394,-0.161414805183541,-0.06364856878060156,0.018478708864374208,-0.09977286251924548,-0.12821858053658716,-0.14413753405663157,-0.07385759062077366
MMAB,-0.031340000944266755,-0.1036289881703505,-0.15180385076132855,-0.038763974398603934,-0.0527116489682727,-0.12509050554438647,-0.13496562304408394,1.0,-0.13848773844288503,-0.07756830761279551,0.09597895725845679,-0.09085993833829814,-0.014242373803617397,-0.05528795851108885,0.020939606089419804
PPP2R1A,0.05634421558928423,-0.07305329458364801,-0.2357896528025441,-0.08350613714891614,-0.12435378619869193,-0.19158248771130337,-0.161414805183541,-0.13848773844288503,1.0,-0.05666579275113123,0.17373304802244488,-0.08913649120448756,-0.013861334881188797,-0.05037070191614523,0.03929625762606186
PPP2R1A_MAT2A,-0.14774567441830602,-0.09105675867152228,-0.0820651149333486,-0.13110906747871678,-0.024088188466728454,-0.04558057120138425,-0.06364856878060156,-0.07756830761279551,-0.05666579275113123,1.0,-0.09902064277125586,-0.029403278313998204,-0.03370009768468603,0.03369153716463623,0.021031511827532788
UROD_PPP2R1A,-0.5894583435976767,-0.25057173301296964,0.11610917015991105,-0.22877707838178826,-0.20095169764907667,0.024111762808477894,0.018478708864374208,0.09597895725845679,0.17373304802244488,-0.09902064277125586,1.0,0.11157999747807942,0.0004727651545933228,0.25473153808470583,-0.031317532289389376
UBA1_MAT2A,-0.09814117112073459,-0.11352206793485749,-0.16800923054267133,-0.12884611290469788,-0.1079800593683102,-0.13334656295275696,-0.09977286251924548,-0.09085993833829814,-0.08913649120448756,-0.029403278313998204,0.11157999747807942,1.0,0.013125979324716762,0.05978600266167763,0.05739615635654456
UBA1_PPP2R1A,-0.18764384219019778,-0.1442143629011235,-0.13260298937709764,-0.16457237756568918,-0.1375776263085981,-0.09444486595980721,-0.12821858053658716,-0.014242373803617397,-0.013861334881188797,-0.03370009768468603,0.0004727651545933228,0.013125979324716762,1.0,0.14122368987895148,0.11455940772676035
UROD_PPP2R1A_MAT2A,-0.2329680775468218,-0.21151163064430212,-0.22860789355450012,-0.2146536484312673,-0.11627744400416731,-0.13079720588600516,-0.14413753405663157,-0.05528795851108885,-0.05037070191614523,0.03369153716463623,0.25473153808470583,0.05978600266167763,0.14122368987895148,1.0,0.3199297960749236
UBA1_PPP2R1A_MAT2A,-0.3655753439114011,-0.28794515710124813,-0.07904883196668945,-0.18274057389776988,-0.12639813684345086,-0.08665785936091197,-0.07385759062077366,0.020939606089419804,0.03929625762606186,0.021031511827532788,-0.031317532289389376,0.05739615635654456,0.11455940772676035,0.3199297960749236,1.0
