,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,ncounts,ncells,significant_adj_new
0,0.010178558119067316_0.010178558119067316,ATF2g1,42.07023351749889,0.0,True,0.0,True,21.035116758749446,0.0,73.0,1,True (gained)
1,0.010178558119067316_0.010178558119067316,ATF2g2,52.67803975774873,0.0,True,0.0,True,26.339019878874364,0.0,36.0,1,True
2,0.010178558119067316_0.010178558119067316,ATF2g3,55.73589428620183,0.0,True,0.0,True,27.867947143100913,0.0,34.0,1,True
3,0.010178558119067316_0.010178558119067316,ATF2g4,53.23797853117106,0.0,True,0.0,True,26.61898926558553,0.0,42.0,1,True (gained)
4,0.010178558119067316_0.010178558119067316,BRD4g1,47.1122353467655,0.0,True,0.0,True,23.55611767338275,0.0,40.0,1,True
5,0.010178558119067316_0.010178558119067316,BRD4g3,65.55993099787425,0.0,True,0.0,True,32.77996549893712,0.0,22.0,1,True (gained)
6,0.010178558119067316_0.010178558119067316,BRD4g4,43.211514790139084,0.0,True,0.0,True,21.605757395069542,0.0,46.0,1,True
7,0.010178558119067316_0.010178558119067316,CAV1g1,59.02690442066714,0.0,True,0.0,True,29.51345221033357,0.0,30.0,1,True (gained)
8,0.010178558119067316_0.010178558119067316,CAV1g2,56.69843351550927,0.0,True,0.0,True,28.349216757754636,0.0,29.0,1,True (gained)
9,0.010178558119067316_0.010178558119067316,CAV1g3,55.1750920632411,0.0,True,0.0,True,27.58754603162055,0.0,31.0,1,True (gained)
10,0.010178558119067316_0.010178558119067316,CAV1g4,54.039907800169296,0.0,True,0.0,True,27.019953900084648,0.0,34.0,1,True (gained)
11,0.010178558119067316_0.010178558119067316,CD86g1,62.44116276596883,0.0,True,0.0,True,31.220581382984417,0.0,26.0,1,True
12,0.010178558119067316_0.010178558119067316,CD86g2,53.06598459983176,0.0,True,0.0,True,26.53299229991588,0.0,33.0,1,True
13,0.010178558119067316_0.010178558119067316,CD86g3,38.12846537764835,0.0,True,0.0,True,19.064232688824173,0.0,94.0,1,True (gained)
14,0.010178558119067316_0.010178558119067316,CD86g4,48.26735351300926,0.0,True,0.0,True,24.13367675650463,0.0,54.0,1,True
15,0.010178558119067316_0.010178558119067316,CMTM6g1,56.311954223534165,0.0,True,0.0,True,28.155977111767083,0.0,33.0,1,True (gained)
16,0.010178558119067316_0.010178558119067316,CMTM6g2,67.25361795214702,0.0,True,0.0,True,33.62680897607351,0.0,10.0,1,True
17,0.010178558119067316_0.010178558119067316,CMTM6g3,66.8654669292524,0.0,True,0.0,True,33.4327334646262,0.0,9.0,1,True (gained)
18,0.010178558119067316_0.010178558119067316,CUL3g1,56.94099918391024,0.0,True,0.0,True,28.47049959195512,0.0,34.0,1,True
19,0.010178558119067316_0.010178558119067316,CUL3g2,51.16421212803877,0.0,True,0.0,True,25.582106064019385,0.0,34.0,1,True
20,0.010178558119067316_0.010178558119067316,ETV7g1,59.55457390658316,0.0,True,0.0,True,29.77728695329158,0.0,30.0,1,True (gained)
21,0.010178558119067316_0.010178558119067316,ETV7g2,57.643880445317876,0.0,True,0.0,True,28.821940222658938,0.0,24.0,1,True (gained)
22,0.010178558119067316_0.010178558119067316,ETV7g3,68.68095718361613,0.0,True,0.0,True,34.340478591808065,0.0,16.0,1,True (gained)
23,0.010178558119067316_0.010178558119067316,ETV7g4,47.40392052802766,0.0,True,0.0,True,23.70196026401383,0.0,44.0,1,True (gained)
