,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,ncounts,ncells,significant_adj_new
0,0.010178558119067316_0.010178558119067316,2-Methoxyestradiol (2-MeOE2),0.8349467249923057,0.1,False,0.999999987867393,False,1.521015526272186,0.7740984950165599,11.0,6,False (lost)
1,0.010178558119067316_0.010178558119067316,(+)-JQ1,0.9160662057787339,0.3,False,1.0,False,2.806346656823722,3.2636412753332036,12.833333,6,False (lost)
2,0.010178558119067316_0.010178558119067316,A-366,0.39148257842362444,0.4,False,1.0,False,1.2931670129145068,0.7618656148698819,15.333333,6,False (lost)
3,0.010178558119067316_0.010178558119067316,ABT-737,0.8090710529014435,0.35,False,1.0,False,1.9132173673083948,1.5843778491798381,8.166667,6,False (lost)
4,0.010178558119067316_0.010178558119067316,AC480 (BMS-599626),1.4633363850338537,0.0,True,0.0,True,1.9688749729914221,1.0414277284134836,11.5,6,True
5,0.010178558119067316_0.010178558119067316,AG-490 (Tyrphostin B42),0.6306554004425031,0.3,False,1.0,False,1.5780147396763777,1.0923882463747452,29.833334,6,False (lost)
6,0.010178558119067316_0.010178558119067316,AG-14361,0.5024358446505861,0.8,False,1.0,False,2.0693582490435283,2.203294820900963,21.333334,6,False (lost)
7,0.010178558119067316_0.010178558119067316,AICAR (Acadesine),0.2938949114568352,0.9,False,1.0,False,2.018735334206883,2.310589924421424,11.666667,6,False (lost)
8,0.010178558119067316_0.010178558119067316,AMG-900,0.912322947969276,0.2,False,0.9999999999999994,False,2.401204785431802,2.4571007903588207,16.333334,6,False (lost)
9,0.010178558119067316_0.010178558119067316,AR-42,0.4158553776821394,0.65,False,1.0,False,1.6675306014159883,1.486219992614331,13.666667,6,False (lost)
10,0.010178558119067316_0.010178558119067316,AT9283,0.4602818318692532,0.45,False,1.0,False,1.693029423425407,1.4927911824460538,18.5,6,False (lost)
11,0.010178558119067316_0.010178558119067316,AZ 960,0.8510377676504541,0.15,False,0.9999999999983671,False,1.9716256325432282,1.6592276649004958,11.666667,6,False (lost)
12,0.010178558119067316_0.010178558119067316,AZD1480,0.39435011904413697,0.65,False,1.0,False,1.9207621815180334,2.014188411456423,11.833333,6,False (lost)
13,0.010178558119067316_0.010178558119067316,Abexinostat (PCI-24781),0.6444800475932957,0.5,False,1.0,False,2.4854367593092057,2.893407638489609,12.666667,6,False (lost)
14,0.010178558119067316_0.010178558119067316,Alendronate sodium trihydrate,0.7703374203204332,0.4,False,1.0,False,2.2042315399840167,2.2051398271120926,9.5,6,False (lost)
15,0.010178558119067316_0.010178558119067316,Alisertib (MLN8237),0.6238992660211551,0.2,False,0.9999999999999994,False,1.9256513688633403,1.794417639170018,13.166667,6,False (lost)
16,0.010178558119067316_0.010178558119067316,Altretamine,0.5026583372749434,0.35,False,1.0,False,1.467377564856958,0.9991109599034659,22.5,6,False
17,0.010178558119067316_0.010178558119067316,Alvespimycin (17-DMAG) HCl,0.5495925483983197,0.4,False,1.0,False,1.8238915601913257,1.665204739448824,16.5,6,False (lost)
18,0.010178558119067316_0.010178558119067316,Aminoglutethimide ,0.3498425715672435,0.65,False,1.0,False,1.4831120592280023,1.1833957143532539,10.666667,6,False (lost)
19,0.010178558119067316_0.010178558119067316,Amisulpride,0.28285124799607564,0.9,False,1.0,False,1.5250150943098886,1.3341931080881948,16.833334,6,False (lost)
20,0.010178558119067316_0.010178558119067316,Anacardic Acid,0.5325140800975698,0.25,False,1.0,False,1.4396362563851168,0.9137726001371571,18.333334,6,False
21,0.010178558119067316_0.010178558119067316,Andarine,1.0236007477240188,0.05,False,0.9999117537696404,False,1.8176733913310659,1.1787602024026065,10.333333,6,False (lost)
22,0.010178558119067316_0.010178558119067316,Aurora A Inhibitor I,0.5733190179727563,0.4,False,1.0,False,1.7658357767000237,1.525366702891785,12.833333,6,False (lost)
23,0.010178558119067316_0.010178558119067316,Avagacestat (BMS-708163),0.6403867773432919,0.4,False,1.0,False,2.0122058368900317,1.9510390639012667,25.333334,6,False (lost)
24,0.010178558119067316_0.010178558119067316,Azacitidine ,0.7723965528605272,0.35,False,1.0,False,2.140981283669433,2.076580181942832,16.5,6,False (lost)
25,0.010178558119067316_0.010178558119067316,BMS-265246,0.4785530378171017,0.6,False,1.0,False,1.9846840786715505,2.0578292869904926,9.666667,6,False (lost)
26,0.010178558119067316_0.010178558119067316,BMS-536924,0.26992752983510404,0.85,False,1.0,False,1.680465328043165,1.6580172937157187,10.833333,6,False (lost)
27,0.010178558119067316_0.010178558119067316,BMS-754807,0.5875164425970212,0.45,False,1.0,False,2.046081491844252,2.071660708555976,15.166667,6,False (lost)
28,0.010178558119067316_0.010178558119067316,BMS-911543,1.053755571826906,0.15,False,0.9999999999983671,False,1.9837636693835872,1.4807859344047598,11.5,6,False (lost)
29,0.010178558119067316_0.010178558119067316,BRD4770,0.7632658224682976,0.3,False,1.0,False,2.303624739227269,2.4109978234507334,10.666667,6,False
30,0.010178558119067316_0.010178558119067316,Barasertib (AZD1152-HQPA),0.6221498541053343,0.5,False,1.0,False,2.1168582620859695,2.178580837531098,19.0,6,False (lost)
31,0.010178558119067316_0.010178558119067316,"Baricitinib (LY3009104, INCB028050)",0.5711635877491079,0.65,False,1.0,False,2.603420751375937,3.202692082467259,7.1666665,6,False (lost)
32,0.010178558119067316_0.010178558119067316,Belinostat (PXD101),0.7044328099117809,0.2,False,0.9999999999999994,False,1.831511069310827,1.5256034961743663,10.5,6,False (lost)
33,0.010178558119067316_0.010178558119067316,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),0.6839430830479118,0.2,False,0.9999999999999994,False,1.5341721194276903,0.9514153232719621,15.666667,6,False (lost)
34,0.010178558119067316_0.010178558119067316,Bosutinib (SKI-606),0.46164763473557047,0.85,False,1.0,False,2.4322623157931806,2.969891164315284,12.666667,6,False (lost)
35,0.010178558119067316_0.010178558119067316,Busulfan ,0.6537979753946779,0.25,False,1.0,False,1.746815102042595,1.406846396155005,19.5,6,False (lost)
36,0.010178558119067316_0.010178558119067316,CEP-33779,0.8882115749023818,0.15,False,0.9999999999983671,False,1.7439403421027608,1.1666832767676332,22.166666,6,False (lost)
37,0.010178558119067316_0.010178558119067316,CUDC-101,0.6852679448834951,0.6,False,1.0,False,2.5084982805864113,2.898742783753821,21.0,6,False (lost)
38,0.010178558119067316_0.010178558119067316,CUDC-907,0.6085758639017644,0.45,False,1.0,False,1.9304901101098508,1.8194185237824305,11.166667,6,False (lost)
39,0.010178558119067316_0.010178558119067316,CYC116,0.3446366531350713,0.95,False,1.0,False,1.98721155422247,2.196800622774362,12.0,6,False (lost)
40,0.010178558119067316_0.010178558119067316,Capecitabine ,1.012815732795051,0.05,False,0.9999117537696404,False,1.5007281356771127,0.5556547060236671,11.666667,6,False (lost)
41,0.010178558119067316_0.010178558119067316,Carmofur,0.5283560450141791,0.3,False,1.0,False,1.508308164846168,1.0552744521426503,24.666666,6,False (lost)
42,0.010178558119067316_0.010178558119067316,Cediranib (AZD2171),0.5277744612049222,0.65,False,1.0,False,2.0192471777471663,2.0777340617539037,12.166667,6,False (lost)
43,0.010178558119067316_0.010178558119067316,Celecoxib,0.6060898825130931,0.25,False,1.0,False,1.556760304087384,1.0744448931261679,17.666666,6,False (lost)
44,0.010178558119067316_0.010178558119067316,"Cerdulatinib (PRT062070, PRT2070)",0.35837634725746903,0.75,False,1.0,False,1.4557372165555702,1.1201122533181647,14.333333,6,False (lost)
45,0.010178558119067316_0.010178558119067316,Cimetidine ,0.8581462411965393,0.15,False,0.9999999999983671,False,1.8834803561366793,1.4758286385413126,26.833334,6,False (lost)
46,0.010178558119067316_0.010178558119067316,Clevudine ,1.0270875332049743,0.2,False,0.9999999999999994,False,2.633915794798377,2.8077582238562737,10.833333,6,False
47,0.010178558119067316_0.010178558119067316,Costunolide,0.9311417354395526,0.1,False,0.999999987867393,False,1.5360911550602063,0.7080547421453524,19.5,6,False (lost)
48,0.010178558119067316_0.010178558119067316,Crizotinib (PF-02341066),0.36521405134159224,0.4,False,1.0,False,1.4031751391516147,1.0081503944261305,38.333332,6,False (lost)
49,0.010178558119067316_0.010178558119067316,Curcumin,0.35515250128306053,0.6,False,1.0,False,1.6955470674856177,1.6029558011526686,17.0,6,False
50,0.010178558119067316_0.010178558119067316,Cyclocytidine HCl,0.6004364320241535,0.3,False,1.0,False,1.6492237768763662,1.2650252891930716,14.0,6,False (lost)
51,0.010178558119067316_0.010178558119067316,Dacinostat (LAQ824),0.6056262738838485,0.3,False,1.0,False,2.076979097643397,2.11534608886744,11.833333,6,False (lost)
52,0.010178558119067316_0.010178558119067316,Danusertib (PHA-739358),1.3987174500589177,0.0,True,0.0,True,2.0684006100688275,1.3050979375432321,9.666667,6,True
53,0.010178558119067316_0.010178558119067316,Daphnetin,1.4662185106395227,0.0,True,0.0,True,1.855261432591365,0.8113185220077006,13.833333,6,True
54,0.010178558119067316_0.010178558119067316,Dasatinib,0.2540164593410923,0.85,False,1.0,False,1.597245178340672,1.5074880648047446,23.833334,6,False (lost)
55,0.010178558119067316_0.010178558119067316,Decitabine,0.34678698814617936,1.0,False,1.0,False,2.386717417461843,2.9936620142420005,10.666667,6,False (lost)
56,0.010178558119067316_0.010178558119067316,Disulfiram ,0.759607536122338,0.35,False,1.0,False,1.7486088977190861,1.304624426780327,20.666666,6,False
57,0.010178558119067316_0.010178558119067316,Divalproex Sodium,0.37302428390677145,0.65,False,1.0,False,1.337436194550131,0.8688622726579832,11.333333,6,False (lost)
58,0.010178558119067316_0.010178558119067316,Droxinostat,0.7612747254561185,0.4,False,1.0,False,2.0761650950502646,1.9580696321089037,15.166667,6,False (lost)
59,0.010178558119067316_0.010178558119067316,EED226,1.0207879342988804,0.4,False,1.0,False,2.886079081103321,3.318384395372256,18.333334,6,False (lost)
