,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,ncells,significant_adj_new
0,0.0027962028188198707,control,0.0,0.0,True,0.0,control,901.13089935368,901.13089935368,5,control
1,0.0027962028188198707,crizotinib,445.65566798364443,0.13,False,0.13,False,1059.8406450903165,772.8947228433084,5,False (lost)
2,0.0027962028188198707,osimertinib,535.0508437609528,0.0,True,0.0,True,1112.8977324459224,789.613721777212,5,True
3,0.0027962028188198707,osimertinib+crizotinib,570.0032176194254,0.0,True,0.0,True,1124.621354038787,778.1085911044688,5,True
4,0.02507208781817638,control,0.0,0.0,True,0.0,control,501.44222068347244,501.44222068347244,38,control
5,0.02507208781817638,crizotinib,49.62213295800211,0.01,True,0.01,True,534.3962852302242,517.7282168189738,38,True
6,0.02507208781817638,osimertinib,133.33015567807752,0.0,True,0.0,True,516.4270457803115,398.08171519907296,38,True
7,0.02507208781817638,osimertinib+crizotinib,177.81783658717575,0.0,True,0.0,True,680.025550445479,680.7910436203098,38,True
8,0.06912625135579575,control,0.0,0.0,True,0.0,control,277.7546158701807,277.7546158701807,103,control
9,0.06912625135579575,crizotinib,13.16045924012127,0.0,True,0.0,True,267.5402091819529,244.1653432536038,103,True
10,0.06912625135579575,osimertinib,119.96645286489394,0.0,True,0.0,True,336.6562455899987,275.5914224449228,103,True
11,0.06912625135579575,osimertinib+crizotinib,171.4071600978575,0.0,True,0.0,True,377.88697100433575,306.61216604063327,103,True
12,0.1339745962155613,control,0.0,0.0,True,0.0,control,196.9797070362991,196.9797070362991,199,control
13,0.1339745962155613,crizotinib,11.321169086049224,0.0,True,0.0,True,212.38421190631084,216.46754769027336,199,True
14,0.1339745962155613,osimertinib,108.96789509896104,0.0,True,0.0,True,271.17314645940115,236.39869078354215,199,True
15,0.1339745962155613,osimertinib+crizotinib,156.01710739884703,0.0,True,0.0,True,287.80861339052467,222.6204123459032,199,True
16,0.2181685175319702,control,0.0,0.0,True,0.0,control,182.96154225391425,182.96154225391425,324,control
17,0.2181685175319702,crizotinib,8.050393055452815,0.0,True,0.0,True,198.4112818897268,205.81062847008656,324,True
18,0.2181685175319702,osimertinib,115.7873782897316,0.0,True,0.0,True,244.03576505547596,189.32260956730607,324,True
19,0.2181685175319702,osimertinib+crizotinib,156.65498890303544,0.0,True,0.0,True,259.04769035949516,178.4788495620406,324,True
20,0.31982726222908053,control,0.0,0.0,True,0.0,control,171.09575675059736,171.09575675059736,474,control
21,0.31982726222908053,crizotinib,7.9173123168259565,0.0,True,0.0,True,185.4810748796278,191.9490806918323,474,True
22,0.31982726222908053,osimertinib,110.7662647283482,0.0,True,0.0,True,232.47406627859368,183.0861110782418,474,True
23,0.31982726222908053,osimertinib+crizotinib,154.37305070853037,0.0,True,0.0,True,247.93100662970693,170.39320580028613,474,True
24,0.43667994193637794,control,0.0,0.0,True,0.0,control,161.6976230986754,161.6976230986754,648,control
25,0.43667994193637794,crizotinib,7.360778311081248,0.0,True,0.0,True,178.78571491416605,188.51302841857546,648,True
26,0.43667994193637794,osimertinib,109.05834914074117,0.0,True,0.0,True,224.4864577021116,178.21694316480668,648,True
27,0.43667994193637794,osimertinib+crizotinib,154.827035489571,0.0,True,0.0,True,233.88619729277906,151.24773599731174,648,True
28,0.5661162608824419,control,0.0,0.0,True,0.0,control,144.88133700064236,144.88133700064236,839,control
29,0.5661162608824419,crizotinib,8.40011994484584,0.0,True,0.0,True,170.46699611404028,187.65253528259237,839,True
30,0.5661162608824419,osimertinib,114.13318004138921,0.0,True,0.0,True,213.6500652819437,168.28561352185588,839,True
31,0.5661162608824419,osimertinib+crizotinib,156.46097798378742,0.0,True,0.0,True,228.16946673895578,154.99661849348175,839,True
32,0.7052448255890957,control,0.0,0.0,True,0.0,control,145.9187143904182,145.9187143904182,1046,control
33,0.7052448255890957,crizotinib,7.73491572366612,0.0,True,0.0,True,167.58310426435727,181.51257841463024,1046,True
34,0.7052448255890957,osimertinib,109.9406491507363,0.0,True,0.0,True,211.2720156469236,166.6846677526927,1046,True
35,0.7052448255890957,osimertinib+crizotinib,153.71951631748556,0.0,True,0.0,True,222.25621671101504,144.87420271412637,1046,True
36,0.8509577338238256,control,0.0,0.0,True,0.0,control,144.75281843520733,144.75281843520733,1262,control
37,0.8509577338238256,crizotinib,7.5193370717377945,0.0,True,0.0,True,167.60774302381574,182.94333054068636,1262,True
38,0.8509577338238256,osimertinib,110.99320375599834,0.0,True,0.0,True,211.18152193057915,166.61702166995263,1262,True
39,0.8509577338238256,osimertinib+crizotinib,152.68213750444946,0.0,True,0.0,True,218.70120397236676,139.96745200507675,1262,True
40,1.0,control,0.0,0.0,True,0.0,control,140.85042549358246,140.85042549358246,1482,control
41,1.0,crizotinib,7.949119018530183,0.0,True,0.0,True,165.61583760212238,182.43213069213212,1482,True
42,1.0,osimertinib,110.45382209867338,0.0,True,0.0,True,208.68150495492347,166.0587623175911,1482,True
43,1.0,osimertinib+crizotinib,152.0786207006413,0.0,True,0.0,True,217.43184859104613,141.9346509878685,1482,True
