,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,ncells,significant_adj_new
0,0.0027962028188198707,ATF2g1,4301.270286260695,0.42,False,0.42,False,4231.127852068912,2186.59631280743,2,False
1,0.0027962028188198707,IFNGR2g1,3882.781618264326,0.0,True,0.0,True,3621.6467542024675,1386.1227850709088,2,True
2,0.0027962028188198707,control,0.0,0.0,True,0.0,control,1974.3891050696998,1974.3891050696998,2,control
3,0.02507208781817638,ATF2g1,553.6328119061382,0.6,False,0.6,False,3642.1453842704072,3179.030471174216,13,False
4,0.02507208781817638,IFNGR2g1,807.8108191709935,0.0,True,0.0,True,3826.036952150456,3292.6355996694583,13,True
5,0.02507208781817638,control,0.0,0.0,True,0.0,control,3551.62748546046,3551.62748546046,13,control
6,0.06912625135579575,ATF2g1,110.45146462278763,0.5,False,0.5,False,1954.8675495781104,1700.4481068326315,35,False
7,0.06912625135579575,IFNGR2g1,381.55878084202914,0.0,True,0.0,True,2333.7283168978724,2187.062325252915,35,True
8,0.06912625135579575,control,0.0,0.0,True,0.0,control,2098.835527700801,2098.835527700801,35,control
9,0.1339745962155613,ATF2g1,36.92392786287428,0.8,False,0.8,False,1459.6285801848817,1450.9261232153717,67,False
10,0.1339745962155613,IFNGR2g1,337.5376939932262,0.0,True,0.0,True,1681.137373858796,1593.3299444328486,67,True
11,0.1339745962155613,control,0.0,0.0,True,0.0,control,1431.4071092915178,1431.4071092915178,67,control
12,0.2181685175319702,ATF2g1,20.66124007911253,0.39,False,0.39,False,1088.300521336182,1091.7443937084272,110,False
13,0.2181685175319702,IFNGR2g1,308.81846872852066,0.0,True,0.0,True,1305.9164509736029,1238.8190243338606,110,True
14,0.2181685175319702,control,0.0,0.0,True,0.0,control,1064.1954088848245,1064.1954088848245,110,control
15,0.31982726222908053,ATF2g1,10.199089324795978,0.71,False,0.71,False,977.8981737678035,1004.8506121635695,160,False
16,0.31982726222908053,IFNGR2g1,272.61728754038324,0.0,True,0.0,True,1063.0291230972718,912.6943126069184,160,True
17,0.31982726222908053,control,0.0,0.0,True,0.0,control,940.746646047242,940.746646047242,160,control
18,0.43667994193637794,ATF2g1,10.098633589916972,0.18,False,0.18,False,853.1996416952795,817.6893984720184,219,False
19,0.43667994193637794,IFNGR2g1,278.20281558931197,0.0,True,0.0,True,976.7977904312158,796.7815139444958,219,True
20,0.43667994193637794,control,0.0,0.0,True,0.0,control,878.6112513286239,878.6112513286239,219,control
21,0.5661162608824419,ATF2g1,7.567711664829403,0.08,False,0.08,False,781.2381317247452,781.0963849178228,284,False
22,0.5661162608824419,IFNGR2g1,280.0632540334758,0.0,True,0.0,True,917.8978210738622,781.9202212474096,284,True
23,0.5661162608824419,control,0.0,0.0,True,0.0,control,773.8121668668388,773.8121668668388,284,control
24,0.7052448255890957,ATF2g1,3.2594714933459272,0.79,False,0.79,False,737.8615077912074,743.6524287878044,353,False
25,0.7052448255890957,IFNGR2g1,256.66577514806204,0.0,True,0.0,True,861.1052155599684,736.7335406706102,353,True
26,0.7052448255890957,control,0.0,0.0,True,0.0,control,728.8111153012644,728.8111153012644,353,control
27,0.8509577338238256,ATF2g1,2.504347342545884,0.77,False,0.77,False,694.7807033212221,690.6251352439822,426,False
28,0.8509577338238256,IFNGR2g1,268.3699284884216,0.0,True,0.0,True,830.7522167653364,696.7025809863353,426,True
29,0.8509577338238256,control,0.0,0.0,True,0.0,control,696.431924055916,696.431924055916,426,control
30,1.0,ATF2g1,2.7569162122708804,0.4,False,0.4,False,677.5031579070378,672.097496153773,500,False
31,1.0,IFNGR2g1,268.2490806760784,0.0,True,0.0,True,814.6593180978756,680.9176520716409,500,True
32,1.0,control,0.0,0.0,True,0.0,control,680.1519034480326,680.1519034480326,500,control
