,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,ncells,significant_adj_new
0,0.0027962028188198707,2i (LIF+MEKi+GSK3i),210.6942978642469,0.02,True,0.02,True,2364.9111670051107,2202.2355853375334,34,True
1,0.0027962028188198707,control,0.0,0.0,True,0.0,control,2316.892450808441,2316.892450808441,34,control
2,0.02507208781817638,2i (LIF+MEKi+GSK3i),131.3756700412555,0.0,True,0.0,True,858.8740348732523,688.7742412273859,302,True
3,0.02507208781817638,control,0.0,0.0,True,0.0,control,897.5981584778633,897.5981584778633,302,control
4,0.06912625135579575,2i (LIF+MEKi+GSK3i),102.36775666937217,0.0,True,0.0,True,718.1971419524799,617.5266595230153,830,True
5,0.06912625135579575,control,0.0,0.0,True,0.0,control,716.4998677125717,716.4998677125717,830,control
6,0.1339745962155613,2i (LIF+MEKi+GSK3i),103.18450787066126,0.0,True,0.0,True,684.0802712189835,610.6619334677642,1609,True
7,0.1339745962155613,control,0.0,0.0,True,0.0,control,654.314101099542,654.314101099542,1609,control
8,0.2181685175319702,2i (LIF+MEKi+GSK3i),100.36510825207301,0.0,True,0.0,True,666.7929118814143,603.3631185724278,2620,True
9,0.2181685175319702,control,0.0,0.0,True,0.0,control,629.8575969383296,629.8575969383296,2620,control
10,0.31982726222908053,2i (LIF+MEKi+GSK3i),94.5879018703015,0.0,True,0.0,True,658.458299519808,598.784595354176,3840,True
11,0.31982726222908053,control,0.0,0.0,True,0.0,control,623.5441018151384,623.5441018151384,3840,control
12,0.43667994193637794,2i (LIF+MEKi+GSK3i),94.24257254795168,0.0,True,0.0,True,651.710664625284,590.886704540457,5243,True
13,0.43667994193637794,control,0.0,0.0,True,0.0,control,618.2920521621608,618.2920521621608,5243,control
14,0.5661162608824419,2i (LIF+MEKi+GSK3i),95.6151021923639,0.0,True,0.0,True,651.8812977385076,593.4143945253828,6797,True
15,0.5661162608824419,control,0.0,0.0,True,0.0,control,614.733098759272,614.733098759272,6797,control
16,0.7052448255890957,2i (LIF+MEKi+GSK3i),96.55865805143412,0.0,True,0.0,True,651.3771293991828,591.1983241333869,8468,True
17,0.7052448255890957,control,0.0,0.0,True,0.0,control,614.99727661354,614.99727661354,8468,control
18,0.8509577338238256,2i (LIF+MEKi+GSK3i),96.2908606444588,0.0,True,0.0,True,652.3781322724575,592.2155460099401,10217,True
19,0.8509577338238256,control,0.0,0.0,True,0.0,control,616.2498578905158,616.2498578905158,10217,control
20,1.0,2i (LIF+MEKi+GSK3i),95.90158491631394,0.0,True,0.0,True,649.397393567103,591.0353400436832,12006,True
21,1.0,control,0.0,0.0,True,0.0,control,611.8578621742166,611.8578621742166,12006,control
