,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,ncells,significant_adj_new
0,0.0027962028188198707,MAT2A,5607.408843879436,0.81,False,0.81,False,6296.815566738943,2946.71193712908,2,False
1,0.0027962028188198707,control,0.0,0.0,True,0.0,control,4039.5103524693686,4039.5103524693686,2,control
2,0.02507208781817638,MAT2A,823.7436067110712,0.29,False,0.29,False,5379.583599588196,4487.880913091858,13,False
3,0.02507208781817638,control,0.0,0.0,True,0.0,control,5447.542679373463,5447.542679373463,13,control
4,0.06912625135579575,MAT2A,270.44025711538234,0.41,False,0.41,False,4733.589206176904,4501.508879710561,35,False
5,0.06912625135579575,control,0.0,0.0,True,0.0,control,4695.229275527864,4695.229275527864,35,control
6,0.1339745962155613,MAT2A,107.66326549917585,0.3,False,0.3,False,3426.25398398421,3050.866283894962,67,False
7,0.1339745962155613,control,0.0,0.0,True,0.0,control,3693.9784185742824,3693.9784185742824,67,control
8,0.2181685175319702,MAT2A,51.71039197540313,0.36,False,0.36,False,2778.0378948820335,2375.063262015489,110,False
9,0.2181685175319702,control,0.0,0.0,True,0.0,control,3129.302135773175,3129.302135773175,110,control
10,0.31982726222908053,MAT2A,39.11482620666084,0.1,False,0.1,False,2242.7834753698876,1978.9938184121702,160,False
11,0.31982726222908053,control,0.0,0.0,True,0.0,control,2467.4583061209432,2467.4583061209432,160,control
12,0.43667994193637794,MAT2A,22.350760935412836,0.26,False,0.26,False,2038.0000125313372,1886.160888226765,219,False
13,0.43667994193637794,control,0.0,0.0,True,0.0,control,2167.4883759004965,2167.4883759004965,219,control
14,0.5661162608824419,MAT2A,9.965805504157515,0.63,False,0.63,False,1837.0954462773293,1720.7191872666085,284,False
15,0.5661162608824419,control,0.0,0.0,True,0.0,control,1943.5058997838917,1943.5058997838917,284,control
16,0.7052448255890957,MAT2A,6.699474240171867,0.69,False,0.69,False,1688.4665551180078,1666.8908739097992,353,False
17,0.7052448255890957,control,0.0,0.0,True,0.0,control,1703.3427620860455,1703.3427620860455,353,control
18,0.8509577338238256,MAT2A,7.696678132170064,0.33,False,0.32999999999999996,False,1604.7692330013429,1524.2190941384874,426,False
19,0.8509577338238256,control,0.0,0.0,True,0.0,control,1677.6226937320291,1677.6226937320291,426,control
20,1.0,MAT2A,5.849732126392837,0.4,False,0.4,False,1537.1414140309614,1471.627395099581,500,False
21,1.0,control,0.0,0.0,True,0.0,control,1596.8057008359508,1596.8057008359508,500,control
