,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,ncells,significant_adj_new
0,0.0027962028188198707,control,0.0,0.0,True,0.0,control,8940.137811513734,8940.137811513734,2,control
1,0.02507208781817638,control,0.0,0.0,True,0.0,control,16409.075718167707,16409.075718167707,13,control
2,0.06912625135579575,control,0.0,0.0,True,0.0,control,16345.801585291745,16345.801585291745,35,control
3,0.1339745962155613,control,0.0,0.0,True,0.0,control,13741.409120387632,13741.409120387632,67,control
4,0.2181685175319702,control,0.0,0.0,True,0.0,control,9797.085734722777,9797.085734722777,110,control
5,0.31982726222908053,control,0.0,0.0,True,0.0,control,7583.622091991443,7583.622091991443,160,control
6,0.43667994193637794,control,0.0,0.0,True,0.0,control,6228.696643228944,6228.696643228944,219,control
7,0.5661162608824419,control,0.0,0.0,True,0.0,control,5342.990626540915,5342.990626540915,284,control
8,0.7052448255890957,control,0.0,0.0,True,0.0,control,4855.953598500661,4855.953598500661,353,control
9,0.8509577338238256,control,0.0,0.0,True,0.0,control,4365.13987292687,4365.13987292687,426,control
10,1.0,control,0.0,0.0,True,0.0,control,4073.3671879497733,4073.3671879497733,500,control
