,singlePCA,multiPCA,edist,pvalue,significant,pvalue_adj,significant_adj,log10_edist
control,0.0,0.0,0.0,0.0,True,0.0,True,-inf
LAT_2,3.164127200121829,0.0,3.164127200121829,0.0,True,0.0,True,0.5002539341178649
LCK_2,2.3684230654787584,0.0,2.368423065478762,0.001,True,0.0324774153162326,True,0.3744592819156926
JUND_2,1.244280331715597,0.0,1.244280331715597,0.261,False,0.9688267693855168,False,0.0949182363046698
ZAP70_2,3.052897016307888,0.0,3.052897016307892,0.0,True,0.0,True,0.4847121544448914
FOS_2,1.3018253615171886,0.0,1.301825361517185,0.251,False,0.9688267693855168,False,0.1145527279983648
EGR3_2,1.8966085962661907,0.0,1.8966085962661872,0.017,True,0.3486147115297674,False,0.277977714641714
EGR4_1,1.2333400229381226,0.0,1.233340022938119,0.325,False,0.9688267693855168,False,0.0910828249558991
PTPN11_2,2.862115051333582,0.0,2.8621150513335856,0.0,True,0.0,True,0.4566870875492042
LAT_1,3.248051495562212,0.0,3.248051495562205,0.0,True,0.0,True,0.5116229060559673
PTPN11_1,2.1746772121925098,0.0,2.1746772121925027,0.003,True,0.0916670555210466,False,0.3373948036506795
JUN_1,1.7148058948134448,0.0,1.7148058948134413,0.062,False,0.7392288117396291,False,0.2342149677710356
EGR3_1,0.7137784481808112,0.0,0.7137784481808147,0.926,False,0.998233899375,False,-0.1464365692655518
NFKB1_2,1.631081472275124,0.0,1.631081472275124,0.059,False,0.7375952360365939,False,0.2124756545263658
DOK2_1,2.1125663993870916,0.0,2.112566399387088,0.007,True,0.1900141074797038,False,0.3248103680047964
PTPN6_1,1.6173547453041088,0.0,1.6173547453041088,0.088,False,0.8188752834043385,False,0.2088052870869088
EGR2_1,1.6890952835414978,0.0,1.6890952835415014,0.035,True,0.5747390350975929,False,0.2276541492448354
NFKB2_2,0.7424472797389612,0.0,0.7424472797389576,0.928,False,0.998233899375,False,-0.1293343796287277
EGR1_1,1.2957118295811263,0.0,1.2957118295811263,0.218,False,0.9591033448184072,False,0.1125084238040939
JUND_1,1.239566815869658,0.0,1.2395668158696616,0.256,False,0.9688267693855168,False,0.0932699413349149
EGR1_2,2.238747406362325,0.0,2.238747406362325,0.008,True,0.201404570510789,False,0.3500050957177545
NFAT5_2,0.8139683174552452,0.0,0.8139683174552452,0.822,False,0.998233899375,False,-0.0893924990692036
EGR2_2,1.3881723076525923,0.0,1.3881723076525925,0.125,False,0.8819329129787512,False,0.142443376506603
DOK2_2,1.275523495312278,0.0,1.2755234953122816,0.27,False,0.9688267693855168,False,0.1056884627815559
FOS_1,2.0213983833774947,0.0,2.021398383377498,0.013,True,0.2883835654612983,False,0.3056519140359261
LCK_1,2.633074845207446,0.0,2.6330748452074424,0.0,True,0.0,True,0.4204632041112368
PTPN6_2,1.807063150703982,0.0,1.8070631507039785,0.045,True,0.6532012316429641,False,0.2569733299394807
NR4A1_1,1.9495262483260767,0.0,1.949526248326077,0.007,True,0.1900141074797038,False,0.2899290868830365
ZAP70_1,2.88268234339586,0.0,2.88268234339586,0.0,True,0.0,True,0.4597967880312588
RUNX2_2,1.5142625838485095,0.0,1.5142625838485095,0.086,False,0.8188752834043385,False,0.1802011914311033
JUN_2,2.9254928397397606,0.0,2.925492839739757,0.0,True,0.0,True,0.4661990394949962
EGR4_2,1.1005160855214413,0.0,1.1005160855214378,0.543,False,0.980066617505943,False,0.0415963947332058
NFATC1_2,1.6094205262967805,0.0,1.609420526296777,0.069,False,0.760671940438079,False,0.2066695359499126
NFATC1_1,2.240966191235767,0.0,2.240966191235767,0.006,True,0.1701914289590728,False,0.3504353045178794
RELA_2,1.241398056795859,0.0,1.2413980567958554,0.178,False,0.9471460726880973,False,0.0939110612334464
NFKB1_1,0.8899263040948959,0.0,0.8899263040948959,0.795,False,0.998233899375,False,-0.0506459563327343
RELA_1,2.1397228009460925,0.0,2.1397228009460925,0.008,True,0.201404570510789,False,0.3303575145561481
NFKB2_1,1.1785153450937322,0.0,1.1785153450937322,0.306,False,0.9688267693855168,False,0.0713352417149417
NFAT5_1,1.3248329694449588,0.0,1.3248329694449588,0.194,False,0.9511695658870922,False,0.1221611273135804
NR4A1_2,1.1717576259396907,0.0,1.1717576259396871,0.367,False,0.9688267693855168,False,0.0688377886422143
RUNX2_1,1.3727746622191255,0.0,1.3727746622191257,0.118,False,0.8817051202187697,False,0.1375992546538364
