,singlePCA,multiPCA,edist,pvalue,significant,pvalue_adj,significant_adj,log10_edist
control,0.0,0.0,0.0,0.0,True,0.0,True,-inf
ACTA2,9.062502257763583,20.154285285591186,9.062502257763583,0.445,False,1.0,False,0.9572481277759212
B2M,5.502838559356206,19.98967440793581,5.502838559356206,0.906,False,1.0,False,0.740586771795489
A2M,10.374966280032936,21.481544248825458,10.374966280032936,0.274,False,1.0,False,1.0159866938738245
AEBP1,7.222458280860934,20.579233321344987,7.222458280860934,0.714,False,1.0,False,0.8586850419050591
CD59,10.486969682353873,23.256384033923382,10.486969682353871,0.293,False,1.0,False,1.0206500124683973
CD274,6.249851309963418,20.432666284042966,6.249851309963418,0.831,False,1.0,False,0.7958696851791873
CTSD,9.101615638823347,20.309477768312604,9.101615638823349,0.418,False,1.0,False,0.9591184913041172
IFNGR2,39.777145128372695,52.85309021794512,39.77714512837272,0.0,True,0.0,True,1.599633609872217
CSPG4,7.315060901439153,20.46668837167988,7.315060901439153,0.69,False,1.0,False,0.8642179461891304
CD44,7.976170112161924,18.756723623366952,7.976170112161924,0.664,False,1.0,False,0.9017944078393813
FGFR1,5.947487400931266,18.1460926690105,5.947487400931266,0.867,False,1.0,False,0.7743335307073158
CDH19,8.150230603046595,20.88122083071778,8.150230603046595,0.575,False,1.0,False,0.9111698968643708
CD58,7.475286192200571,20.23604642793339,7.475286192200571,0.671,False,1.0,False,0.873627824329468
APOC2,7.918749781472144,20.352597768818782,7.918749781472144,0.594,False,1.0,False,0.8986566202426145
APOE,6.303293928178704,20.581560262440348,6.303293928178704,0.846,False,1.0,False,0.7995675591341493
C19orf48,9.810706678742122,22.153344780159387,9.810706678742122,0.396,False,1.0,False,0.9917002913375896
ATP1B1,9.277408983902603,20.606760729531743,9.277408983902603,0.45,False,1.0,False,0.9674267023921216
JAK2,37.853517980012185,53.37943671664118,37.853517980012185,0.0,True,0.0,True,1.5781062475958905
AGA,7.358403707093885,21.778799131394294,7.358403707093885,0.656,False,1.0,False,0.8667836110234518
APOD,6.5420627843523675,19.861419836264872,6.542062784352368,0.775,False,1.0,False,0.815714707744778
CITED1,7.273141872377778,17.728698313826158,7.273141872377778,0.663,False,1.0,False,0.8617220591498563
CTSB,6.325201926917174,17.851722504855616,6.325201926917174,0.812,False,1.0,False,0.8010743945665992
AHNAK,13.504854518279956,23.442792490403235,13.504854518279956,0.109,False,0.9999999999850864,False,1.130489910089664
CDKN1A,12.451736747965299,21.436089656049717,12.4517367479653,0.137,False,0.9999999999999766,False,1.0952299303437116
CTSO,8.415090523200604,20.12657823809218,8.415090523200604,0.542,False,1.0,False,0.9250587921496384
FSTL3,4.299238855326337,15.92182907679205,4.299238855326337,0.978,False,1.0,False,0.6333915741396994
FBXO32,10.190672238030515,22.265667280717025,10.190672238030515,0.3,False,1.0,False,1.0082028336273885
CD47,7.474559704097857,18.78038784255341,7.474559704097857,0.619,False,1.0,False,0.8735856152289041
HLA-DRB5,8.259515920749152,19.304203356786957,8.259515920749152,0.487,False,1.0,False,0.9169545946438612
JAK1,35.11502416124006,46.54816707881514,35.115024161240086,0.0,True,0.0,True,1.545492971573027
CHCHD2,5.228026584010706,19.55559239161471,5.228026584010706,0.926,False,1.0,False,0.718337787259655
CCND2,11.923957591039937,21.754168704031486,11.923957591039937,0.178,False,1.0,False,1.076420422743846
FMN1,4.860674826327681,16.119174995834783,4.860674826327681,0.953,False,1.0,False,0.6866965682345483
C6orf226,6.511294593019301,15.105849502739602,6.511294593019301,0.765,False,1.0,False,0.8136673447445966
CD151,9.344340584815882,20.665709238071827,9.344340584815882,0.448,False,1.0,False,0.9705486593285254
CMSS1,7.752560900337755,18.703502773108653,7.752560900337755,0.669,False,1.0,False,0.8894451865284223
CCR10,4.414823314687368,13.826425605341,4.414823314687368,0.984,False,1.0,False,0.6449133273945022
MFGE8,5.850697023341013,15.86168496014966,5.850697023341013,0.895,False,1.0,False,0.7672076088784453
CDKN2B,3.479539285252031,14.626971748646156,3.479539285252031,0.997,False,1.0,False,0.541521744199869
HLA-A,5.988357398490052,17.64056340086563,5.988357398490052,0.877,False,1.0,False,0.7773077121052423
BZW2,6.975790919686403,20.93969370539037,6.975790919686403,0.731,False,1.0,False,0.8435934553265703
CKS1B,8.465574433611806,22.518034602505168,8.465574433611806,0.465,False,1.0,False,0.9276564326024966
IDH2,15.074192278224388,26.528278409862537,15.074192278224388,0.061,False,0.9999991975331968,False,1.1782340505960645
GSN,10.527753157063415,23.461164761630243,10.527753157063415,0.281,False,1.0,False,1.0223356935398245
CTSA,7.259418094336809,17.42107853023208,7.259418094336809,0.666,False,1.0,False,0.8609018096054609
CYP27A1,8.62353385453477,18.193750471771068,8.62353385453477,0.466,False,1.0,False,0.935685272671654
EMP1,10.788318326699482,22.979775894776026,10.788318326699482,0.292,False,1.0,False,1.032953752527739
CTSL,6.589620948083763,20.703684462068395,6.589620948083763,0.756,False,1.0,False,0.8188604335788091
JMJD7,8.297255958230181,20.589870460990255,8.297255958230181,0.548,False,1.0,False,0.9189344876485692
IFNGR1,46.15643227992473,61.70975347178762,46.15643227992476,0.0,True,0.0,True,1.6642322321012468
ARMC6,6.8915944488244065,17.569572682279954,6.891594448824407,0.759,False,1.0,False,0.8383197125049624
DLL3,11.043176866619206,24.277201451539668,11.043176866619206,0.241,False,1.0,False,1.0430940278469991
NT5E,6.698469951066528,20.382149196153023,6.698469951066528,0.808,False,1.0,False,0.8259756134927804
CORO1A,7.827555007345268,17.024553568971783,7.827555007345268,0.578,False,1.0,False,0.8936261282598981
GAA,7.228592634185361,20.235413488467998,7.228592634185361,0.731,False,1.0,False,0.8590537508625631
DDR1,10.814108410248792,22.411487401348495,10.814108410248792,0.25,False,1.0,False,1.0339907190158992
CDKN2A,7.446823478934675,21.24801097047407,7.446823478934675,0.638,False,1.0,False,0.8719710593579107
HLA-F,6.120993420715905,15.976957256462242,6.120993420715905,0.847,False,1.0,False,0.7868219126884844
LCP1,4.965093818499042,15.554024506803785,4.965093818499042,0.962,False,1.0,False,0.6959274591700672
GAS5,6.663200330712641,18.470477199035713,6.663200330712641,0.728,False,1.0,False,0.8236828706319616
CD63,13.182151507374897,26.449530387599452,13.182151507374895,0.098,False,0.9999999998450356,False,1.119986298841004
LEF1-AS1,6.8496345640960214,18.341744295162925,6.849634564096021,0.797,False,1.0,False,0.8356674019989793
SLC22A18,10.637589973476423,21.30754009085024,10.637589973476423,0.321,False,1.0,False,1.026843246401136
HLA-H,10.72436644752699,20.504019835656777,10.72436644752699,0.234,False,1.0,False,1.0303716452418257
DAG1,8.831526711764468,22.076040032992864,8.831526711764468,0.471,False,1.0,False,0.946035786837044
ENPP1,10.839716096546567,20.419214304648335,10.839716096546567,0.24,False,1.0,False,1.0350179077265516
CXCR4,12.178559096577743,23.584093159701865,12.178559096577745,0.156,False,0.9999999999999996,False,1.0855959078844528
LAMP2,8.308096876914021,22.378339670028367,8.308096876914021,0.617,False,1.0,False,0.9195015520017092
PSAP,9.382108189950173,23.71780749314462,9.382108189950172,0.39,False,1.0,False,0.972300436714683
KDR,9.302997354053161,19.334421072242094,9.30299735405316,0.463,False,1.0,False,0.9686228974355146
CDK4,9.869630761741064,19.316415130762948,9.869630761741064,0.368,False,1.0,False,0.9943009053405638
LINC00518,14.89570213248561,27.06947655777003,14.89570213248561,0.055,False,0.9999968614785144,False,1.1730609791910234
IDI2-AS1,5.394079557723529,18.00627239511948,5.394079557723529,0.907,False,1.0,False,0.7319173476091821
RTP4,12.737178484382099,25.670079257723955,12.7371784843821,0.16,False,0.9999999999999998,False,1.1050732345633734
KCNN4,7.339500575796706,20.23555548853642,7.339500575796706,0.617,False,1.0,False,0.8656665088867854
EVA1A,10.124670791777703,20.865808266212866,10.124670791777705,0.337,False,1.0,False,1.0053809108359668
NPC1,7.970697092183457,20.67486520547493,7.970697092183457,0.576,False,1.0,False,0.901496305091191
GPNMB,8.731798306040275,20.31553765726244,8.731798306040275,0.456,False,1.0,False,0.9411036954767033
IRF3,7.050779579971987,17.476849698108026,7.050779579971987,0.699,False,1.0,False,0.848237138064058
GRN,5.614941684493488,18.897214329983626,5.614941684493488,0.889,False,1.0,False,0.7493452501372446
