,singlePCA,multiPCA,edist,pvalue,significant,pvalue_adj,significant_adj,log10_edist
control,0.0,0.0,0.0,0.0,True,0.0,True,-inf
KLF1,34.28905783547445,46.41557291901336,34.28905783547445,0.0,True,0.0,True,1.5351555521176872
BAK1,2.7194664840580174,13.664926487788875,2.7194664840580174,0.673,False,0.895727457448728,False,0.4344837107414254
CEBPE,92.91018475552337,93.39410873327972,92.91018475552336,0.0,True,0.0,True,1.9680633236888108
CEBPE_RUNX1T1,63.58407182766075,70.01632368090992,63.58407182766075,0.0,True,0.0,True,1.8033483360301723
UBASH3B,15.008413502410178,22.001488197878587,15.008413502410178,0.001,True,0.0344114929630155,True,1.1763347866094236
ETS2,21.808512093136343,32.83830814548003,21.808512093136343,0.0,True,0.0,True,1.3386260364276947
TBX3_TBX2,71.0312185477939,88.43212412764763,71.03121854779391,0.0,True,0.0,True,1.8514492651020635
OSR2,25.430026166824817,42.57114631115087,25.430026166824817,0.0,True,0.0,True,1.4053468070534825
SLC4A1,22.179383779115653,42.764987135878755,22.179383779115653,0.0,True,0.0,True,1.3459494757605084
SET,47.59159341395885,55.80172629766281,47.59159341395883,0.0,True,0.0,True,1.6775302456540837
ELMSAN1,8.28687145704751,19.70594775454481,8.28687145704751,0.015,True,0.2936282836464711,False,0.9183906022770386
ETS2_CNN1,22.804763552767014,36.13302872525753,22.80476355276701,0.0,True,0.0,True,1.3580255736933398
MAP2K6,6.2984274825218165,18.126841591111827,6.2984274825218165,0.091,False,0.5762839168445265,False,0.799232133436112
FOXF1,17.68125470022416,26.140918320918388,17.68125470022416,0.0,True,0.0,True,1.247513080249982
C19orf26,7.098567751639877,17.384482212874218,7.098567751639877,0.017,True,0.3023720460128902,False,0.8511707317745346
FOXA1,16.479133591002693,27.533252162610893,16.479133591002693,0.0,True,0.0,True,1.216934374440101
UBASH3A,15.596764532145059,22.251358300759534,15.59676453214506,0.0,True,0.0,True,1.1930345155614612
UBASH3B_OSR2,10.444525569943792,29.048275861495654,10.444525569943792,0.006,True,0.1601433844101559,False,1.0188887174580217
DUSP9_ETS2,34.05354429607878,50.55788369254918,34.05354429607878,0.0,True,0.0,True,1.5321623200115904
RUNX1T1,7.957963597152158,17.171508424560557,7.957963597152158,0.019,True,0.3186344879021514,False,0.9008019481815556
MEIS1,12.445227009532715,23.057768319943307,12.445227009532717,0.003,True,0.0889338570923236,False,1.0950028228480453
CNN1,28.562572045084778,42.02711705663609,28.562572045084774,0.0,True,0.0,True,1.4557973128622688
MAPK1,53.537107081982185,65.73759854659454,53.537107081982185,0.0,True,0.0,True,1.7286549000545783
MAP7D1,6.244788501109625,17.74573901472064,6.244788501109625,0.056,False,0.4992004481373683,False,0.795517734246353
ZBTB25,23.638910687006188,33.43957977799977,23.638910687006188,0.0,True,0.0,True,1.3736274597928788
DLX2,36.095760114967305,48.999062568397335,36.095760114967305,0.0,True,0.0,True,1.5574561917445962
DUSP9,56.999019996855694,71.3119392830884,56.99901999685568,0.0,True,0.0,True,1.7558673887669365
FEV,49.10975147146192,71.17418557824453,49.10975147146192,0.0,True,0.0,True,1.6911677363135262
HOXB9,37.49490651690692,45.76894052999927,37.49490651690692,0.0,True,0.0,True,1.573972275145232
ZBTB1,39.70177317371605,58.61033904947391,39.70177317371605,0.0,True,0.0,True,1.598809903799974
TBX3,38.588732384317126,68.16663272615006,38.588732384317126,0.0,True,0.0,True,1.5864605125040672
TBX2,26.210429163114696,41.01989396103346,26.210429163114696,0.0,True,0.0,True,1.4184741320357517
PRTG,35.32635393708529,50.513465529483256,35.32635393708529,0.0,True,0.0,True,1.5480988158464757
IKZF3,123.37547192726831,131.67712045727484,123.37547192726832,0.0,True,0.0,True,2.091228826913896
CLDN6,75.75011386140011,85.08293749251021,75.75011386140011,0.0,True,0.0,True,1.8793832899709184
SET_KLF1,45.56831867750421,63.42258097333388,45.56831867750421,0.0,True,0.0,True,1.6586630048266258
CBL,24.68138448117233,34.92477682938255,24.68138448117233,0.0,True,0.0,True,1.3923695174223545
CBFA2T3,18.45738107874257,27.889539522169912,18.45738107874257,0.0,True,0.0,True,1.2661700789359078
SET_CEBPE,51.97543758478099,65.49797980064534,51.97543758478099,0.0,True,0.0,True,1.715798154373988
FOXL2,41.14179307108944,51.47192105119086,41.14179307108944,0.0,True,0.0,True,1.61428321550431
ZNF318,14.896478127791625,28.056914291030807,14.896478127791625,0.0,True,0.0,True,1.1730836032807357
LHX1_ELMSAN1,37.01896175906515,63.05897712071396,37.01896175906515,0.0,True,0.0,True,1.568424234280962
TGFBR2,3.4562231786540707,15.117157100151132,3.4562231786540707,0.369,False,0.895727457448728,False,0.5386017784042219
KIF2C,3.9310385497306015,13.781847729679725,3.9310385497306015,0.283,False,0.895727457448728,False,0.5945073027499261
FOSB,22.01834408632338,33.8703721443606,22.01834408632338,0.0,True,0.0,True,1.3427846542717925
MAML2,4.783119227184116,18.603072360091005,4.783119227184116,0.124,False,0.6532369219310672,False,0.6797112065175426
LYL1_IER5L,63.75050665338563,83.23187411465898,63.75050665338563,0.0,True,0.0,True,1.804483640649448
ZC3HAV1_HOXC13,40.03590719048839,52.54541623525313,40.03590719048839,0.0,True,0.0,True,1.602449673816321
IGDCC3,32.59718850383041,44.61572430872866,32.59718850383041,0.0,True,0.0,True,1.5131801439352093
SPI1,140.71230704894532,134.49738116888813,140.71230704894532,0.0,True,0.0,True,2.14833208357334
COL2A1,40.016225283396636,63.734585650709334,40.01622528339664,0.0,True,0.0,True,1.6022361193849433
BCL2L11,2.3667614993656656,11.036309158103279,2.3667614993656656,0.667,False,0.895727457448728,False,0.374154495897758
ISL2,7.579620764164517,17.196687890194028,7.579620764164517,0.016,True,0.298718850002105,False,0.8796474768522526
MAP2K3_ELMSAN1,29.28922163905382,42.82941690180894,29.28922163905382,0.0,True,0.0,True,1.466707830460858
MAP2K3,17.030365624857367,29.304534021515963,17.030365624857367,0.0,True,0.0,True,1.2312239719293343
MAP2K3_MAP2K6,15.959663635012703,27.165636831358995,15.959663635012705,0.0,True,0.0,True,1.2030237339447056
SLC6A9,22.570035385563116,32.421499200635026,22.57003538556312,0.0,True,0.0,True,1.353532239970219
AHR,22.807448115886785,39.73062687334459,22.807448115886785,0.0,True,0.0,True,1.3580766955709216
UBASH3B_UBASH3A,24.240019360601494,34.370432547565485,24.240019360601494,0.0,True,0.0,True,1.384532962367146
CDKN1B,27.981878615056928,34.57998156664223,27.981878615056928,0.0,True,0.0,True,1.4468768682960764
TMSB4X,18.361023741433925,35.447304628618895,18.361023741433925,0.0,True,0.0,True,1.2638968921626454
S1PR2,38.1871393770881,55.685539728016295,38.1871393770881,0.0,True,0.0,True,1.5819171263157896
BCORL1,6.76342365013042,22.969067757610958,6.76342365013042,0.044,True,0.4673885582592518,False,0.8301665917949113
ZC3HAV1,6.621367399348102,20.046956529258807,6.621367399348102,0.05,False,0.4866579167204949,False,0.8209476862173272
MAPK1_PRTG,25.4314873710793,37.89422367413755,25.4314873710793,0.0,True,0.0,True,1.4053717608112724
SAMD1,64.30079583857867,71.20391101668918,64.30079583857867,0.0,True,0.0,True,1.8082163481367304
MAPK1_TGFBR2,32.55124174443131,45.79914455932891,32.55124174443131,0.0,True,0.0,True,1.5125675604147548
ARRDC3,9.055577750809277,19.184315620812185,9.055577750809276,0.009,True,0.209476078019737,False,0.9569161637592974
FOXA3,31.956822150179704,38.35924256562714,31.956822150179704,0.0,True,0.0,True,1.5045635856838793
CEBPB,107.50539670134498,107.60610160660025,107.50539670134498,0.0,True,0.0,True,2.031430266100797
SGK1,43.27938127024227,53.91213393856009,43.27938127024227,0.0,True,0.0,True,1.6362810433914814
