,singlePCA,multiPCA,edist,pvalue,significant,pvalue_adj,significant_adj,log10_edist
control,0.0,0.0,0.0,0.0,True,0.0,True,-inf
IFNGR2g1,115.90653862062925,169.2669790147728,115.90653862062923,0.0,True,0.0,True,2.064107936453325
ATF2g1,13.844058202228865,23.58606605681473,13.844058202228894,0.198,False,0.9998821989667708,False,1.1412634164566544
IFNGR1g3,113.93776105368721,168.04003468791564,113.9377610536872,0.0,True,0.0,True,2.056667681053761
CD86g1,16.504137969998624,29.943915922328756,16.504137969998624,0.111,False,0.9964739819872728,False,1.2175928455612304
IFNGR2g2,74.11334231601211,106.24747888826164,74.11334231601211,0.0,True,0.0,True,1.869896399242611
POU2F2g1,13.202971645680691,25.224923319452273,13.202971645680693,0.293,False,0.9999912343554384,False,1.1206716906053646
JAK2g2,95.16746672824274,140.44044045902808,95.16746672824274,0.0,True,0.0,True,1.9784885089396171
IFNGR1g2,66.98404036902025,101.77958659439912,66.98404036902025,0.0,True,0.0,True,1.825971339934941
TNFRSF14g1,7.063940754298983,21.70293984806176,7.063940754298983,0.931,False,0.9999999956991944,False,0.849047048130536
MARCH8g4,9.142070590426783,21.774559886680095,9.142070590426783,0.744,False,0.9999999956991944,False,0.9610445703677144
CMTM6g3,8.491773639199096,20.12622024722407,8.491773639199096,0.82,False,0.9999999956991944,False,0.9289984088857414
TNFRSF14g3,6.727587871316075,21.67770031209602,6.727587871316075,0.938,False,0.9999999956991944,False,0.8278593789409522
IRF1g4,97.20863427069202,124.53531702183182,97.20863427069202,0.0,True,0.0,True,1.9877048415680303
ETV7g2,9.544266968277498,24.402023346099668,9.544266968277498,0.712,False,0.9999999956991944,False,0.9797425787373266
CAV1g3,11.37037730745601,22.722309082329843,11.37037730745601,0.502,False,0.9999995616548578,False,1.0557748762820478
CD86g4,16.64053251057277,29.16574316574622,16.64053251057277,0.116,False,0.9969573187683596,False,1.2211672199536785
IRF7g1,19.10633438890011,35.7316681484707,19.10633438890011,0.076,False,0.9792065482111092,False,1.2811773742672312
IRF1g1,24.03467062130062,35.28656679168239,24.03467062130062,0.042,True,0.8925994582385588,False,1.3808381747970238
MARCH8g2,14.848462460454755,26.220969335459472,14.848462460454757,0.214,False,0.999934400301766,False,1.1716814853359865
NFKBIAg1,14.332308828371936,25.07586559015101,14.332308828371936,0.255,False,0.9999813884693574,False,1.1563161576445586
IFNGR1g1,103.16934986830444,155.11549282506405,103.16934986830444,0.0,True,0.0,True,2.0135506938013683
ATF2g4,12.056737468402218,23.36473325511804,12.056737468402218,0.386,False,0.99999882857526,False,1.081229804391372
NFKBIAg2,16.302167912353184,29.780038367477573,16.302167912353184,0.218,False,0.999934400301766,False,1.2122453620583664
IFNGR1g4,54.38061014818777,76.45949042471727,54.38061014818777,0.0,True,0.0,True,1.735444076044871
STAT1g3,131.5012896932493,227.88507970814283,131.5012896932493,0.0,True,0.0,True,2.118930012171137
ETV7g1,12.052198164400352,24.51312858056906,12.052198164400352,0.396,False,0.99999882857526,False,1.0810662638076636
CD86g3,7.232323768133313,20.077300781632175,7.232323768133313,0.929,False,0.9999999956991944,False,0.8592778598852162
JAK2g1,89.51290406914143,130.29177404034385,89.51290406914143,0.0,True,0.0,True,1.9518856471824817
STAT2g2,22.225352488086855,42.04458987093551,22.225352488086852,0.024,True,0.7371306376456949,False,1.346848657490041
PDCD1LG2g3,7.477635359459441,20.492614929019737,7.477635359459441,0.897,False,0.9999999956991944,False,0.8737642833328091
TNFRSF14g2,9.04166118912002,19.854904728508018,9.04166118912002,0.802,False,0.9999999956991944,False,0.9562482290362042
SMAD4g2,98.54466871701769,122.43586812996125,98.54466871701766,0.0,True,0.0,True,1.993633133847224
IRF1g2,41.78141716600089,52.21122825588941,41.78141716600089,0.001,True,0.0592054740390549,False,1.620983166542713
CMTM6g1,8.832633109029473,23.247978388437673,8.832633109029473,0.745,False,0.9999999956991944,False,0.9460901910354308
SMAD4g1,74.35031002813605,99.3894765831285,74.35031002813605,0.0,True,0.0,True,1.871282783795808
ATF2g2,10.897556108896254,23.593524564751874,10.897556108896254,0.604,False,0.9999999772904498,False,1.037329113773346
CAV1g1,13.067037466379873,24.229763058988283,13.067037466379873,0.356,False,0.9999988102330843,False,1.1161771363302189
UBE2L6g1,8.804917753690006,21.85832612621141,8.804917753690006,0.788,False,0.9999999956991944,False,0.9447253035985356
STAT5Ag3,9.121339491549122,20.26294340653044,9.121339491549122,0.747,False,0.9999999956991944,False,0.9600586202441744
CMTM6g2,15.013908761466325,27.497457554805237,15.013908761466324,0.19,False,0.9998566588802034,False,1.1764937723594524
STAT2g1,20.07620688168197,39.07699106908444,20.07620688168197,0.036,True,0.8567539032668071,False,1.30268166235919
