,singlePCA,multiPCA,edist,pvalue,significant,pvalue_adj,significant_adj,log10_edist
control,0.0,0.0,0.0,0.0,True,0.0,True,-inf
ETV7,11.988869451042433,19.72596266324456,11.988869451042431,0.119,False,0.119,False,1.0787782311119205
IRF1,28.24234330013013,38.001645745998985,28.24234330013013,0.0,True,0.0,True,1.450900727793918
ATF2,24.480218585324508,37.20927008218348,24.480218585324508,0.0,True,0.0,True,1.3888152913320382
IRF7,18.57041272891678,28.755837654680477,18.57041272891678,0.01,True,0.029701,True,1.2688215560768394
MARCH8,22.003357271881015,31.777114441544313,22.00335727188101,0.01,True,0.029701,True,1.3424889505227653
IFNGR1,130.42762623909832,157.9812709282872,130.42762623909832,0.0,True,0.0,True,2.1153695902643803
STAT2,25.84572014631661,39.543726666074974,25.84572014631661,0.0,True,0.0,True,1.412388637537342
CAV1,44.36322938491219,51.269229803119856,44.363229384912216,0.0,True,0.0,True,1.647023152738597
PDL1,40.974210742461594,52.74649613923708,40.974210742461565,0.0,True,0.0,True,1.6125105968125186
