,singlePCA,multiPCA,edist,pvalue,significant,pvalue_adj,significant_adj,log10_edist
PPP2R1A,21.328952857747936,0.0,21.328952857747996,0.325,False,0.9054149196777344,False,1.3289695343399577
MAT2A,26.709930425923744,0.0,26.7099304259238,0.141,False,0.8121008557724383,False,1.426672756771776
PPP2R1A_MAT2A,41.02072095264589,0.0,41.020720952645945,0.022,True,0.2342865821421444,False,1.6130032889676074
UBA1,21.134069630979525,0.0,21.134069630979468,0.365,False,0.9054149196777344,False,1.3249831339712688
control,0.0,0.0,0.0,0.0,True,0.0,True,-inf
MMAB,16.18601377021497,0.0,16.18601377021497,0.771,False,0.9054149196777344,False,1.2091399055317484
UROD,24.322140544139984,0.0,24.32214054414004,0.164,False,0.8121008557724383,False,1.3860017936927935
UROD_PPP2R1A,22.16369247932687,0.0,22.16369247932693,0.343,False,0.9054149196777344,False,1.3456421157047085
HMGCS1,19.957974276647917,0.0,19.95797427664792,0.389,False,0.9054149196777344,False,1.3001164585385383
UROD_PPP2R1A_MAT2A,68.5594979619101,0.0,68.55949796191015,0.001,True,0.0129222852862852,True,1.8360676287347095
UBA1_PPP2R1A,25.95503224158574,0.0,25.9550322415858,0.196,False,0.8253983313134143,False,1.414221572699904
PMVK,25.513443241577022,0.0,25.513443241577026,0.144,False,0.8121008557724383,False,1.406769074051008
UBA1_PPP2R1A_MAT2A,116.6261762277777,0.0,116.62617622777776,0.0,True,0.0,True,2.066796036833076
UBA1_MAT2A,24.452743627099153,0.0,24.45274362709921,0.211,False,0.8253983313134143,False,1.3883275945541529
MVK,20.543136510209706,0.0,20.543136510209763,0.402,False,0.9054149196777344,False,1.3126667520696225
