,singlePCA,multiPCA,edist,pvalue,significant,pvalue_adj,significant_adj,log10_edist
control,0.0,0.0,0.0,0.0,True,0.0,True,-inf
TAF1,6.88005658200683,20.324845943345167,6.88005658200683,0.279,False,0.9999999999974942,False,0.8375920099146239
DNAJC6,10.230977116682254,28.50692770896103,10.230977116682254,0.087,False,0.9999983067015142,False,1.009917113293627
CREBBP,8.311327802433937,23.486681292561343,8.311327802433937,0.166,False,0.9999999997988944,False,0.919670411414052
PAXIP1,6.823960668044208,19.32894442499861,6.823960668044208,0.338,False,0.9999999999984982,False,0.834036514979427
UBA5,17.60663941251326,36.257771588163905,17.60663941251326,0.002,True,0.3039699772143847,False,1.2456764698867069
SNCB,6.446237354008531,18.310673612753703,6.446237354008531,0.361,False,0.9999999999984982,False,0.8093062924326576
CYB561,22.584313932778684,38.84442109352193,22.584313932778684,0.004,True,0.513950034918768,False,1.3538069020820915
HTT,10.80426136257688,22.35991386812168,10.80426136257688,0.069,False,0.9999866617174172,False,1.033595081527259
PLEKHG5,5.920521590816492,18.421346461015276,5.920521590816492,0.457,False,0.9999999999984982,False,0.7723599692288108
RAB7A,6.519610350066245,21.745623432714183,6.519610350066245,0.443,False,0.9999999999984982,False,0.8142216405366941
PPP2R2B,10.693543248429052,27.74123510244101,10.693543248429052,0.074,False,0.9999915885672772,False,1.0291216302110058
NDUFV1,5.013520381231984,18.456071561215765,5.013520381231984,0.521,False,0.9999999999984982,False,0.700142784798232
MAPT,4.437936717638166,19.622566868855017,4.437936717638166,0.765,False,0.9999999999984982,False,0.6471811051568069
TOP1,19.005746908498736,34.69664411943114,19.005746908498736,0.009,True,0.8017632573802386,False,1.278884941651068
DMXL1,7.177381651526417,22.59682975722143,7.177381651526417,0.34,False,0.9999999999984982,False,0.8559660401078999
FRMD4A,60.13588751441267,87.21525710170971,60.13588751441267,0.0,True,0.0,True,1.779133724880789
CASP3,6.296663606083001,18.427206177719597,6.296663606083001,0.417,False,0.9999999999984982,False,0.79911049210716
AP2A2,8.258874190124516,23.938156094271505,8.258874190124516,0.134,False,0.9999999934710424,False,0.9169208504269712
BECN1,10.124971763087132,22.143813530711043,10.124971763087132,0.119,False,0.999999971046608,False,1.005393820711146
MATR3,7.543210796743722,25.476041116758267,7.543210796743722,0.277,False,0.9999999999974942,False,0.8775562443437349
CEP63,6.078366912590866,17.003364022740072,6.078366912590866,0.512,False,0.9999999999984982,False,0.7837869121480106
SYNJ1,3.8128466554430815,14.085996844144972,3.8128466554430815,0.837,False,0.9999999999984982,False,0.5812493392274943
SASH1,5.304983583628541,20.676071356172486,5.304983583628541,0.554,False,0.9999999999984982,False,0.7246840443069977
HEXA,16.57341578943911,30.569594771692437,16.57341578943911,0.015,True,0.9311010191210254,False,1.2194120259584718
RPL6,8.756335192852731,20.689717029080782,8.756335192852731,0.177,False,0.9999999998799364,False,0.9423223780238088
FOXC1,7.6745863419331215,20.033098483819288,7.6745863419331215,0.292,False,0.9999999999974942,False,0.8850549764284059
ANO10,11.627355551206904,25.637948009645925,11.627355551206904,0.062,False,0.9999665299023808,False,1.065480952896224
GTF2H3,14.295667621735305,26.490877082256077,14.295667621735303,0.022,True,0.9791569757869026,False,1.1552044421469767
PON2,11.050463314667326,30.825372594493615,11.050463314667326,0.085,False,0.9999978674421174,False,1.0433804871419583
FXN,10.887757666915235,23.107351193314457,10.887757666915236,0.089,False,0.9999985186888763,False,1.0369384460405469
PARP1,5.980426734992761,21.328513610578057,5.980426734992761,0.373,False,0.9999999999984982,False,0.7767321742961609
ZNF599,14.394155895711265,29.95403485080874,14.394155895711265,0.03,True,0.9943610943861644,False,1.1581862019974738
FARP1,8.218896137624029,18.623554599835643,8.218896137624029,0.218,False,0.999999999974275,False,0.9148134922929811
VPS54,7.466242000933079,20.376817850898703,7.466242000933079,0.199,False,0.999999999952912,False,0.8731020624676702
MRPL10,7.646447878811642,21.592087350815632,7.646447878811642,0.224,False,0.999999999974275,False,0.8834597325529737
GARS,8.960394751499365,21.233874917642538,8.960394751499365,0.178,False,0.9999999998799364,False,0.9523271429904142
WDR45,6.26924209362727,20.789847302757323,6.26924209362727,0.422,False,0.9999999999984982,False,0.7972150409182944
ATP1A3,12.05562669754508,27.268372243421368,12.05562669754508,0.071,False,0.9999889735511036,False,1.0811897915870747
PSAP,10.863666698264694,26.371136141749105,10.863666698264694,0.082,False,0.9999970922336996,False,1.0359764328085783
COX10,7.8438635276103525,22.901431346236166,7.843863527610352,0.211,False,0.999999999974275,False,0.8945300289374402
ATP6AP2,8.369078911327051,19.184275662881248,8.369078911327051,0.22,False,0.999999999974275,False,0.9226776628032703
DNM2,7.4952888611299215,19.729952288494133,7.4952888611299215,0.254,False,0.999999999995282,False,0.8747883747930181
GRN,6.401254410315346,16.901777590545407,6.401254410315346,0.362,False,0.9999999999984982,False,0.8062650880613486
XRCC1,6.939891281088649,20.693023647421,6.939891281088649,0.347,False,0.9999999999984982,False,0.8413526669399969
