,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,significant_adj_new
0,11,control,0.0,0.0,True,0.0,control,6.6697826487760405,6.6697826487760405,control
1,11,crizotinib,0.1985783142964106,0.0,True,0.0,True,9.238586618837951,11.608812274603451,True
2,11,osimertinib,0.10159792956759617,0.0,True,0.0,True,7.453936539540463,8.136492500737292,True
3,11,osimertinib+crizotinib,0.11137084164726474,0.0,True,0.0,True,7.547997743832599,8.314841997241892,True
4,100,control,0.0,0.0,True,0.0,control,24.724077411371905,24.724077411371905,control
5,100,crizotinib,0.6220407737133407,0.0,True,0.0,True,29.645670449105946,33.94522271312665,True
6,100,osimertinib,8.907041978670168,0.0,True,0.0,True,29.04414585474573,24.4571723194494,True
7,100,osimertinib+crizotinib,12.486649943976975,0.0,True,0.0,True,28.528350740305076,19.845974125261268,True
8,276,control,0.0,0.0,True,0.0,control,36.491289616777124,36.491289616777124,control
9,276,crizotinib,0.8311123069150455,0.0,True,0.0,True,42.48009860324005,47.637795282787934,True
10,276,osimertinib,18.624452497986503,0.0,True,0.0,True,48.11993667094294,41.12413122712224,True
11,276,osimertinib+crizotinib,30.51522126630927,0.0,True,0.0,True,50.753157526692924,34.499804170299456,True
12,535,control,0.0,0.0,True,0.0,control,54.935341122539924,54.935341122539924,control
13,535,crizotinib,1.2314583201073788,0.0,True,0.0,True,62.486181939118396,68.80556443558949,True
14,535,osimertinib,35.08243131126447,0.0,True,0.0,True,74.71701948584362,59.41626653788274,True
15,535,osimertinib+crizotinib,54.02411374437128,0.0,True,0.0,True,80.03433288670568,51.10921090650017,True
16,872,control,0.0,0.0,True,0.0,control,65.66438435383711,65.66438435383711,control
17,872,crizotinib,1.8722109138083596,0.0,True,0.0,True,75.31951593139658,83.1024365951477,True
18,872,osimertinib,45.421875686262,0.0,True,0.0,True,90.75348702838653,70.42071401667398,True
19,872,osimertinib+crizotinib,72.04680707825443,0.0,True,0.0,True,100.05740033207918,62.403609232066835,True
20,1279,control,0.0,0.0,True,0.0,control,73.3699463054405,73.3699463054405,control
21,1279,crizotinib,2.3585145105485594,0.0,True,0.0,True,84.31105955901283,92.89365830203661,True
22,1279,osimertinib,54.36321893366639,0.0,True,0.0,True,103.2255745188746,78.71798379864225,True
23,1279,osimertinib+crizotinib,84.07195608026538,0.0,True,0.0,True,113.49246568513797,69.54302898457007,True
24,1746,control,0.0,0.0,True,0.0,control,78.00926071314116,78.00926071314116,control
25,1746,crizotinib,2.8169782476576586,0.0,True,0.0,True,89.85844111067702,98.89064326055522,True
26,1746,osimertinib,60.22526861470895,0.0,True,0.0,True,110.99135221062038,83.74817509339069,True
27,1746,osimertinib+crizotinib,89.30375162578461,0.0,True,0.0,True,120.47186278120263,73.63071322347948,True
28,2264,control,0.0,0.0,True,0.0,control,82.59209709218824,82.59209709218824,control
29,2264,crizotinib,3.011378042921507,0.0,True,0.0,True,95.0755295368953,104.54758393868086,True
30,2264,osimertinib,63.15809154013043,0.0,True,0.0,True,117.23290946196549,88.71563029161221,True
31,2264,osimertinib+crizotinib,93.47114695685671,0.0,True,0.0,True,126.96551665181889,77.86778925459281,True
32,2820,control,0.0,0.0,True,0.0,control,85.406185731981,85.406185731981,control
33,2820,crizotinib,3.2593174885246725,0.0,True,0.0,True,98.44993194667306,108.23436067284045,True
34,2820,osimertinib,66.20527613679059,0.0,True,0.0,True,121.8545317476426,92.09760162651362,True
35,2820,osimertinib+crizotinib,97.64468289863157,0.0,True,0.0,True,131.7940163844358,80.53716413825902,True
36,3403,control,0.0,0.0,True,0.0,control,87.74369032146109,87.74369032146109,control
37,3403,crizotinib,3.475776557047112,0.0,True,0.0,True,101.3777889604742,111.53611104244021,True
38,3403,osimertinib,68.05548124703509,0.0,True,0.0,True,125.30168028964863,94.8041890108012,True
39,3403,osimertinib+crizotinib,99.64359709501025,0.0,True,0.0,True,135.12368812707032,82.86008883766932,True
40,4000,control,0.0,0.0,True,0.0,control,89.77629031277075,89.77629031277075,control
41,4000,crizotinib,3.6181494140582515,0.0,True,0.0,True,103.90018009535532,114.40592046388164,True
42,4000,osimertinib,69.4959051497853,0.0,True,0.0,True,128.2233324570926,97.1744694516289,True
43,4000,osimertinib+crizotinib,102.52239512771348,0.0,True,0.0,True,138.59844896759674,84.89821249470923,True
