,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,significant_adj_new
0,11,DOK2_1,0.02135460039523629,0.28,False,0.9999475222878594,False,0.5226286653534021,0.7679393606537903,False
1,11,DOK2_2,0.03410001938806306,0.1,False,0.9797244404095548,False,0.4031372523801081,0.5162111157143755,False
2,11,EGR1_1,0.008500072613001619,0.64,False,0.9999999962936554,False,0.2800288092087423,0.2955941761467053,False
3,11,EGR1_2,0.01575935949833579,0.17,False,0.9978641190198053,False,0.3057697194546062,0.3398167097530989,False
4,11,EGR2_1,0.01713523098352654,0.55,False,0.9999999962936554,False,0.49104486917614415,0.7089911377109841,False (lost)
5,11,EGR2_2,0.008304648544485593,0.84,False,0.9999999994173777,False,0.28490082754526214,0.305533636888261,False
6,11,EGR3_1,0.013245772796076638,0.66,False,0.9999999962936554,False,0.3900539599218459,0.5108987773898375,False
7,11,EGR3_2,0.020871869035593293,0.07,False,0.941002311898151,False,0.3688089673485675,0.46078269600376404,False (lost)
8,11,EGR4_1,0.007977503401268016,0.33,False,0.9999909599823517,False,0.18271850793789735,0.101496142816749,False
9,11,EGR4_2,0.003345311048574051,0.91,False,0.9999999994173777,False,0.2142848854432603,0.1692610901801689,False
10,11,FOS_1,0.007682410364418135,0.78,False,0.9999999971718995,False,0.3381532705026171,0.41266076098303844,False
11,11,FOS_2,0.010868303275173241,0.54,False,0.9999999962936554,False,0.32067965698786216,0.3745276410427734,False
12,11,JUND_1,0.0109337974386573,0.16,False,0.9977624383386892,False,0.2566482410513541,0.24639931500627318,False
13,11,JUND_2,0.017732611445492596,0.07,False,0.941002311898151,False,0.3184409274014876,0.36318587369970495,False
14,11,JUN_1,0.006843230103963482,0.83,False,0.9999999994173777,False,0.20904731902628787,0.15528803829083457,False
15,11,JUN_2,0.003481788796159735,0.85,False,0.9999999994173777,False,0.2439175532255554,0.22838994799717338,False (lost)
16,11,LAT_1,0.008413452647142883,0.58,False,0.9999999962936554,False,0.3807657153216652,0.49715460833840985,False (lost)
17,11,LAT_2,0.00579781671051971,0.83,False,0.9999999994173777,False,0.19275591587372196,0.12375064537914657,False (lost)
18,11,LCK_1,0.011405084211919547,0.55,False,0.9999999962936554,False,0.3268781817053846,0.38638790954107194,False (lost)
19,11,LCK_2,0.018832388555511725,0.52,False,0.9999999948444837,False,0.5299431211281994,0.7850904840431094,False (lost)
20,11,NFAT5_1,0.00542149112467194,0.72,False,0.9999999962936554,False,0.22231186142828188,0.18323886207411413,False
21,11,NFAT5_2,0.05711021144565964,0.19,False,0.9988209815422261,False,1.1309692822878157,1.948864983472194,False
22,11,NFATC1_1,0.00982615011323218,0.61,False,0.9999999962936554,False,0.2901067371261665,0.3144239544813232,False (lost)
23,11,NFATC1_2,0.02194469823452183,0.56,False,0.9999999962936554,False,0.6262306185997846,0.9745531693072697,False
24,11,NFKB1_1,0.005025953688928442,0.9,False,0.9999999994173777,False,0.14339166362695555,0.025794003907204963,False
25,11,NFKB1_2,0.005253931504624831,0.9,False,0.9999999994173777,False,0.21210746367381605,0.16299762618522964,False
26,11,NFKB2_1,0.008363926387253418,0.69,False,0.9999999962936554,False,0.37226044074385134,0.4801935854426716,False
27,11,NFKB2_2,0.0068602925801724,0.85,False,0.9999999994173777,False,0.27707745394897554,0.291331245660001,False
28,11,NR4A1_1,0.008786071487087432,0.84,False,0.9999999994173777,False,0.3774667773617487,0.49018411357863234,False
