,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,significant_adj_new
0,11,control,0.0,0.0,True,0.0,control,11.249455609941226,11.249455609941226,control
1,11,p-INTERGENIC216151,0.7580661143949747,0.06,False,0.9706040394968939,False,9.287985393833385,6.568449063330571,False (lost)
2,11,p-INTERGENIC393453,0.19279636534906253,0.78,False,0.9999889557232575,False,11.644679061256904,11.847106147223519,False
3,11,p-INTERGENIC393453_p-INTERGENIC216151,0.35013470601520247,0.52,False,0.9999889557232575,False,10.373345292292646,9.147100268628863,False
4,11,p-INTERGENIC393453_p-sgE2F4-6,0.4306485982375676,0.57,False,0.9999889557232575,False,13.940539737206459,16.200975266234124,False
5,11,p-INTERGENIC393453_p-sgE2F4-7,0.3658129039008102,0.55,False,0.9999889557232575,False,11.888023028968327,12.160777544094618,False
6,11,p-INTERGENIC393453_p-sgELF1-2,0.6069167687481904,0.28,False,0.9999865912197845,False,12.756386314681697,13.656400250673977,False
7,11,p-INTERGENIC393453_p-sgELF1-4,0.22581485590821515,0.75,False,0.9999889557232575,False,12.445033080382972,13.414795694916503,False
8,11,p-INTERGENIC393453_p-sgELF1-5,0.5859405852857424,0.28,False,0.9999865912197845,False,12.557126710740324,13.27885722625368,False
9,11,p-INTERGENIC393453_p-sgGABPA-1,0.4934332183121395,0.42,False,0.9999865912197845,False,12.692490648867196,13.642092469481026,False
10,11,p-INTERGENIC1144056,0.506138698914528,0.22,False,0.9999860601814391,False,10.1964356067899,8.637276904724049,False
11,11,p-INTERGENIC1144056_p-INTERGENIC393453,0.5777927943895431,0.29,False,0.9999865912197845,False,11.67780015890991,11.528351913489052,False
12,11,p-INTERGENIC1144056_p-sgELF1-2,0.5361442287455311,0.27,False,0.9999865912197845,False,12.058170662563562,12.330741486440367,False
13,11,p-INTERGENIC1144056_p-sgELF1-5,0.3984019950606612,0.45,False,0.9999865912197845,False,11.306055671972803,10.96425373894372,False
14,11,p-INTERGENIC1144056_p-sgGABPA-1,0.44616788696506404,0.47,False,0.9999865912197845,False,11.674039950509133,11.652456404111977,False
15,11,p-INTERGENIC1216445,0.6045070714219349,0.25,False,0.9999865912197845,False,11.013827957462842,10.173693233562524,False (lost)
16,11,p-INTERGENIC1216445_p-sgELF1-2,0.13561464749020757,0.92,False,0.9999889557232575,False,12.611537256390571,13.83800425534971,False
17,11,p-sgCREB1-2,0.48142984210361917,0.28,False,0.9999865912197845,False,12.081147338649297,12.431409225253748,False
18,11,p-sgCREB1-2_p-INTERGENIC393453,0.5789323512252835,0.33,False,0.9999865912197845,False,13.471709484153337,15.115031007140164,False
19,11,p-sgCREB1-4,0.3175905544495361,0.58,False,0.9999889557232575,False,11.39334797939771,11.219649794404658,False
20,11,p-sgCREB1-4_p-INTERGENIC393453,0.23191524356761306,0.83,False,0.9999889557232575,False,11.688772923650491,11.896174993792144,False
21,11,p-sgCREB1-5,0.16605800838281937,0.92,False,0.9999889557232575,False,10.905531610861814,10.395549603399584,False (lost)
22,11,p-sgCREB1-5_p-INTERGENIC216151,0.5541607816569467,0.23,False,0.9999860601814391,False,11.187442185623288,10.571267979648404,False
23,11,p-sgCREB1-5_p-INTERGENIC393453,0.759593453634281,0.16,False,0.9998051569061244,False,11.023803926941042,10.038558790306578,False (lost)
24,11,p-sgE2F4-6,0.5356150398872224,0.37,False,0.9999865912197845,False,12.217438764487941,12.649806879147434,False
25,11,p-sgE2F4-6_p-INTERGENIC216151,1.1059019102125518,0.01,True,0.4473165228376147,False,11.58088259878274,10.806407677411702,False
26,11,p-sgE2F4-7,0.5327460722643877,0.31,False,0.9999865912197845,False,11.993163247646661,12.20412481308771,False
