,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,significant_adj_new
0,11,A2M,0.4435227820663048,0.42,False,1.0,False,11.223899106475114,9.60627098663548,False
1,11,ACSL3,0.701696935106666,0.05,False,0.9999907629180789,False,9.959028610337846,6.818355841320582,False
2,11,ACTA2,0.5386758898815902,0.24,False,1.0,False,10.028789887206926,7.120899440283817,False
3,11,AEBP1,0.23902492692037214,0.72,False,1.0,False,11.964982273776045,11.292935176383272,False
4,11,AGA,0.41662513549227675,0.45,False,1.0,False,12.142255103077087,11.469880626413453,False
5,11,AHCY,0.8915673644249278,0.18,False,1.0,False,15.554460961314966,17.81935011395656,False
6,11,AHNAK,0.3358753147992637,0.51,False,1.0,False,11.528153495038953,10.322427231030199,False
7,11,APOC2,0.18228190234181696,0.9,False,1.0,False,11.38905781565701,10.197829284723758,False
8,11,APOD,0.33862112837005043,0.53,False,1.0,False,10.685952102825917,8.635278633033339,False
9,11,APOE,0.4356267897281505,0.47,False,1.0,False,11.759785543989429,10.685939854002262,False
10,11,ARMC6,0.3629212532399695,0.64,False,1.0,False,12.792733597946548,12.824541498404681,False
11,11,ATP1B1,0.38823221856687695,0.62,False,1.0,False,11.755224576477968,10.724212490140614,False
12,11,ATP5MD,0.4058863233763361,0.43,False,1.0,False,10.48692144095382,8.169952114282859,False
13,11,B2M,0.3874214992768188,0.63,False,1.0,False,12.744469799368153,12.703513655211042,False
14,11,BOLA2,0.2558604967053508,0.68,False,1.0,False,10.726705333416007,8.799545725878218,False
15,11,BOLA2B,0.3895592385822706,0.41,False,1.0,False,10.743215470264161,8.698867257697607,False
16,11,BZW2,0.41842766019387767,0.5,False,1.0,False,11.396212170060016,9.97599223567771,False
17,11,C1QBP,0.32240514306746526,0.61,False,1.0,False,10.544301131039902,8.368192674763893,False
18,11,C6orf226,0.847352654698307,0.07,False,0.9999998835207188,False,10.138304979107284,7.031252859267816,False
19,11,C19orf48,0.5639771404517937,0.24,False,1.0,False,11.715587903362112,10.469194222023985,False
20,11,CCND1,0.24993817276971342,0.63,False,1.0,False,10.989326417467888,9.330710217917618,False
21,11,CCND2,0.5771549811005166,0.32,False,1.0,False,12.810323613166986,12.645487800985011,False
22,11,CCR10,0.36122462236976816,0.58,False,1.0,False,10.775403934929095,8.791578803239977,False
23,11,CCT3,0.26609751072686016,0.69,False,1.0,False,11.947636897035487,11.23117183909567,False
24,11,CCT6A,0.6326957230770685,0.2,False,1.0,False,10.89166274766461,8.752625328003706,False
25,11,CD44,0.6973880930634113,0.2,False,1.0,False,11.810173725360638,10.52495491340942,False
26,11,CD47,0.2659536094089905,0.61,False,1.0,False,11.572293107077394,10.480628160497353,False
27,11,CD58,0.2702828617894486,0.72,False,1.0,False,11.672595450370876,10.676903594703859,False
28,11,CD59,0.22137119410349904,0.78,False,1.0,False,11.258696400198424,9.898017162044905,False
29,11,CD63,0.16980786132263148,0.84,False,1.0,False,11.61334623746303,10.658880169354985,False
30,11,CD151,0.6009288951478915,0.16,False,0.9999999999999994,False,10.369533510304521,7.740133681212706,False
31,11,CD274,0.48485539385352006,0.3,False,1.0,False,11.047857725863022,9.212855613624079,False
32,11,CDC123,0.3562783684675921,0.59,False,1.0,False,12.184901862521121,11.615520912326206,False
33,11,CDH19,0.46421676946975765,0.25,False,1.0,False,10.490520843464793,8.118820473211384,False
34,11,CDK4,0.32458889548225933,0.74,False,1.0,False,12.680421768522045,12.638250197313386,False
35,11,CDK6,0.1770639010731383,0.91,False,1.0,False,11.122335352502569,9.669602359683555,False (lost)
36,11,CDKN1A,0.23548913212522216,0.71,False,1.0,False,9.959587403197382,7.285681230021097,False
37,11,CDKN2A,0.7093393340200258,0.15,False,0.9999999999999953,False,11.500835195267538,9.894326612266605,False
38,11,CDKN2B,0.1752451616753632,0.89,False,1.0,False,10.993829016787265,9.414408427650722,False
39,11,CGAS,0.280967558602379,0.75,False,1.0,False,11.75359026719242,10.828208531534017,False
40,11,CHCHD2,0.39152488271441044,0.53,False,1.0,False,10.858701750508184,8.927874174053512,False
41,11,CITED1,0.28021637297899993,0.66,False,1.0,False,11.117428657699703,9.556636498171962,False
