,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,significant_adj_new
0,11,control,0.0,0.0,True,0.0,control,22.663591701477035,22.663591701477035,control
1,11,nan,1.2196287234916845,0.23,False,0.22999999999999998,False,26.28594399985934,28.688667574749964,False
2,100,control,0.0,0.0,True,0.0,control,81.34603732847434,81.34603732847434,control
3,100,nan,4.638685674694173,0.32,False,0.32,False,96.76217658944978,107.53963017573105,False
4,276,control,0.0,0.0,True,0.0,control,138.68553269999927,138.68553269999927,control
5,276,nan,7.011148670623385,0.43,False,0.43,False,167.59131354685076,189.4859457230788,False
6,535,control,0.0,0.0,True,0.0,control,197.21284329000636,197.21284329000636,control
7,535,nan,10.965941717663753,0.34,False,0.34,False,243.28507496775217,278.3913649278342,False
8,872,control,0.0,0.0,True,0.0,control,277.90426832829843,277.90426832829843,control
9,872,nan,14.732419454976764,0.36,False,0.36,False,334.1895965989186,375.7425054145622,False
10,1279,control,0.0,0.0,True,0.0,control,359.1907497029156,359.1907497029156,control
11,1279,nan,21.122049229197216,0.16,False,0.16,False,429.8699204832161,479.4270420343194,False
12,1746,control,0.0,0.0,True,0.0,control,435.528484616166,435.528484616166,control
13,1746,nan,27.158337114767164,0.07,False,0.07,False,521.0021027442833,579.3173837576335,False
14,2264,control,0.0,0.0,True,0.0,control,541.1716550180503,541.1716550180503,control
15,2264,nan,34.75935672461583,0.04,True,0.04,True,642.5996126948338,709.2682136470015,True (gained)
16,2820,control,0.0,0.0,True,0.0,control,657.3574672509175,657.3574672509175,control
17,2820,nan,41.819733043479346,0.03,True,0.03,True,772.3304526831524,845.483705071908,True (gained)
18,3403,control,0.0,0.0,True,0.0,control,768.1091138842005,768.1091138842005,control
19,3403,nan,47.68062110244773,0.04,True,0.04,True,899.3763602831725,982.9629855796968,True (gained)
20,4000,control,0.0,0.0,True,0.0,control,879.6592146852231,879.6592146852231,control
21,4000,nan,51.14736043079279,0.11,False,0.11,False,1028.7546271915398,1126.7026792670638,False
