,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,significant_adj_new
0,11,AHR,0.7144178845078093,0.0,True,0.0,True,3.4548293120887217,4.02515436673961,True
1,11,AHR_FEV,1.9011446560689738,0.0,True,0.0,True,5.982529100180555,7.893827171362112,True
2,11,AHR_KLF1,4.4908370236408555,0.0,True,0.0,True,6.950795974369552,7.240668552168225,True
3,11,ARID1A,0.13754918589947174,0.26,False,0.9999735082779022,False,3.2199718424904717,4.132308126151448,False (lost)
4,11,ARRDC3,0.05679181052267257,0.43,False,0.9999998621483993,False,2.1662755523723134,2.10567292129193,False (lost)
5,11,ATL1,4.2057160869263175,0.0,True,0.0,True,5.0269730146563125,3.6781435694562834,True
6,11,BAK1,0.10452639468773173,0.36,False,0.9999993722898265,False,2.449831676149902,2.625050584682048,False
7,11,BCL2L11,0.09564895194973966,0.24,False,0.9999610862652388,False,2.151861424548343,2.037987524216922,False
8,11,BCL2L11_BAK1,0.014455238934706571,0.92,False,0.9999999281674734,False,2.081593948518173,1.9786462851716158,False
9,11,BCL2L11_TGFBR2,1.3224373559793747,0.0,True,0.0,True,2.8839268954800805,2.275330062050762,True (gained)
10,11,BCORL1,0.2762269302362448,0.06,False,0.9755841855414882,False,2.8358624401945964,3.225411577222924,False
11,11,BPGM,6.122530244673337,0.0,True,0.0,True,5.5192579271084785,2.745899236613596,True
12,11,BPGM_SAMD1,10.399629350933065,0.0,True,0.0,True,8.276597529718472,3.9834793355738563,True
13,11,BPGM_ZBTB1,7.228021945036597,0.0,True,0.0,True,7.270729404109362,5.143350490252105,True
14,11,C3orf72,0.247443839138624,0.13,False,0.9990538442545446,False,3.0626591254626483,3.7077880388566484,False (lost)
15,11,C3orf72_FOXL2,0.5540396786742088,0.02,True,0.7802364424125606,False,2.952025526341468,3.1799250010787032,False (lost)
16,11,C19orf26,0.4963604755065032,0.01,True,0.5828791200667793,False,2.9439808421162708,3.221514835796014,False
17,11,CBFA2T3,0.806902252085846,0.0,True,0.0,True,2.5852964266154275,2.193604228214985,True
18,11,CBL,1.7954249961222208,0.0,True,0.0,True,4.49148210446043,5.017452839868615,True
19,11,CBL_CNN1,19.449726994850806,0.0,True,0.0,True,14.069543011392998,6.519272655005169,True
20,11,CBL_PTPN9,5.5493051341393915,0.0,True,0.0,True,6.194948496366298,4.670505485663181,True
21,11,CBL_PTPN12,11.691721802772532,0.0,True,0.0,True,9.684800938775705,5.507793701848853,True
22,11,CBL_TGFBR2,8.158572873064239,0.0,True,0.0,True,7.452706131197932,4.576753016401599,True
23,11,CBL_UBASH3A,3.8209765101728106,0.0,True,0.0,True,7.0646107063115045,8.138158529520174,True
24,11,CBL_UBASH3B,7.2270901286271165,0.0,True,0.0,True,8.491207463906767,7.585238426256391,True
25,11,CDKN1A,1.747548443291362,0.0,True,0.0,True,3.912005691776478,3.90637656733157,True
26,11,CDKN1B,1.3644846096213366,0.0,True,0.0,True,3.841234682270584,4.147898381989807,True
27,11,CDKN1B_CDKN1A,2.3424077355636124,0.0,True,0.0,True,5.237287103142333,5.96208009779103,True
28,11,CDKN1C,1.1966064186081469,0.0,True,0.0,True,3.6276877604127606,3.8886827292873503,True
29,11,CDKN1C_CDKN1A,2.1971091481615845,0.0,True,0.0,True,4.411558740075776,4.4559219590599435,True
30,11,CDKN1C_CDKN1B,2.9257211533961396,0.0,True,0.0,True,5.357310960281087,5.61881439423601,True
31,11,CEBPA,10.666252828064112,0.0,True,0.0,True,16.240013824362393,19.64368844773065,True
32,11,CEBPB,0.03731189738486851,0.72,False,0.9999999281674734,False,2.3456835832225917,2.483968896130291,False (lost)
33,11,CEBPB_CEBPA,4.1851450562138375,0.0,True,0.0,True,10.30026941330535,14.245307397466837,True
34,11,CEBPB_MAPK1,1.0279309380190291,0.0,True,0.0,True,2.8447228804549596,2.491428449960866,True
35,11,CEBPB_OSR2,0.7505204465760018,0.0,True,0.0,True,3.069953824974033,3.21930083044204,True
36,11,CEBPB_PTPN12,4.006818360688496,0.0,True,0.0,True,5.453566110449765,4.73022748728101,True
37,11,CEBPE,1.160794768815042,0.0,True,0.0,True,3.2830096192934892,3.2351380968419123,True
38,11,CEBPE_CEBPA,7.234989286650995,0.0,True,0.0,True,12.112591395051803,14.820107130522587,True
39,11,CEBPE_CEBPB,0.8550528389081036,0.01,True,0.5828791200667793,False,4.74722082732606,6.469302442813992,False (lost)
40,11,CEBPE_CNN1,0.443046663656677,0.03,True,0.8849747640229455,False,3.3590488853194507,4.1049647340522,False (lost)
41,11,CEBPE_KLF1,2.0933753235696617,0.0,True,0.0,True,3.5611892702897543,2.8589168440798223,True
42,11,CEBPE_PTPN12,0.3780170494594759,0.05,False,0.9624758607888839,False,3.1998323579059473,3.8515612934223946,False (lost)
43,11,CEBPE_RUNX1T1,1.5359220765522927,0.0,True,0.0,True,3.257618706771979,2.8092289640616412,True
44,11,CEBPE_SPI1,2.034179555538123,0.0,True,0.0,True,5.524758595479445,6.845251262490742,True
45,11,CELF2,0.18148381866428975,0.11,False,0.9976650351588768,False,2.7960441801642304,3.240518168734147,False (lost)
46,11,CITED1,0.03949825870415191,0.76,False,0.9999999281674734,False,2.868143901113086,3.5267031705919956,False (lost)
47,11,CKS1B,0.7981742389530937,0.0,True,0.0,True,3.229567196706544,3.4908737815299697,True
48,11,CLDN6,6.224404067317872,0.0,True,0.0,True,6.944524152273658,5.49455786429942,True
49,11,CNN1,4.857891800551204,0.0,True,0.0,True,5.779690304651328,4.531402435821427,True
50,11,CNN1_MAPK1,0.1563856603249003,0.21,False,0.9998982682394619,False,2.6985187642785204,3.0705654953021164,False (lost)
51,11,CNN1_UBASH3A,10.160252816042641,0.0,True,0.0,True,9.193038261718687,6.055737334464709,True
52,11,CNNM4,5.308904347767471,0.0,True,0.0,True,5.162643984333769,2.8462972479700435,True
53,11,COL1A1,7.221306471693239,0.0,True,0.0,True,7.497367904317731,5.603342964012198,True
