,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,significant_adj_new
0,11,ATF2,0.904869363539305,0.21,False,0.5015790793,False,16.788546280120602,17.275079224793487,False (lost)
1,11,CAV1,3.481600740399525,0.0,True,0.0,True,18.962415643186862,19.046086574065786,True
2,11,ETV7,0.46922835453369416,0.53,False,0.53,False,15.171802255278966,14.477232184115824,False
3,11,IFNGR1,4.095407364282682,0.0,True,0.0,True,14.226458763034538,8.96036618987798,True
4,11,IRF1,2.38780833371381,0.02,True,0.114157619136,False,17.509618559881034,17.234284814139844,False (lost)
5,11,IRF7,1.234706829844086,0.13,False,0.5015790793,False,16.626586436660883,16.621322071569267,False (lost)
6,11,MARCH8,1.4507837417967728,0.15,False,0.5015790793,False,19.991697324013888,23.13546693432259,False (lost)
7,11,PDL1,4.189594902953051,0.0,True,0.0,True,18.622289455734773,17.657840036608082,True
8,11,STAT2,1.02241636596602,0.15,False,0.5015790793,False,14.948864027909082,13.47816771794373,False (lost)
9,11,control,0.0,0.0,True,0.0,control,15.397143971908413,15.397143971908413,control
10,100,ATF2,5.233241532517219,0.05,False,0.142625,False,61.238925956093915,56.088023492095715,False (lost)
11,100,CAV1,11.393141145416728,0.0,True,0.0,True,71.24883972456557,69.94795141613952,True
12,100,ETV7,2.945320262504076,0.17,False,0.2775,False,61.37236342139691,58.64281969271486,False
13,100,IFNGR1,19.213888707628676,0.0,True,0.0,True,64.56618169940126,48.76188780359893,True
14,100,IRF1,6.77057506641524,0.0,True,0.0,True,66.1290214993299,64.33088104466965,True
15,100,IRF7,3.540874056774861,0.15,False,0.2775,False,62.46823840923682,60.23901587412388,False (lost)
16,100,MARCH8,6.249315684630979,0.01,True,0.049009950100000005,True,71.92389078219789,76.4418789921899,True
17,100,PDL1,11.573422957263524,0.0,True,0.0,True,71.63363265457558,70.53725546431274,True
18,100,STAT2,4.924761194941631,0.02,True,0.07763184000000001,False,59.85352680937906,53.6257055362416,False (lost)
19,100,control,0.0,0.0,True,0.0,control,61.156586887574896,61.156586887574896,control
20,276,ATF2,11.70914540157338,0.0,True,0.0,True,101.0447191220687,89.76401954426996,True
21,276,CAV1,20.908482186769078,0.0,True,0.0,True,117.3405600006155,113.15636451616786,True
