,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,significant_adj_new
0,11,HMGCS1,0.0653266291654353,0.29,False,0.9674475644899012,False,1.3930906392692475,1.3689939935418325,False
1,11,MAT2A,0.08494217530898251,0.14,False,0.8363253522544125,False,1.366812623852388,1.2968224165645665,False
2,11,MMAB,0.04811962846281537,0.49,False,0.9674475644899012,False,1.375515146614972,1.3510500089359014,False
3,11,MVK,0.13358358711332974,0.01,True,0.1312541872310217,False,1.3174167273734088,1.1493892118022606,False
4,11,PMVK,0.021745425337367452,0.86,False,0.9674475644899012,False,1.29381445293132,1.2140228246940454,False
5,11,PPP2R1A,0.05658581896349846,0.36,False,0.9674475644899012,False,1.3864792001949648,1.364511925595205,False
6,11,PPP2R1A_MAT2A,0.0431978729622724,0.63,False,0.9674475644899012,False,1.45260497087771,1.5101514129619205,False
7,11,UBA1,0.06392150701284716,0.31,False,0.9674475644899012,False,1.338527010220999,1.2612718575979236,False
8,11,UBA1_MAT2A,0.12451505707902588,0.02,True,0.23097761073989598,False,1.2561598715158195,1.035944030121386,False
9,11,UBA1_PPP2R1A,0.053645049097992725,0.36,False,0.9674475644899012,False,1.2829364672353663,1.1603672295415126,False
10,11,UBA1_PPP2R1A_MAT2A,0.08061409837762823,0.17,False,0.8712168581461914,False,1.3163206903493616,1.2001666264898678,False
11,11,UROD,0.045139177818815934,0.5,False,0.9674475644899012,False,1.318881896079279,1.2407639585085148,False
12,11,UROD_PPP2R1A,0.06447548794066371,0.33,False,0.9674475644899012,False,1.3821691015090345,1.348002059246178,False
13,11,UROD_PPP2R1A_MAT2A,0.047833291246605736,0.4,False,0.9674475644899012,False,1.2156286905783105,1.031563434078788,False
14,11,control,0.0,0.0,True,0.0,control,1.3518606558312272,1.3518606558312272,control
15,100,HMGCS1,0.4695244686785518,0.16,False,0.8250987712340191,False,9.483936345372,9.30521834711376,False
16,100,MAT2A,0.3840729721250664,0.32,False,0.959646393,False,8.904258524312368,8.231314201547983,False
17,100,MMAB,0.28711944260261113,0.85,False,0.98825288860163,False,9.422501150356995,9.364752983159692,False
18,100,MVK,0.34520664751144814,0.58,False,0.98825288860163,False,9.600702749885624,9.663068977308113,False
19,100,PMVK,0.4037086745993008,0.47,False,0.98825288860163,False,9.402510574993867,9.208182600436746,False
20,100,PPP2R1A,0.3208681824802273,0.69,False,0.98825288860163,False,9.490900524746117,9.467802992060319,False
21,100,PPP2R1A_MAT2A,0.5017718250856156,0.07,False,0.6107054433441853,False,8.9066237199255,8.118345739813698,False
22,100,UBA1,0.3400271736000029,0.48,False,0.98825288860163,False,9.070266924258163,8.607376799964637,False
23,100,UBA1_MAT2A,0.48801269555068494,0.14,False,0.8096806421562937,False,9.276187038878403,8.871231507254434,False
24,100,UBA1_PPP2R1A,0.31309265445933754,0.71,False,0.98825288860163,False,8.812033648712863,8.1178447680147,False
25,100,UBA1_PPP2R1A_MAT2A,0.8062185213606945,0.0,True,0.0,True,8.702205867053038,7.4050633377936945,True (gained)
26,100,UROD,0.3707304190581304,0.5,False,0.98825288860163,False,9.487244641648806,9.410628989287794,False
27,100,UROD_PPP2R1A,0.4504191144795975,0.3,False,0.959646393,False,9.279844433719,8.916139878006714,False
28,100,UROD_PPP2R1A_MAT2A,0.5644304591580749,0.08,False,0.6323336123451178,False,8.790405899418666,7.823251464727569,False
29,100,control,0.0,0.0,True,0.0,control,9.193129874951687,9.193129874951687,control
30,276,HMGCS1,0.6739386775390592,0.41,False,0.9593932322443359,False,16.816562698614995,15.872191270858334,False
31,276,MAT2A,0.6461578689198433,0.45,False,0.9593932322443359,False,16.524659367457293,15.316165417162148,False
32,276,MMAB,0.4906343995999656,0.87,False,0.9593932322443359,False,17.302681396397837,17.027732944363112,False
33,276,MVK,0.7472824236144113,0.33,False,0.9593932322443359,False,17.78601295293101,17.737748033415013,False
34,276,PMVK,0.8721584215805578,0.08,False,0.6323336123451178,False,17.146369403290542,16.33358493616793,False
35,276,PPP2R1A,0.6086902274737547,0.67,False,0.9593932322443359,False,17.15052059778413,16.605355519261902,False
36,276,PPP2R1A_MAT2A,0.9250661717856943,0.14,False,0.8096806421562937,False,16.696416948072574,15.380772275526867,False
37,276,UBA1,0.7134156257331163,0.41,False,0.9593932322443359,False,17.331187899274326,16.86196472398294,False
38,276,UBA1_MAT2A,0.7222975787433796,0.36,False,0.9593932322443359,False,17.229287194586952,16.64928136159793,False
39,276,UBA1_PPP2R1A,0.6782225253470742,0.25,False,0.9249153137207031,False,16.81966588119283,15.87411378820599,False
40,276,UBA1_PPP2R1A_MAT2A,1.4782781166594212,0.0,True,0.0,True,16.16620168434831,13.7671298032046,True (gained)
41,276,UROD,0.8071678264747639,0.21,False,0.9053172391737315,False,17.11577213433578,16.337380993364203,False
42,276,UROD_PPP2R1A,0.6667919685097274,0.44,False,0.9593932322443359,False,17.191943933831077,16.63010045031983,False
43,276,UROD_PPP2R1A_MAT2A,1.1004289044714888,0.03,True,0.3269729098344252,False,16.50121729514061,14.815010236977134,False
44,276,control,0.0,0.0,True,0.0,control,17.086995448832596,17.086995448832596,control
45,535,HMGCS1,1.0046576258462956,0.53,False,0.9486201625571359,False,28.73591293176431,26.257996891181683,False
46,535,MAT2A,1.1430641755155229,0.37,False,0.9486201625571359,False,28.11724277597653,24.88225002993689,False
47,535,MMAB,0.900580538441698,0.72,False,0.9486201625571359,False,30.50942095181048,29.90909001867862,False
48,535,MVK,1.4215068617719453,0.26,False,0.9334595892249206,False,29.99967191932654,28.368665630380494,False
49,535,PMVK,1.947946638880655,0.05,False,0.4866579167204949,False,28.916767313702422,25.676416642023547,False
50,535,PPP2R1A,1.1892665211427342,0.33,False,0.9486201625571359,False,29.414559081430927,27.430680295218476,False
51,535,PPP2R1A_MAT2A,1.675460755384833,0.15,False,0.8326567563103857,False,29.629126017408225,27.373619932930975,False
52,535,UBA1,1.193648780723187,0.41,False,0.9486201625571359,False,30.463358985443758,29.523897843663672,False
53,535,UBA1_MAT2A,1.128652694409908,0.43,False,0.9486201625571359,False,30.58472918517309,29.831634329435627,False
54,535,UBA1_PPP2R1A,1.1366652398354198,0.31,False,0.9486201625571359,False,29.217699692298552,27.089562798261042,False
55,535,UBA1_PPP2R1A_MAT2A,2.3431419738881196,0.03,True,0.3471637225393924,False,27.326534022539335,22.10075472468991,False
56,535,UROD,1.6862863031145956,0.11,False,0.7530095964347379,False,28.941682184387563,25.987906719159888,False
57,535,UROD_PPP2R1A,1.0182421314355743,0.48,False,0.9486201625571359,False,30.345602196972443,29.46379091600867,False
58,535,UROD_PPP2R1A_MAT2A,1.328640713100473,0.22,False,0.916642241687638,False,28.903712094192375,26.269612128783635,False
59,535,control,0.0,0.0,True,0.0,control,30.209171346500643,30.209171346500643,control
60,872,HMGCS1,1.2249123606961092,0.63,False,0.9869308768,False,38.257121389828285,34.429193760959784,False
61,872,MAT2A,1.471715237865368,0.41,False,0.97511348515181,False,37.6675189767577,33.00318605764935,False
62,872,MMAB,1.0847818940245233,0.9,False,0.992,False,40.761085145460044,39.57725173889489,False
63,872,MVK,1.7441575792768944,0.26,False,0.9507600960264412,False,40.389541579384996,38.17478892149242,False
64,872,PMVK,2.599171860282013,0.1,False,0.717570463519,False,38.3089935670355,33.15867861578831,False
65,872,PPP2R1A,1.834959795646867,0.21,False,0.9252006189472479,False,39.0293107868942,35.36352512014087,False
66,872,PPP2R1A_MAT2A,1.832559243099297,0.28,False,0.9507600960264412,False,39.090629005429804,35.48856210975962,False
67,872,UBA1,1.3038242085635687,0.58,False,0.9869308768,False,40.63510104120538,39.1062412158465,False
68,872,UBA1_MAT2A,1.1559558993161971,0.8,False,0.992,False,40.854124680263034,39.692156803209194,False
