,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,significant_adj_new
0,11,ADAM10,0.18571059163347892,0.23,False,1.0,False,3.1354002747827816,3.630540699195092,False
1,11,ADARB2,0.16272877952203801,0.22,False,1.0,False,2.7715565357063228,2.925835033153615,False
2,11,AFG3L2,0.04921909937511293,0.83,False,1.0,False,2.795411920814862,3.0870554835176183,False
3,11,AIFM1,0.05577374663576462,0.62,False,1.0,False,2.4195865996217276,2.3288501938706982,False
4,11,AKAP9,0.06550229784026973,0.5,False,1.0,False,2.2328973769133253,1.9457431972493884,False
5,11,AMFR,0.09139138003547975,0.48,False,1.0,False,2.4478652117578052,2.3497897847431384,False
6,11,ANO10,0.02066967358233862,0.91,False,1.0,False,1.96461853202211,1.4540181317248886,False
7,11,AP2A2,0.08294045110057446,0.39,False,1.0,False,2.330114222635256,2.1227387354329452,False
8,11,APEX1,0.08840897355820587,0.28,False,1.0,False,1.7383319917904867,0.9337057512857752,False
9,11,ARID1B,0.032484384829066126,0.95,False,1.0,False,2.6284190006544774,2.7698043577428964,False
10,11,ATG5,0.1034626869963442,0.39,False,1.0,False,3.091762511455625,3.6255130771779136,False
11,11,ATP1A3,0.06561452937585122,0.69,False,1.0,False,2.4296762816038227,2.3391887750948017,False
12,11,ATP5C1,0.021614753867300163,0.93,False,1.0,False,2.2387536590086183,2.001343305412944,False
13,11,ATP5H,0.07981843670166189,0.55,False,1.0,False,2.653288360819497,2.7722090262003394,False
14,11,ATP6AP2,0.09408274349450707,0.52,False,1.0,False,2.948301542263083,3.347971082294667,False
15,11,ATXN1,0.04574665043599424,0.7,False,1.0,False,2.317500148306943,2.1347043874408995,False
16,11,ATXN7,0.05771959472004351,0.76,False,1.0,False,2.571240890994239,2.6302129285314417,False
17,11,ATXN10,0.025206680480423405,0.84,False,1.0,False,2.1795752544479154,1.8793945696784153,False
18,11,BAX,0.06327773310092555,0.39,False,1.0,False,1.8109691650671098,1.1041113382963017,False
19,11,BCS1L,0.24741972574401006,0.06,False,0.9999854449518009,False,2.5507497672725052,2.399530550064008,False
20,11,BECN1,0.04947253562469722,0.8,False,1.0,False,2.781137674116458,3.0582535538712263,False
21,11,BIN1,0.1456861223877035,0.41,False,1.0,False,3.4689308675754904,4.337626354026285,False
22,11,BLMH,0.1164618073033572,0.34,False,1.0,False,3.0715542345258546,3.5720974030113597,False
23,11,BNIP1,0.21439157303931466,0.2,False,0.9999999999999998,False,3.2391072377610044,3.8092736437457018,False
24,11,CALB1,0.09959899205851297,0.44,False,1.0,False,2.6089164204897677,2.66368459018403,False
25,11,CASP3,0.05421274494667205,0.62,False,1.0,False,2.099094178348064,1.6894263530124634,False
26,11,CDC42EP3,0.11734745112416389,0.4,False,1.0,False,2.8822511122469887,3.192605514632821,False (lost)
27,11,CDH11,0.09815136933915936,0.46,False,1.0,False,2.946520774460891,3.3403409208456303,False
28,11,CELF1,0.08617458814905499,0.32,False,1.0,False,2.4821940127085487,2.42366417853105,False
29,11,CEP63,0.018473616144239813,0.98,False,1.0,False,2.3974579261176774,2.3218929773541226,False
30,11,CIC,0.05274284656380024,0.77,False,1.0,False,2.415889643473462,2.3244871816461314,False
31,11,CNTNAP2,0.2658319353391678,0.06,False,0.9999854449518009,False,3.268359253995011,3.816337313913862,False
32,11,COASY,0.05968178289149817,0.54,False,1.0,False,1.980811993531264,1.4473929454340373,False
33,11,COG4,0.054889568380108944,0.66,False,1.0,False,2.275367967731607,2.0412971083461127,False (lost)
34,11,COX10,0.06884551206936251,0.55,False,1.0,False,2.2139802285198042,1.9045656862332536,False
35,11,COX15,0.14829075021866345,0.27,False,1.0,False,2.9567410708559976,3.3106421327563393,False
36,11,CREBBP,0.029668215449148327,0.87,False,1.0,False,2.1731768224523313,1.862136170718522,False
37,11,CTSD,0.20907204077302266,0.1,False,0.9999999890806536,False,3.105617926876809,3.5476145542436033,False
38,11,CYB561,0.09349519324838473,0.29,False,1.0,False,2.0262517280505863,1.5044590041157957,False (lost)
39,11,CYCS,0.021372322888753015,0.92,False,1.0,False,1.9265819474130244,1.3772423132003035,False
40,11,CYP46A1,0.11020614385779792,0.53,False,1.0,False,3.3088110430827355,4.052866683570681,False
41,11,DAP,0.0440334975571397,0.67,False,1.0,False,2.335965323327954,2.173347890361776,False
42,11,DBR1,0.1286836457642062,0.39,False,1.0,False,3.080467427243647,3.577701949986096,False
43,11,DCTN1,0.21305938587849527,0.12,False,0.9999999997174992,False,3.2263189157577523,3.785029186900017,False
44,11,DMXL1,0.10095186503551945,0.51,False,1.0,False,2.9821520168274573,3.408802909882403,False
45,11,DNAJC6,0.07516392428047824,0.66,False,1.0,False,2.6720232312815804,2.81433327954569,False
46,11,DNM2,0.042427356790099235,0.74,False,1.0,False,2.46989387790392,2.4428111402807486,False
47,11,DROSHA,0.3370490581589256,0.03,True,0.9960874884154659,False,3.5477058446611562,4.3038133724263945,False
48,11,DYNC1H1,0.15350512259329552,0.23,False,1.0,False,2.72668881787502,2.845323254419752,False
49,11,ECHS1,0.05796152319182912,0.73,False,1.0,False,2.5087427877310406,2.50497479353326,False
50,11,EEF2,0.05365567461522902,0.66,False,1.0,False,1.943323485693291,1.3784420380343607,False
51,11,EIF2S1,0.21167666420181952,0.2,False,0.9999999999999998,False,3.3080924543763177,3.9499589858138235,False
52,11,EIF4G1,0.07269343489447877,0.57,False,1.0,False,2.363733404982741,2.200224116334011,False
53,11,ELMO1,0.06814954000423867,0.55,False,1.0,False,2.3527360739636247,2.1827733491860184,False
54,11,ELOVL5,0.08208963036256822,0.59,False,1.0,False,2.6813968785480573,2.826154867996554,False
55,11,ELP3,0.08841503746902957,0.39,False,1.0,False,2.328132796683906,2.11330129716179,False
56,11,EPC2,0.10948734542782868,0.33,False,1.0,False,2.4569213574494877,2.3498061107341544,False
57,11,EWSR1,0.10322336249526964,0.19,False,0.999999999999999,False,1.8370559556553456,1.1163392900784292,False
58,11,EXOC4,0.08407378152372136,0.32,False,1.0,False,2.052954025306469,1.5672850103522245,False
59,11,FAM57B,0.09738378221654642,0.46,False,1.0,False,2.7671891004705222,2.9824451599875057,False
60,11,FAM171A2,0.2135567735772801,0.19,False,0.999999999999999,False,3.282611393415218,3.8971167545161634,False
61,11,FARP1,0.02003768799338701,0.93,False,1.0,False,2.0974653880505763,1.7203438293707731,False
62,11,FBXO7,0.12206971571954517,0.43,False,1.0,False,3.228798944694301,3.880978914932064,False
63,11,FERMT2,0.017832112590568272,1.0,False,1.0,False,2.3578551756485258,2.243328979969491,False
64,11,FGD4,0.04636711532132054,0.82,False,1.0,False,2.457905129141462,2.4148938842246115,False
65,11,FOXC1,0.025039028622610537,0.9,False,1.0,False,2.3833881951344438,2.2871881029092846,False
66,11,FOXRED1,0.048748038361011936,0.61,False,1.0,False,1.807637059230403,1.1119768213628016,False
67,11,FRMD4A,3.2711513040944245,0.0,True,0.0,True,8.748152875929279,11.77060518902714,True
68,11,FXN,0.0420973762442145,0.8,False,1.0,False,2.360337820290502,2.2240290055997973,False
69,11,GARS,0.12672111461129854,0.26,False,1.0,False,2.4979972635500127,2.4147241537517345,False
70,11,GLE1,0.10061889639351795,0.4,False,1.0,False,2.6199529332260316,2.684737711321553,False
71,11,GOLIM4,0.13388009200268902,0.31,False,1.0,False,2.7875717887275555,2.9867142267154296,False
72,11,GRN,0.0223492225013735,0.9,False,1.0,False,2.169146804328502,1.861395127418638,False
73,11,GSR,0.1042139663523387,0.29,False,1.0,False,2.508266862785517,2.457770500481703,False
74,11,GSTA4,0.03154277911485881,0.9,False,1.0,False,2.5203307288877883,2.5545694199237254,False
75,11,GTF2H3,0.05091205814653943,0.87,False,1.0,False,2.6574770543106228,2.8094927917377137,False (lost)
76,11,HEXA,0.13386476309134565,0.19,False,0.999999999999999,False,2.547548767127753,2.5066835124271676,False
77,11,HNRNPA2B1,0.06216883291525299,0.75,False,1.0,False,3.0180040146253972,3.519289937598549,False
78,11,HSPA5,0.0917758094720047,0.47,False,1.0,False,2.5214077157216512,2.4964903632343054,False
79,11,HSPA9,0.04416301412575896,0.68,False,1.0,False,1.8144994850443819,1.1302866972260122,False
