,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,significant_adj_new
0,11,Ana-12,0.2916729347526372,0.0,True,0.0,True,3.7931834234937503,4.516311276488805,True
1,11,Ispenisib,0.32403794625308624,0.0,True,0.0,True,4.02409975747461,4.945778932950075,True
2,11,RO4929097,0.327638804354871,0.0,True,0.0,True,4.273596630800048,5.441171821499167,True
3,11,Tazemetostat,0.6419535265391589,0.0,True,0.0,True,4.466945071393206,5.513553980501195,True
4,11,control,0.0,0.0,True,0.0,control,2.778382635746058,2.778382635746058,control
5,11,etoposide,0.03421706461550578,0.0,True,0.0,True,2.300302477059607,1.7880052537576507,True
6,11,panobinostat,0.6406233846836535,0.0,True,0.0,True,4.5295762754667255,5.640146530503739,True
7,100,Ana-12,3.190334016958296,0.0,True,0.0,True,25.66599211685802,24.066663764148977,True
8,100,Ispenisib,2.306207698847551,0.0,True,0.0,True,23.977173533052746,21.57315291464917,True
9,100,RO4929097,2.3296928302563593,0.0,True,0.0,True,25.044092212051,23.683505141236875,True
10,100,Tazemetostat,2.478397268058913,0.0,True,0.0,True,23.77333647189516,20.993289223122638,True
11,100,control,0.0,0.0,True,0.0,control,24.07498645260877,24.07498645260877,control
12,100,etoposide,3.3461199211184933,0.0,True,0.0,True,24.40547948574922,21.389852597771174,True
13,100,panobinostat,3.388807423022783,0.0,True,0.0,True,28.689985339277627,29.9161768029237,True
14,276,Ana-12,12.436162028043789,0.0,True,0.0,True,68.33172953354851,65.30180460495382,True
15,276,Ispenisib,10.341172955588412,0.0,True,0.0,True,65.56520786167374,61.863750333659645,True
16,276,RO4929097,10.119999773684732,0.0,True,0.0,True,69.62152816364774,70.19756411951133,True
17,276,Tazemetostat,11.897455407699773,0.0,True,0.0,True,64.86648514581165,58.91002244982411,True
18,276,control,0.0,0.0,True,0.0,control,58.92549243409942,58.92549243409942,control
19,276,etoposide,7.902242082476768,0.0,True,0.0,True,56.67866447140757,46.52959442623895,True
20,276,panobinostat,5.561322842462992,0.0,True,0.0,True,65.34702846372579,66.20724165088917,True
21,535,Ana-12,22.629112379405484,0.0,True,0.0,True,115.54559112328128,109.91176372710129,True
22,535,Ispenisib,17.871471561791978,0.0,True,0.0,True,110.40011041748245,104.37844313311713,True
23,535,RO4929097,17.615376557300593,0.0,True,0.0,True,115.40987083760446,114.65405897785253,True
24,535,Tazemetostat,21.803795763865878,0.0,True,0.0,True,109.96058147660408,99.56706104928648,True
25,535,control,0.0,0.0,True,0.0,control,98.5503061400558,98.5503061400558,control
26,535,etoposide,12.210247272520704,0.0,True,0.0,True,94.29668087561913,77.83280833866176,True
27,535,panobinostat,14.438638231290696,0.0,True,0.0,True,107.23332932801893,101.47771428469136,True
28,872,Ana-12,32.91066164565538,0.0,True,0.0,True,154.760515476106,146.8415265415098,True
29,872,Ispenisib,27.642764043171553,0.0,True,0.0,True,147.8844478835493,138.35728895888025,True
30,872,RO4929097,28.459098479755056,0.0,True,0.0,True,153.2897812627363,148.35162128067074,True
31,872,Tazemetostat,31.448647882072265,0.0,True,0.0,True,145.6537743468464,130.09005804657372,True
32,872,control,0.0,0.0,True,0.0,control,129.76884276504683,129.76884276504683,control
33,872,etoposide,16.77348260446692,0.0,True,0.0,True,125.48730101131183,104.43227665310991,True
34,872,panobinostat,23.851154703384083,0.0,True,0.0,True,141.70436274946502,129.78872803049913,True
35,1279,Ana-12,43.047136294739346,0.0,True,0.0,True,181.885898257478,170.63895876679706,True
36,1279,Ispenisib,35.372481192681136,0.0,True,0.0,True,173.83041219168115,162.20264173726156,True
37,1279,RO4929097,34.68569278149894,0.0,True,0.0,True,178.5777549459141,172.38411565690967,True
38,1279,Tazemetostat,36.13458558002492,0.0,True,0.0,True,168.15169814865746,150.0831092638704,True
39,1279,control,0.0,0.0,True,0.0,control,150.0857014534196,150.0857014534196,control
40,1279,etoposide,19.851982236125025,0.0,True,0.0,True,146.2791734540425,122.62066321854039,True
41,1279,panobinostat,26.666547479995955,0.0,True,0.0,True,162.58926104736676,148.42627316131797,True
42,1746,Ana-12,45.33792167642011,0.0,True,0.0,True,192.45005837314537,180.28435084208198,True
43,1746,Ispenisib,37.63193050506612,0.0,True,0.0,True,184.57172750392252,172.23368027499026,True
44,1746,RO4929097,36.30426941825945,0.0,True,0.0,True,188.9316479530189,182.28118225998972,True
45,1746,Tazemetostat,38.354930374268264,0.0,True,0.0,True,177.7914867594158,157.95019891677467,True
46,1746,control,0.0,0.0,True,0.0,control,159.27784422778865,159.27784422778865,control
47,1746,etoposide,20.98885898030457,0.0,True,0.0,True,155.38304519543414,130.49938718277505,True
48,1746,panobinostat,28.109921339419685,0.0,True,0.0,True,172.02647161622383,156.66517766523933,True
49,2264,Ana-12,51.32136757016832,0.0,True,0.0,True,210.9886885127019,197.0205553975643,True
50,2264,Ispenisib,44.02047848380718,0.0,True,0.0,True,204.13293206604624,190.60993159061408,True
51,2264,RO4929097,39.45616077341995,0.0,True,0.0,True,206.76119401313167,200.43077319517218,True
52,2264,Tazemetostat,47.40830132330689,0.0,True,0.0,True,197.24741353693736,173.45107169289662,True
53,2264,control,0.0,0.0,True,0.0,control,173.6354540576712,173.6354540576712,control
54,2264,etoposide,21.965987991827035,0.0,True,0.0,True,168.9033861139855,142.20533017847276,True
55,2264,panobinostat,30.358625168972537,0.0,True,0.0,True,186.25792116171417,168.52176309678458,True
56,2820,Ana-12,54.41846570164057,0.0,True,0.0,True,218.80390827226014,202.7446132650262,True
57,2820,Ispenisib,47.39666557978637,0.0,True,0.0,True,212.40692356492536,196.97244397221084,True
58,2820,RO4929097,41.84690099450958,0.0,True,0.0,True,214.21674369921544,206.1418488260678,True
59,2820,Tazemetostat,51.02919155728796,0.0,True,0.0,True,204.78070020455812,178.08747127397476,True
60,2820,control,0.0,0.0,True,0.0,control,180.44473757785352,180.44473757785352,control
61,2820,etoposide,22.911601839909252,0.0,True,0.0,True,175.8742171385823,148.39209485940185,True
62,2820,panobinostat,31.43734789467922,0.0,True,0.0,True,193.13209964638455,174.38211382023636,True
63,3403,Ana-12,56.316829724104934,0.0,True,0.0,True,223.90801953048506,206.4484763092183,True
64,3403,Ispenisib,49.18454026728642,0.0,True,0.0,True,217.81500198269427,201.39473067045523,True
65,3403,RO4929097,42.987609088885335,0.0,True,0.0,True,219.23122310353622,210.42410409054023,True
66,3403,Tazemetostat,52.777061367613925,0.0,True,0.0,True,209.53826038093467,181.24872636660854,True
67,3403,control,0.0,0.0,True,0.0,control,185.05073302764688,185.05073302764688,control
68,3403,etoposide,23.600013425819412,0.0,True,0.0,True,180.66749718296947,152.68424791247264,True
69,3403,panobinostat,31.93795636158137,0.0,True,0.0,True,197.8306208073694,178.67255222551054,True
70,4000,Ana-12,57.4376267232405,0.0,True,0.0,True,230.00233102100825,211.96870311919466,True
71,4000,Ispenisib,50.50201522853402,0.0,True,0.0,True,224.31190063024974,207.52345383238412,True
72,4000,RO4929097,44.15127199675902,0.0,True,0.0,True,225.49933049609598,216.2490567958516,True
73,4000,Tazemetostat,54.55096754660667,0.0,True,0.0,True,216.07019861660174,186.99109748701548,True
74,4000,control,0.0,0.0,True,0.0,control,190.59833219958134,190.59833219958134,control
75,4000,etoposide,24.137927635542695,0.0,True,0.0,True,186.03211022607982,157.32796061703561,True
76,4000,panobinostat,32.97858013278267,0.0,True,0.0,True,203.91106428414233,184.24521623592065,True
