,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,significant_adj_new
0,2,control,0.0,0.0,True,0.0,control,37.779601941724025,37.779601941724025,control
1,2,crizotinib,0.9330369688125302,0.0,True,0.0,True,53.492586684771126,68.2725344590057,True
2,2,osimertinib,94.49791473217479,0.0,True,0.0,True,95.37751001937539,58.477503364851906,True
3,2,osimertinib+crizotinib,138.41573088981528,0.0,True,0.0,True,114.09066028123111,51.98598773092291,True
4,6,control,0.0,0.0,True,0.0,control,76.40502620269422,76.40502620269422,control
5,6,crizotinib,2.064486568234358,0.0,True,0.0,True,98.37356073092518,118.27760869092178,True
6,6,osimertinib,100.93723636649784,0.0,True,0.0,True,136.2188814374063,95.09550030562073,True
7,6,osimertinib+crizotinib,148.94606836331837,0.0,True,0.0,True,149.65170940227213,73.95232423853167,True
8,13,control,0.0,0.0,True,0.0,control,94.18521208726939,94.18521208726939,control
9,13,crizotinib,4.602666134775873,0.0,True,0.0,True,118.74694760009686,138.70601697814845,True
10,13,osimertinib,108.63051109440524,0.0,True,0.0,True,160.56952182441768,118.32332046716043,True
11,13,osimertinib+crizotinib,151.18400691115102,0.0,True,0.0,True,169.35071648014622,93.33221396187203,True
12,21,control,0.0,0.0,True,0.0,control,108.60825266898243,108.60825266898243,control
13,21,crizotinib,5.376313120917672,0.0,True,0.0,True,133.49400213601464,153.00343848212918,True
14,21,osimertinib,109.26815400291,0.0,True,0.0,True,175.87236756670538,133.86832846151833,True
15,21,osimertinib+crizotinib,151.52811748858406,0.0,True,0.0,True,183.84165575532876,107.54694135309106,True
16,31,control,0.0,0.0,True,0.0,control,121.37148510604914,121.37148510604914,control
17,31,crizotinib,7.447495845099667,0.0,True,0.0,True,147.05331258690296,165.28764422265712,True
18,31,osimertinib,109.87427773888001,0.0,True,0.0,True,188.1571569703914,145.06855109585373,True
19,31,osimertinib+crizotinib,152.1694619454974,0.0,True,0.0,True,196.78727576970522,120.0336044878639,True
20,43,control,0.0,0.0,True,0.0,control,134.01091338555082,134.01091338555082,control
21,43,crizotinib,7.817765866424622,0.0,True,0.0,True,159.09436013309173,176.360041014208,True
22,43,osimertinib,109.93121304993821,0.0,True,0.0,True,200.2851852226918,156.6282440098947,True
23,43,osimertinib+crizotinib,152.40720915472602,0.0,True,0.0,True,209.939015297394,133.45990805451117,True
24,56,control,0.0,0.0,True,0.0,control,147.16010359192796,147.16010359192796,control
25,56,crizotinib,8.047437097853049,0.0,True,0.0,True,171.14295386661084,187.07836704344066,True
26,56,osimertinib,109.98027395973509,0.0,True,0.0,True,212.4950281707973,167.84967878993157,True
27,56,osimertinib+crizotinib,152.47058245294693,0.0,True,0.0,True,223.31521036857666,146.99973469227842,True
28,70,control,0.0,0.0,True,0.0,control,161.09798796178765,161.09798796178765,control
29,70,crizotinib,8.08905791372095,0.0,True,0.0,True,183.5894768695276,197.9919078635466,True
30,70,osimertinib,109.98626870930778,0.0,True,0.0,True,225.08386638943708,179.08347610777835,True
31,70,osimertinib+crizotinib,152.4924814362744,0.0,True,0.0,True,237.26835984765117,160.9462502972403,True
32,85,control,0.0,0.0,True,0.0,control,175.00504205504313,175.00504205504313,control
33,85,crizotinib,8.129990980271515,0.0,True,0.0,True,196.28033846725205,209.42564389918945,True
34,85,osimertinib,109.99289575617723,0.0,True,0.0,True,237.98197567361217,190.9660135360039,True
35,85,osimertinib+crizotinib,152.5052664922839,0.0,True,0.0,True,251.4253722908939,175.34043603446077,True
36,100,control,0.0,0.0,True,0.0,control,188.44994656505122,188.44994656505122,control
37,100,crizotinib,8.19222388582051,0.0,True,0.0,True,208.47834180660956,220.3145131623474,True
38,100,osimertinib,110.0146484624405,0.0,True,0.0,True,250.4095227172603,202.35445040702916,True
39,100,osimertinib+crizotinib,152.52170132465375,0.0,True,0.0,True,265.2124369840331,189.4532260783612,True
