,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,significant_adj_new
0,2,DOK2_1,4.856392059129188,0.0,True,0.0,True,21.393680085677623,17.423270340252284,True (gained)
1,2,DOK2_2,1.937097329352973,0.08,False,0.6107054433441853,False,18.285769361856357,14.126743622385968,False (lost)
2,2,EGR1_1,1.3973900104839956,0.18,False,0.8625519686640394,False,19.656296948709738,17.407506114961706,False
3,2,EGR1_2,4.068403819339732,0.0,True,0.0,True,20.29682323653187,16.017544881750236,True (gained)
4,2,EGR2_1,4.1246080854551685,0.0,True,0.0,True,20.483226089948566,16.33414632246819,True (gained)
5,2,EGR2_2,2.5832994962826774,0.03,True,0.3857463465373143,False,19.758179733867234,16.425362199478016,False
6,2,EGR3_1,0.02835927382849235,0.98,False,0.99385344,False,19.74791439105501,18.95977173630775,False
7,2,EGR3_2,4.053770211596216,0.01,True,0.19836941046095405,False,22.191571620678246,19.821675257786502,False
8,2,EGR4_1,3.247956775125086,0.0,True,0.0,True,22.852389116911954,21.94912368672505,True (gained)
9,2,EGR4_2,1.7433066365041974,0.07,False,0.6107054433441853,False,21.640137539482676,21.02927067048738,False
10,2,FOS_1,3.418846834726672,0.0,True,0.0,True,19.337373622819843,14.748202638939242,True (gained)
11,2,FOS_2,1.4467468676324096,0.19,False,0.8625519686640394,False,25.108197722213163,28.26195080482014,False
12,2,JUND_1,2.702301921014236,0.02,True,0.31876737576010766,False,21.45616399335121,19.702328293714412,False
13,2,JUND_2,1.650462922003019,0.02,True,0.31876737576010766,False,17.66302917557942,13.16789765718205,False
14,2,JUN_1,4.365460281390138,0.0,True,0.0,True,20.412186915186584,15.951215777009256,True
15,2,JUN_2,6.128810500080647,0.0,True,0.0,True,18.810801153088143,10.985094034121863,True
16,2,LAT_1,12.082907583467126,0.0,True,0.0,True,24.205738550980907,15.820871746520911,True
17,2,LAT_2,8.191720698764886,0.0,True,0.0,True,20.4710934817597,12.242768492780737,True
18,2,LCK_1,8.38425978968018,0.0,True,0.0,True,23.794111098282304,18.696264634910655,True
19,2,LCK_2,5.027542714185337,0.0,True,0.0,True,22.79273140753889,20.05022232891867,True
20,2,NFAT5_1,2.1334068032824263,0.07,False,0.6107054433441853,False,19.07987480370511,15.518645032154021,False
21,2,NFAT5_2,1.1251415744818125,0.19,False,0.8625519686640394,False,18.310915650851793,14.988991955248,False
22,2,NFATC1_1,4.1629341736441425,0.01,True,0.19836941046095405,False,25.18491773462461,25.6992035236313,False (lost)
23,2,NFATC1_2,3.0991359870336126,0.04,True,0.4579136201390909,False,25.492564967277,27.378296175546616,False
24,2,NFKB1_1,0.25979365147477296,0.72,False,0.99385344,False,20.139915049750222,19.512338676051897,False
25,2,NFKB1_2,2.0161900100296712,0.05,False,0.5123250208844702,False,21.635791114075396,20.747694446147346,False
26,2,NFKB2_1,0.39207114697242673,0.49,False,0.982403712199,False,18.213236165145002,15.526703411343801,False
27,2,NFKB2_2,0.4654877671752189,0.5,False,0.982403712199,False,19.88621734666678,18.799249154184565,False
28,2,NR4A1_1,5.034095859915201,0.0,True,0.0,True,22.731514543269046,19.921235454649118,True
29,2,NR4A1_2,0.26101129112815613,0.82,False,0.99385344,False,21.163790922451973,21.558872781802016,False
30,2,PTPN6_1,3.6094176621147653,0.0,True,0.0,True,19.62918391752435,15.141252400960164,True (gained)
31,2,PTPN6_2,3.7125984251028257,0.01,True,0.19836941046095405,False,23.765713896965128,23.311131596853656,False
32,2,PTPN11_1,6.94796145912666,0.0,True,0.0,True,23.792257860251325,20.128856489402217,True (gained)
33,2,PTPN11_2,6.266105104762488,0.0,True,0.0,True,24.2407113102432,21.707619743750136,True
34,2,RELA_1,4.435000537405255,0.0,True,0.0,True,21.013213893635378,17.083729477891726,True
35,2,RELA_2,0.6080547558188627,0.35,False,0.95097772109375,False,17.972699244242833,14.829645960693028,False
36,2,RUNX2_1,0.18206283735339923,0.75,False,0.99385344,False,18.41850347893429,16.147246348541408,False
37,2,RUNX2_2,3.8824240142795574,0.02,True,0.31876737576010766,False,18.5021487964396,12.614175806625868,False
38,2,ZAP70_1,9.004582481664759,0.0,True,0.0,True,23.77297474809847,18.033669242558407,True
39,2,ZAP70_2,8.286528759953036,0.0,True,0.0,True,20.52546750512895,12.25670847833109,True
40,2,control,0.0,0.0,True,0.0,control,20.507697771973774,20.507697771973774,control
41,6,DOK2_1,5.242300254863764,0.01,True,0.22217864060085324,False,39.8258954264344,34.14788888115832,False
42,6,DOK2_2,2.5761774181031143,0.08,False,0.6888071694889076,False,38.04888547527546,33.2599918156011,False (lost)
43,6,EGR1_1,1.7556520072401938,0.23,False,0.8801484040173817,False,36.95129374742895,31.88533377077099,False
44,6,EGR1_2,4.334802856127631,0.01,True,0.22217864060085324,False,40.44280648184198,36.28920839070961,False
45,6,EGR2_1,4.500154945889378,0.0,True,0.0,True,39.61817514447389,34.474593626211686,True (gained)
46,6,EGR2_2,2.794767845858459,0.04,True,0.5004131923201862,False,39.95843142796666,36.860493293228146,False
47,6,EGR3_1,0.6011644276327672,0.85,False,0.980317,False,38.62929981904636,36.39583349361324,False
48,6,EGR3_2,4.6964509008567745,0.01,True,0.22217864060085324,False,41.33035339762547,37.70265417754746,False
49,6,EGR4_1,3.5359435740051453,0.02,True,0.31876737576010766,False,40.187704388413934,36.57786348597601,False
50,6,EGR4_2,2.406934306125713,0.08,False,0.6888071694889076,False,41.06328926133822,39.458042499704014,False
51,6,FOS_1,3.5050183790423617,0.02,True,0.31876737576010766,False,37.88609777673378,32.00557545757848,False
52,6,FOS_2,1.873499994518987,0.23,False,0.8801484040173817,False,43.46266666465937,44.79023161795305,False
53,6,JUND_1,3.2719251596759804,0.04,True,0.5004131923201862,False,39.88364012967903,36.23375338283537,False
54,6,JUND_2,3.195125814783758,0.01,True,0.22217864060085324,False,36.72117013608454,29.985612740538606,False
55,6,JUN_1,5.680938892328591,0.0,True,0.0,True,40.96322240312234,35.98390419706937,True
56,6,JUN_2,6.256583293983816,0.0,True,0.0,True,38.47543681944807,30.432688628065613,True
57,6,LAT_1,12.316856514889913,0.0,True,0.0,True,43.23898283362583,33.89950743551504,True
58,6,LAT_2,8.53678852251631,0.0,True,0.0,True,39.637470894118444,30.476551548873864,True
59,6,LCK_1,8.889376059169138,0.0,True,0.0,True,41.87090685322734,34.59083593043883,True
60,6,LCK_2,5.255219783396001,0.0,True,0.0,True,40.51319460334058,35.509567706438446,True
61,6,NFAT5_1,2.669515686947598,0.08,False,0.6888071694889076,False,38.19345172989532,33.455786055996334,False
62,6,NFAT5_2,1.8258805438528043,0.15,False,0.8031255956592773,False,36.25037347407351,30.413264687447512,False
63,6,NFATC1_1,6.880275961859283,0.0,True,0.0,True,45.25466848262234,43.36745928653869,True
