,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,significant_adj_new
0,2,A2M,1.1061123843821576,0.81,False,1.0,False,98.83906431070703,102.37944341124918,False
1,2,ACSL3,0.04665306542621295,0.99,False,1.0,False,101.17446292286347,108.109699954518,False
2,2,ACTA2,6.941233121158433,0.15,False,0.9999999999999876,False,98.18190335229468,95.23000075764821,False
3,2,AEBP1,4.712266498237923,0.35,False,1.0,False,107.69653440651167,116.4882294890027,False
4,2,AGA,2.46629567405661,0.49,False,1.0,False,107.84744678481715,119.03602506979497,False
5,2,AHCY,0.04552687777633935,1.0,False,1.0,False,105.24695362092265,116.25580753828625,False
6,2,AHNAK,19.856617951123013,0.0,True,0.0,True,111.3491994336403,108.64920809037486,True (gained)
7,2,APOC2,5.38827369945281,0.19,False,1.0,False,105.9941885045339,112.40753048383226,False
8,2,APOD,1.314565413691838,0.8,False,1.0,False,108.58646180847244,121.66578537747031,False
9,2,APOE,0.9746173567197616,0.82,False,1.0,False,99.96471505873461,104.76223993496674,False
10,2,ARMC6,3.649378120152946,0.47,False,1.0,False,103.71825361569987,109.59455628546407,False
11,2,ATP1B1,5.727378106219447,0.34,False,1.0,False,107.61164502350732,115.30333911501248,False
12,2,ATP5MD,5.878065340858527,0.35,False,1.0,False,113.39746290950957,126.7242876523779,False
13,2,B2M,2.365891273605314,0.6,False,1.0,False,107.61236171438959,118.66625932939115,False
14,2,BOLA2,4.030764991420526,0.37,False,1.0,False,100.80303271687242,103.3827276165416,False
15,2,BOLA2B,4.557432478604156,0.3,False,1.0,False,102.93871193998685,107.12741857558682,False
16,2,BZW2,0.5697563953303018,0.87,False,1.0,False,120.00447173125912,145.2466142414052,False
17,2,C1QBP,3.648340286500556,0.49,False,1.0,False,100.46051048352449,103.0801078547657,False
18,2,C6orf226,0.776960111396491,0.84,False,1.0,False,102.38254993676124,109.79556693634326,False
19,2,C19orf48,9.222607969102498,0.04,True,0.9999128811034375,False,95.022819174243,86.63045755360078,False
20,2,CCND1,2.8654479520586733,0.45,False,1.0,False,99.08051188849021,101.10300299913902,False (lost)
21,2,CCND2,5.354382935302013,0.3,False,1.0,False,111.90293044140311,124.2589051217215,False
22,2,CCR10,1.881416994481242,0.59,False,1.0,False,98.6877464276753,101.30150303508663,False
23,2,CCT3,2.7375593877024755,0.56,False,1.0,False,103.03904189461475,109.14795157574432,False
24,2,CCT6A,5.042040241202358,0.3,False,1.0,False,104.49713905963932,109.75966505229357,False
25,2,CD44,4.381755736665923,0.4,False,1.0,False,113.9048551365544,129.23538171066016,False
26,2,CD47,3.7157300685640138,0.45,False,1.0,False,105.98107422629813,114.05384555824953,False
27,2,CD58,4.6523017826023505,0.31,False,1.0,False,108.43135698202504,118.017839355665,False
28,2,CD59,10.628723457994369,0.06,False,0.9999991549256627,False,103.6880481959392,102.55480010810132,False
29,2,CD63,7.978532649194989,0.12,False,0.9999999999958414,False,101.07919722450016,99.98728897402262,False
30,2,CD151,4.7318762284554055,0.35,False,1.0,False,118.33791870358245,137.75138835292677,False
31,2,CD274,2.8558440982333764,0.6,False,1.0,False,105.77004155211314,114.49166618021019,False
32,2,CDC123,0.7917028681778504,0.78,False,1.0,False,97.7253457520491,100.46641581013762,False
33,2,CDH19,4.013027062180541,0.36,False,1.0,False,102.02255758744006,105.83951528691686,False
34,2,CDK4,3.6067962514051004,0.46,False,1.0,False,101.37447796749007,104.94958685779231,False
35,2,CDK6,0.12221009879465328,0.96,False,1.0,False,120.51888189208198,146.72298085958658,False
36,2,CDKN1A,17.420087898953255,0.03,True,0.9991204295801727,False,106.10469751120559,100.5967342976752,False
37,2,CDKN2A,0.6651475630427939,0.79,False,1.0,False,103.24393292826069,111.63014546769587,False
38,2,CDKN2B,0.5060782685695528,0.89,False,1.0,False,100.5878485291532,106.47704596395414,False
39,2,CGAS,0.7154680151113553,0.83,False,1.0,False,103.95734810929385,113.00665537769362,False
40,2,CHCHD2,2.2560775688988315,0.59,False,1.0,False,105.20206478006592,113.9554791654503,False
41,2,CITED1,3.8762204911288904,0.44,False,1.0,False,107.92242310864404,117.77605290037647,False
42,2,CKS1B,3.3936005566107212,0.4,False,1.0,False,99.06258056224081,100.53898774208818,False
43,2,CMSS1,0.5025014472652174,0.86,False,1.0,False,102.31558496398814,109.93609565492835,False
44,2,CORO1A,5.9817218265173295,0.14,False,0.9999999999998926,False,101.76374671600391,103.35319877970777,False
45,2,CSPG4,5.143047515189949,0.39,False,1.0,False,109.61663343308186,119.89764652519105,False
46,2,CST3,1.692034918345243,0.68,False,1.0,False,105.75089885774925,115.61718997137054,False
47,2,CTPS1,1.254193914269905,0.82,False,1.0,False,106.86943538694474,118.29210403383686,False
48,2,CTSA,2.0463546184647186,0.59,False,1.0,False,95.1251871688793,94.01144689351115,False
49,2,CTSB,3.327319581811679,0.49,False,1.0,False,107.6642513286773,117.80861024976019,False
50,2,CTSD,9.5946709914966,0.11,False,0.9999999999764548,False,102.96603747648054,102.14483113568176,False
51,2,CTSL,7.9441568413011225,0.19,False,1.0,False,114.40068318862947,126.6646367101751,False
52,2,CTSO,6.5742483403482765,0.25,False,1.0,False,118.34864089384595,135.9304606215609,False
53,2,CXCR4,6.371686023738263,0.18,False,0.9999999999999999,False,107.96863948122298,115.37302011292498,False
54,2,CYP27A1,2.998974340272966,0.53,False,1.0,False,105.70157380561557,114.21160044517545,False
55,2,DAG1,5.264875247927677,0.3,False,1.0,False,108.77654207770321,118.09563608169603,False
56,2,DDR1,8.200464875113198,0.15,False,0.9999999999999876,False,116.12413597749376,129.8552342540916,False
57,2,DDX17,2.7855238554662805,0.47,False,1.0,False,107.55837112000319,118.13864555875737,False
58,2,DDX39A,1.0117704093055266,0.83,False,1.0,False,107.86137423383457,120.51840523258089,False
59,2,DLL3,8.529073329380367,0.11,False,0.9999999999764548,False,112.64022593234763,122.55880570953218,False
60,2,DNMT1,1.05153617909221,0.64,False,1.0,False,107.843049028554,120.44198905223308,False
61,2,E2F1,2.2760131993538977,0.57,False,1.0,False,105.43584612499315,114.40310622484968,False
62,2,EEA1,10.26813916719584,0.09,False,0.9999999989283205,False,117.73038700666919,131.00006202035982,False
63,2,EEF1G,5.510635674031846,0.25,False,1.0,False,108.68821439528749,117.67322029076041,False
64,2,EIF2S3,1.9636266488843432,0.66,False,1.0,False,113.13479863622726,130.11339779778746,False
65,2,EIF3K,0.18422673274295676,0.93,False,1.0,False,98.09928719559001,101.82177483265434,False
66,2,EIF4A1,4.892359407450698,0.29,False,1.0,False,103.96994631608969,108.85496039894596,False
67,2,EMP1,13.677813562769899,0.05,False,0.9999916635335662,False,118.15235012230957,128.43431385606652,False
68,2,ENPP1,4.782054556420562,0.38,False,1.0,False,98.52039981859366,98.06617225498404,False
69,2,EVA1A,7.214522341244432,0.15,False,0.9999999999999876,False,112.1193574984737,122.83161982992026,False
70,2,FARSA,1.3970334336670902,0.72,False,1.0,False,107.56076348769504,119.53192071594027,False
71,2,FBL,2.431304563051995,0.48,False,1.0,False,103.8410558527141,111.0582343165935,False
72,2,FBXO32,6.814616007630562,0.15,False,0.9999999999999876,False,100.89886549761019,100.7905421618071,False
73,2,FGFR1,2.3672182455543123,0.58,False,1.0,False,101.43560617630696,106.31142128127689,False
74,2,FKBP4,0.24259002618309466,0.96,False,1.0,False,93.16262925051143,91.89009564905705,False
75,2,FMN1,1.7626192305799862,0.6,False,1.0,False,98.25386290912395,100.5525337618852,False
76,2,FOS,2.5995911591724337,0.58,False,1.0,False,103.88496323402109,110.97776248308702,False
77,2,FOXM1,2.4646844213955603,0.66,False,1.0,False,114.57870168898154,132.5001461307848,False
78,2,FRZB,2.9586442602112015,0.52,False,1.0,False,112.62706452022681,128.1029119544597,False
79,2,FSTL3,1.4345311754263292,0.64,False,1.0,False,107.32025105371191,119.01339810621478,False
80,2,FTH1,1.1278363579266824,0.81,False,1.0,False,93.69100157551763,92.06159396732586,False
81,2,GAA,7.451901625774312,0.13,False,0.9999999999993934,False,106.41857911417128,111.19268377678553,False
82,2,GAS5,4.9696382303231985,0.29,False,1.0,False,102.96590136679572,106.76959167748552,False
83,2,GPATCH4,0.5667178226828469,0.89,False,1.0,False,105.32381702420913,115.8883433999527,False
84,2,GPI,0.27293951605443567,0.9,False,1.0,False,99.43705972174085,104.40860710164455,False
85,2,GPNMB,5.40989481282233,0.32,False,1.0,False,109.30077015775578,118.99907267690651,False
86,2,GRN,0.45627104357885173,0.92,False,1.0,False,103.2441446839707,111.83944549857983,False
87,2,GSEC,3.0950004219519656,0.51,False,1.0,False,98.89450761132717,100.50144197491966,False
88,2,GSN,2.733136228413528,0.44,False,1.0,False,108.42179241240814,119.91787577062003,False
89,2,HASPIN,2.8893509763450282,0.54,False,1.0,False,101.5060350592985,105.93014631646925,False
90,2,HLA-A,0.01166967182962253,1.0,False,1.0,False,107.70367654902225,121.20311060043215,False
91,2,HLA-B,0.6754963824098184,0.83,False,1.0,False,96.10965536989183,97.35124153159111,False
92,2,HLA-C,0.4315899601747759,0.88,False,1.0,False,96.99818377585369,99.37220476574988,False
93,2,HLA-DRB5,1.0382394640279244,0.85,False,1.0,False,102.47954998379016,109.72828767776969,False
94,2,HLA-E,6.812756277980753,0.25,False,1.0,False,112.81259070796999,124.6198523121765,False
95,2,HLA-F,1.7773415148222114,0.72,False,1.0,False,107.87671929591338,119.78352425122182,False
96,2,HLA-H,0.7493475395089746,0.81,False,1.0,False,90.68287908865719,86.42383781202268,False
97,2,HNRNPA1,1.8742908583519693,0.67,False,1.0,False,109.32360750964423,122.58035133515378,False
98,2,HNRNPC,0.7063370703700826,0.81,False,1.0,False,110.33326975927274,125.76762962239268,False
99,2,HSPA1A,0.8596514137317683,0.88,False,1.0,False,94.55240057003265,94.0525769005508,False
