,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,significant_adj_new
0,2,AZD5591,278.6374170870986,0.0,True,0.0,True,338.05940999964895,158.56219221804216,True
1,2,Afatinib,245.36490408445255,0.0,True,0.0,True,359.3087813991644,234.3334480197191,True
2,2,BRD3379,21.309322203836388,0.0,True,0.0,True,191.3017379362429,122.37494297449221,True
3,2,Bortezomib,309.13972731666354,0.0,True,0.0,True,347.7962750520527,147.5336120932847,True
4,2,Dabrafenib,31.045955257277598,0.0,True,0.0,True,189.08619577900507,108.20722560657538,True
5,2,Everolimus,250.9886923351361,0.0,True,0.0,True,345.5340487670846,201.16019450487593,True
6,2,Gemcitabine,315.62452848763223,0.0,True,0.0,True,488.36769371332207,422.1916482448547,True
7,2,Idasanutlin,159.10674623651371,0.0,True,0.0,True,290.77453244502505,183.5231079593792,True
8,2,JQ1,456.7931359254262,0.0,True,0.0,True,472.84364460785974,249.97494259613606,True
9,2,Navitoclax,40.966371618672525,0.0,True,0.0,True,188.32010665844766,96.75463100406566,True
10,2,Prexasertib,296.3058033848055,0.0,True,0.0,True,421.95778261055466,308.6905511421466,True
11,2,Taselisib,286.67672177089423,0.0,True,0.0,True,399.34833374961045,273.1007350341695,True
12,2,Trametinib,89.45873283218842,0.0,True,0.0,True,371.55346371061586,414.72898389488626,True
13,2,control,0.0,0.0,True,0.0,control,238.91921069415716,238.91921069415716,control
14,2,sgGPX4-1,163.9029778109743,0.0,True,0.0,True,253.32537414663074,103.82855978813002,True
15,2,sgGPX4-2,161.00946791430934,0.0,True,0.0,True,250.2827457493852,100.63681289030396,True
16,2,sgLACZ,186.55443441801103,0.0,True,0.0,True,262.87176902838615,100.26989294460414,True
17,2,sgOR2J2,160.88421966170577,0.0,True,0.0,True,253.8725972997096,107.94176424355629,True
18,6,AZD5591,310.834952403636,0.0,True,0.0,True,555.7723261344709,340.2581813670066,True
19,6,Afatinib,263.7290383652559,0.0,True,0.0,True,586.842273601412,449.503990339269,True
20,6,BRD3379,22.12761403591213,0.0,True,0.0,True,399.6244580125947,316.66978349097815,True
21,6,Bortezomib,514.589578721922,0.0,True,0.0,True,651.7180907651725,328.39508431012405,True
22,6,Dabrafenib,33.146057160835596,0.0,True,0.0,True,394.41359756583347,295.22961947253225,True
23,6,Everolimus,274.59607048300785,0.0,True,0.0,True,567.686751298519,400.32591361573094,True
24,6,Gemcitabine,344.27465714699014,0.0,True,0.0,True,744.6292477747406,684.532319904192,True
25,6,Idasanutlin,192.0370416363699,0.0,True,0.0,True,537.7015250672706,422.9144899998722,True
26,6,JQ1,491.4983116576654,0.0,True,0.0,True,703.1788923762396,454.4079545965147,True
27,6,Navitoclax,45.593410365496766,0.0,True,0.0,True,395.1086495008695,284.1723701379431,True
28,6,Prexasertib,313.5088625386281,0.0,True,0.0,True,656.4426169710207,538.9248529051142,True
29,6,Taselisib,303.6048065060988,0.0,True,0.0,True,628.9361733285989,493.8160216528,True
30,6,Trametinib,121.16579243235293,0.0,True,0.0,True,627.6143205450496,673.6113301594474,True
31,6,control,0.0,0.0,True,0.0,control,460.4515184982991,460.4515184982991,control
32,6,sgGPX4-1,178.53737101878068,0.0,True,0.0,True,469.5911945327126,300.1934995483454,True
33,6,sgGPX4-2,179.2787598833101,0.0,True,0.0,True,467.84608925199984,295.9619001223905,True
34,6,sgLACZ,204.85589894269646,0.0,True,0.0,True,476.70625678374154,288.1050961264876,True
35,6,sgOR2J2,177.04987870267195,0.0,True,0.0,True,467.8379554221765,298.174513643382,True
36,13,AZD5591,350.93086777716064,0.0,True,0.0,True,700.2908620595244,447.3751411488502,True
37,13,Afatinib,288.9505378862099,0.0,True,0.0,True,732.7078340456923,574.1894150121366,True
38,13,BRD3379,31.645622648803283,0.0,True,0.0,True,536.6329022293039,439.34446661676645,True
39,13,Bortezomib,679.9249053630107,0.0,True,0.0,True,896.9440597701765,511.68749898430417,True
40,13,Dabrafenib,37.13295149839371,0.0,True,0.0,True,524.0337988863888,408.6589310813459,True
41,13,Everolimus,322.44272777316337,0.0,True,0.0,True,727.3709164641326,530.0233899620638,True
42,13,Gemcitabine,422.21090799167325,0.0,True,0.0,True,939.5786704200914,854.6707176554715,True
43,13,Idasanutlin,202.9898327607657,0.0,True,0.0,True,692.0779046382917,578.8902613227796,True
44,13,JQ1,524.3787288703062,0.0,True,0.0,True,849.8720398938398,573.0896357243354,True
45,13,Navitoclax,50.00449575424875,0.0,True,0.0,True,523.8924399681438,395.50466898900066,True
46,13,Prexasertib,346.0887674432105,0.0,True,0.0,True,819.5264660684044,690.6884495005602,True
47,13,Taselisib,335.51945160643504,0.0,True,0.0,True,781.360277171047,624.9253875426208,True
48,13,Trametinib,132.14498896180248,0.0,True,0.0,True,781.1730811619974,827.9254581691536,True
49,13,control,0.0,0.0,True,0.0,control,602.2757151930381,602.2757151930381,control
50,13,sgGPX4-1,265.24645712893505,0.0,True,0.0,True,669.8779536105217,472.2337348990702,True
51,13,sgGPX4-2,267.1279598224679,0.0,True,0.0,True,669.4811681887221,469.5586613619382,True
52,13,sgLACZ,297.11300993818486,0.0,True,0.0,True,679.2650760039606,459.14142687669835,True
53,13,sgOR2J2,262.8827910192962,0.0,True,0.0,True,670.0010512555209,474.8435962987076,True
54,21,AZD5591,353.9219906373304,0.0,True,0.0,True,803.6560823024824,546.0582107704041,True
55,21,Afatinib,294.7630387152186,0.0,True,0.0,True,838.236178965549,674.3773560186489,True
56,21,BRD3379,33.85553675542269,0.0,True,0.0,True,636.1949073765797,531.2023148005063,True
57,21,Bortezomib,712.6149291065889,0.0,True,0.0,True,1018.6612859867555,617.3756796696915,True
58,21,Dabrafenib,41.22121162999099,0.0,True,0.0,True,622.292919033023,496.0326632388247,True
59,21,Everolimus,334.02066976028766,0.0,True,0.0,True,836.4812447805965,631.6098566036749,True
60,21,Gemcitabine,447.92810540414655,0.0,True,0.0,True,1069.1663777926265,983.072686983876,True
61,21,Idasanutlin,217.0045411243858,0.0,True,0.0,True,816.0332458176978,707.7299873137792,True
62,21,JQ1,647.3650853466264,0.0,True,0.0,True,1011.2642037690667,667.8313589942767,True
63,21,Navitoclax,51.6667194026802,0.0,True,0.0,True,622.208903879912,485.4191251599133,True
64,21,Prexasertib,366.0617816557934,0.0,True,0.0,True,938.5206759425446,803.6476070320653,True
65,21,Taselisib,342.1066396366085,0.0,True,0.0,True,889.5366236080329,729.6346443822267,True
66,21,Trametinib,138.14347554858784,0.0,True,0.0,True,897.1009145579782,948.7263903701382,True
67,21,control,0.0,0.0,True,0.0,control,707.3319631972305,707.3319631972305,control
68,21,sgGPX4-1,270.9931780662155,0.0,True,0.0,True,765.475323897725,552.6255065320041,True
69,21,sgGPX4-2,272.3427048256416,0.0,True,0.0,True,764.6653003667332,549.6559327105942,True
70,21,sgLACZ,302.80231945688865,0.0,True,0.0,True,772.4585954815402,534.7829083089613,True
71,21,sgOR2J2,269.8716306828437,0.0,True,0.0,True,767.200176408709,557.1967589373438,True
72,31,AZD5591,359.1131234741026,0.0,True,0.0,True,900.3283086523895,638.1477842253295,True
73,31,Afatinib,296.63525183756497,0.0,True,0.0,True,934.6136645071407,769.1963675713694,True
74,31,BRD3379,35.44648334870658,0.0,True,0.0,True,726.3113017851987,613.7804106163437,True
75,31,Bortezomib,720.2908868133638,0.0,True,0.0,True,1122.4262417643442,721.1658871099775,True
76,31,Dabrafenib,43.057990542069206,0.0,True,0.0,True,709.8249829850602,573.196265822704,True
77,31,Everolimus,338.1723065529311,0.0,True,0.0,True,933.934228612027,726.300441065776,True
78,31,Gemcitabine,462.89137188862105,0.0,True,0.0,True,1183.1462815079997,1100.0054815220312,True
79,31,Idasanutlin,223.34224339587286,0.0,True,0.0,True,928.3502631425271,829.9625732838342,True
80,31,JQ1,667.7644747098004,0.0,True,0.0,True,1111.34269740665,751.5252104981523,True
81,31,Navitoclax,52.94517747175814,0.0,True,0.0,True,710.3687316280162,564.3965761789273,True
82,31,Prexasertib,378.17796440595635,0.0,True,0.0,True,1039.2219954860311,896.8703169607589,True
83,31,Taselisib,343.6558341805037,0.0,True,0.0,True,988.705912212072,830.3602806382933,True
84,31,Trametinib,144.94516493577112,0.0,True,0.0,True,999.8654264902949,1051.389978439471,True
85,31,control,0.0,0.0,True,0.0,control,803.3957096053471,803.3957096053471,control
86,31,sgGPX4-1,279.2285243697968,0.0,True,0.0,True,855.8501638122888,629.0760936494337,True
87,31,sgGPX4-2,278.7518632788517,0.0,True,0.0,True,853.5841827267008,625.0207925692027,True
88,31,sgLACZ,309.81848601136267,0.0,True,0.0,True,859.3871876297791,605.5601796428485,True
89,31,sgOR2J2,276.7301433138646,0.0,True,0.0,True,856.7622982723827,633.3987436255538,True
90,43,AZD5591,362.80336157701834,0.0,True,0.0,True,987.5255914081386,723.4315496267072,True
91,43,Afatinib,298.60807485777707,0.0,True,0.0,True,1023.3419837978252,859.2596211253218,True
92,43,BRD3379,37.885903725808475,0.0,True,0.0,True,807.5115605991767,688.3209458599935,True
93,43,Bortezomib,727.0159002503771,0.0,True,0.0,True,1216.3427228542448,816.853273845561,True
94,43,Dabrafenib,44.68831372073498,0.0,True,0.0,True,788.2696968954277,643.0348084575689,True
95,43,Everolimus,340.11247296791987,0.0,True,0.0,True,1022.6185918228783,816.3084390652853,True
96,43,Gemcitabine,467.5900756274019,0.0,True,0.0,True,1283.328264030123,1210.2501808202924,True
97,43,Idasanutlin,226.60397921982496,0.0,True,0.0,True,1025.9690878400877,936.5179248477988,True
98,43,JQ1,669.7479032267612,0.0,True,0.0,True,1194.1553410732429,829.746507307173,True
99,43,Navitoclax,54.93359572044585,0.0,True,0.0,True,789.9033530838894,636.0568388347815,True
100,43,Prexasertib,380.4460936037236,0.0,True,0.0,True,1128.1490800255287,987.0357948347825,True
101,43,Taselisib,344.63435622275153,0.0,True,0.0,True,1078.4407799177843,923.4309320002656,True
102,43,Trametinib,149.50614126076778,0.0,True,0.0,True,1092.610709455542,1146.8990060377662,True
103,43,control,0.0,0.0,True,0.0,control,888.8162716125515,888.8162716125515,control
104,43,sgGPX4-1,281.2360866741616,0.0,True,0.0,True,929.8560189524192,689.6596796181251,True
105,43,sgGPX4-2,281.55700796969006,0.0,True,0.0,True,927.2058827269518,684.0384858716619,True
106,43,sgLACZ,311.99407226470623,0.0,True,0.0,True,931.4065618960457,662.0027799148335,True
107,43,sgOR2J2,278.81055526435864,0.0,True,0.0,True,931.4591292121208,695.2914315473315,True
108,56,AZD5591,363.52282864945187,0.0,True,0.0,True,1059.0302196963862,795.3596952589078,True
109,56,Afatinib,300.20387574048823,0.0,True,0.0,True,1096.9929937077952,934.6041961906895,True
110,56,BRD3379,38.43937083882156,0.0,True,0.0,True,878.0696822775383,758.5220782318422,True
111,56,Bortezomib,730.7605388506063,0.0,True,0.0,True,1288.498880275138,887.0593062152568,True
112,56,Dabrafenib,45.696125803413565,0.0,True,0.0,True,856.4638984034351,708.0537555190439,True
113,56,Everolimus,344.3987043668785,0.0,True,0.0,True,1096.6121389707903,889.6476580902893,True
114,56,Gemcitabine,472.37970366273044,0.0,True,0.0,True,1366.1095273940948,1300.6614356410464,True
115,56,Idasanutlin,229.39491233188687,0.0,True,0.0,True,1098.272979330443,1007.9731308445862,True
116,56,JQ1,672.7256686008475,0.0,True,0.0,True,1263.927800990884,895.9520178965075,True
117,56,Navitoclax,55.54808727117097,0.0,True,0.0,True,857.9160084573251,701.1060141590665,True
118,56,Prexasertib,383.6691988971302,0.0,True,0.0,True,1203.307850983917,1063.768587586291,True
119,56,Taselisib,347.47540400140974,0.0,True,0.0,True,1153.3363717539078,1000.0194240219929,True
120,56,Trametinib,152.4818471100341,0.0,True,0.0,True,1164.5901040409244,1217.5204454874024,True
121,56,control,0.0,0.0,True,0.0,control,959.1779154844128,959.1779154844128,control
122,56,sgGPX4-1,282.2227404489636,0.0,True,0.0,True,995.5537072364415,749.7067585395066,True
123,56,sgGPX4-2,282.5961960520658,0.0,True,0.0,True,990.8480541927908,739.9219968491029,True
124,56,sgLACZ,312.89023611984544,0.0,True,0.0,True,994.3991425815932,716.7301335589283,True
125,56,sgOR2J2,279.62408862476855,0.0,True,0.0,True,995.3301926561668,751.8583812031522,True
126,70,AZD5591,364.9103780127409,0.0,True,0.0,True,1122.6712951951963,860.1084577687731,True
127,70,Afatinib,301.00484808820215,0.0,True,0.0,True,1161.1163005023845,1000.9039983076882,True
128,70,BRD3379,39.42568917110202,0.0,True,0.0,True,938.0337243716107,816.3180049632406,True
129,70,Bortezomib,732.8235427433535,0.0,True,0.0,True,1348.9670879556181,944.786878559004,True
130,70,Dabrafenib,46.84842952810095,0.0,True,0.0,True,915.2914028075375,763.4106214780952,True
131,70,Everolimus,347.76851121161894,0.0,True,0.0,True,1160.9446416354147,953.7970174503317,True
132,70,Gemcitabine,474.3031087053746,0.0,True,0.0,True,1436.6668980467737,1378.706932779294,True
133,70,Idasanutlin,230.93098276823116,0.0,True,0.0,True,1160.327768664142,1069.4007999511741,True
134,70,JQ1,673.6865690166289,0.0,True,0.0,True,1324.4155696073535,954.8208155891994,True
135,70,Navitoclax,56.38861377903913,0.0,True,0.0,True,917.2275916099036,757.7428148318893,True
136,70,Prexasertib,386.7742671401029,0.0,True,0.0,True,1268.9279669834152,1130.7579122178488,True
137,70,Taselisib,349.7056837470002,0.0,True,0.0,True,1219.1375837775051,1068.2457291991313,True
138,70,Trametinib,155.39290464085252,0.0,True,0.0,True,1226.7007944531933,1277.6849296566559,True
139,70,control,0.0,0.0,True,0.0,control,1020.3237546088787,1020.3237546088787,control
140,70,sgGPX4-1,283.1242767113529,0.0,True,0.0,True,1052.1493661790648,800.8507010378979,True
141,70,sgGPX4-2,283.28504718121326,0.0,True,0.0,True,1046.5784665190563,789.5481312480207,True
142,70,sgLACZ,313.7201047408837,0.0,True,0.0,True,1049.488883415192,764.9339074806217,True
143,70,sgOR2J2,280.3749200980644,0.0,True,0.0,True,1051.8772364788847,803.0557982508262,True
144,85,AZD5591,366.16872546237846,0.0,True,0.0,True,1180.9716845018443,919.8918972728275,True
145,85,Afatinib,302.12156422513226,0.0,True,0.0,True,1219.2317854176215,1060.4592603416281,True
146,85,BRD3379,40.17642539649887,0.0,True,0.0,True,993.5848997403117,871.110627815642,True
147,85,Bortezomib,734.7284332515778,0.0,True,0.0,True,1404.6989982351477,998.786816950235,True
148,85,Dabrafenib,48.7106425006732,0.0,True,0.0,True,970.1367247518685,815.6800607345813,True
149,85,Everolimus,349.74790804396343,0.0,True,0.0,True,1218.7985128358237,1011.9663713592013,True
150,85,Gemcitabine,477.02076866855805,0.0,True,0.0,True,1501.4919662630753,1450.0804175891099,True
151,85,Idasanutlin,232.78542279291628,0.0,True,0.0,True,1215.0082769352518,1121.3483848091048,True
152,85,JQ1,674.8187352973291,0.0,True,0.0,True,1378.8273048534638,1006.9531281411158,True
153,85,Navitoclax,57.47312636582956,0.0,True,0.0,True,972.1164553222595,810.8770380102068,True
154,85,Prexasertib,389.32839413412535,0.0,True,0.0,True,1330.06090907573,1194.910677748852,True
155,85,Taselisib,350.6621415813495,0.0,True,0.0,True,1277.870877859291,1129.1968678687501,True
156,85,Trametinib,157.50129244232494,0.0,True,0.0,True,1281.3411981895556,1329.298357668304,True
157,85,control,0.0,0.0,True,0.0,control,1075.8827462684826,1075.8827462684826,control
158,85,sgGPX4-1,284.2925417234869,0.0,True,0.0,True,1098.6852579867307,837.1952279814917,True
159,85,sgGPX4-2,284.48545671321244,0.0,True,0.0,True,1093.0548358637243,825.7414687457537,True
160,85,sgLACZ,314.66342871984807,0.0,True,0.0,True,1095.4552780360732,800.3643810838158,True
161,85,sgOR2J2,281.18388825576653,0.0,True,0.0,True,1098.7731331423508,840.4796317604525,True
162,100,AZD5591,367.0614018322883,0.0,True,0.0,True,1229.5813941607237,969.3364904079118,True
163,100,Afatinib,302.78787796653387,0.0,True,0.0,True,1267.3627364842623,1109.1726989207434,True
164,100,BRD3379,41.593961514431385,0.0,True,0.0,True,1041.80798311623,919.2571086367811,True
165,100,Bortezomib,735.5761255835021,0.0,True,0.0,True,1449.5268865560383,1040.7127514473273,True
166,100,Dabrafenib,49.86755515166465,0.0,True,0.0,True,1016.9589657598235,861.2854802867352,True
167,100,Everolimus,352.21363104331726,0.0,True,0.0,True,1266.8126586381395,1058.6467901517144,True
168,100,Gemcitabine,478.5097085250652,0.0,True,0.0,True,1553.8580106639502,1506.4414167215878,True
169,100,Idasanutlin,233.76541423268918,0.0,True,0.0,True,1258.3909832602035,1160.2516562064704,True
170,100,JQ1,676.1369421873219,0.0,True,0.0,True,1424.0939592289747,1049.28608018938,True
171,100,Navitoclax,57.974402084307485,0.0,True,0.0,True,1019.0304717712019,857.3216453768488,True
172,100,Prexasertib,390.909991675313,0.0,True,0.0,True,1379.232411416046,1244.7899350755317,True
173,100,Taselisib,351.5799241122122,0.0,True,0.0,True,1326.523079363952,1178.7013385344446,True
174,100,Trametinib,158.07671419745589,0.0,True,0.0,True,1324.7878937146897,1368.7341771506763,True
175,100,control,0.0,0.0,True,0.0,control,1122.7648960812473,1122.7648960812473,control
176,100,sgGPX4-1,284.9533046634922,0.0,True,0.0,True,1139.195502234293,870.6728037238462,True
