,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,significant_adj_new
0,2,ATF2,0.7486784227904479,0.83,False,0.9711,False,94.30232080794397,95.02522017180313,False (lost)
1,2,CAV1,11.425723021423138,0.21,False,0.80796091013841,False,133.1167254249603,161.97698480720308,False (lost)
2,2,ETV7,0.122047234366363,0.97,False,0.9711,False,91.9423808585979,90.93197146153507,False
3,2,IFNGR1,158.7677602865171,0.0,True,0.0,True,163.42150104726235,75.24449878671324,True
4,2,IRF1,4.3817662696757935,0.29,False,0.8606859304960001,False,97.7249597469575,98.23741020294483,False (lost)
5,2,IRF7,3.1698227289444674,0.41,False,0.87882639,False,93.50559679206442,91.01062783389001,False (lost)
6,2,MARCH8,5.723999402478583,0.28,False,0.8606859304960001,False,125.10478936718465,151.65483631059635,False (lost)
7,2,PDL1,21.38607960636361,0.0,True,0.0,True,120.06707576505006,125.91732890244215,True
8,2,STAT2,2.475824256015457,0.41,False,0.87882639,False,99.14787384834315,102.98918041937648,False (lost)
9,2,control,0.0,0.0,True,0.0,control,92.83074302129437,92.83074302129437,control
10,6,ATF2,40.365188352771014,0.0,True,0.0,True,182.27381243566848,167.98067142966028,True
11,6,CAV1,86.25868513192398,0.0,True,0.0,True,248.6159332994729,254.7714163781162,True
12,6,ETV7,4.6801398708427655,0.6,False,0.6,False,157.48683057012516,154.0917561805019,False
13,6,IFNGR1,208.75645766939337,0.0,True,0.0,True,261.37823185412844,157.79824094995783,True
14,6,IRF1,16.990781482024715,0.04,True,0.0784,False,167.8076296077808,162.42271264463122,False (lost)
15,6,IRF7,31.13159479223947,0.0,True,0.0,True,172.36655718872925,157.39975449631336,True
16,6,MARCH8,28.115157364450283,0.02,True,0.058808,False,205.64799087782063,226.97905930228532,False (lost)
17,6,PDL1,62.29471182877015,0.0,True,0.0,True,209.62696433631163,200.75745175494745,True
18,6,STAT2,51.87165201478217,0.0,True,0.0,True,194.05419737471578,180.03497764574374,True
19,6,control,0.0,0.0,True,0.0,control,156.20176508890566,156.20176508890566,control
20,13,ATF2,57.633844859271676,0.0,True,0.0,True,254.82520658159464,228.2392572369488,True
21,13,CAV1,105.06074687633463,0.0,True,0.0,True,328.96419799218233,329.0903380410612,True
22,13,ETV7,13.622789796175994,0.18,False,0.18,False,263.2542408007205,289.10838073829615,False
23,13,IFNGR1,240.46701345252774,0.0,True,0.0,True,342.42079355168266,220.59726258386877,True
24,13,IRF1,32.750782304053075,0.01,True,0.0199,True,243.49821533438907,230.46833729775622,True
25,13,IRF7,46.79381354197591,0.0,True,0.0,True,242.0006784402804,213.43023227161612,True
26,13,MARCH8,45.93643692936439,0.0,True,0.0,True,273.4412759408319,277.16880388533053,True
27,13,PDL1,69.3392856333212,0.0,True,0.0,True,296.23668602720517,299.3567753541203,True
28,13,STAT2,69.1950067395477,0.0,True,0.0,True,268.4098115529088,243.84730529930113,True
29,13,control,0.0,0.0,True,0.0,control,223.77731106696882,223.77731106696882,control
30,21,ATF2,66.53226379047538,0.0,True,0.0,True,303.8194730876579,260.6908192813773,True
31,21,CAV1,112.28286804371749,0.0,True,0.0,True,384.9254833535909,377.15223556000115,True
32,21,ETV7,16.794322678305832,0.32,False,0.32,False,390.11708464453216,483.0239835072953,False
33,21,IFNGR1,247.7917913692795,0.0,True,0.0,True,396.62683434087774,265.04601420901275,True
