,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,significant_adj_new
0,2,HMGCS1,13.661344848192357,0.38,False,0.937476497791,False,284.987228547674,241.84286029410302,False
1,2,MAT2A,48.247501456988516,0.03,True,0.28469859691191957,False,378.6780535982811,394.63835378652107,False
2,2,MMAB,0.024220931523814215,1.0,False,1.0,False,308.0174728134575,301.5404727423386,False
3,2,MVK,10.59841795166318,0.37,False,0.937476497791,False,295.0844208883482,265.10017187198054,False
4,2,PMVK,34.18930449745454,0.07,False,0.5160176928207069,False,324.09495688450767,299.53035731850815,False
5,2,PPP2R1A,20.765935926298255,0.16,False,0.70490965344256,False,316.48463275817164,297.7330776369924,False
6,2,PPP2R1A_MAT2A,60.40090475906413,0.01,True,0.11361512828387071,False,464.53188875157537,554.192620791034,False
7,2,UBA1,3.543247010879668,0.79,False,0.9559,False,340.99220986917754,363.9709207744228,False
8,2,UBA1_MAT2A,14.314575705549089,0.43,False,0.937476497791,False,390.05130297818016,451.3177782977586,False
9,2,UBA1_PPP2R1A,47.11912278205932,0.07,False,0.5160176928207069,False,460.4883086039858,559.3872424728596,False
10,2,UBA1_PPP2R1A_MAT2A,307.7233408979673,0.0,True,0.0,True,690.6759474998651,759.1583021487102,True
11,2,UROD,33.767484785968236,0.09,False,0.5297474723848479,False,327.53680976762394,306.835882796227,False
12,2,UROD_PPP2R1A,20.18385541381076,0.38,False,0.937476497791,False,439.32052977725266,543.9869521876419,False
13,2,UROD_PPP2R1A_MAT2A,142.74742515574064,0.0,True,0.0,True,599.1372445662308,741.0568120236684,True (gained)
14,2,control,0.0,0.0,True,0.0,control,314.47025195305264,314.47025195305264,control
15,6,HMGCS1,17.64196093931588,0.36,False,0.8747667424,False,394.48849798395656,334.5920755168612,False
16,6,MAT2A,54.87315563161337,0.02,True,0.21528327626519997,False,493.92433529595604,496.23255544856266,False
17,6,MMAB,5.614078425378011,0.91,False,0.91,False,423.08220706779116,403.80737619846826,False
18,6,MVK,14.495693544882613,0.5,False,0.875,False,425.47636511010154,399.7140771635844,False
19,6,PMVK,39.89555064271309,0.06,False,0.46138488590510024,False,431.60453281570915,386.57055547696916,False
20,6,PPP2R1A,22.239045731211377,0.22,False,0.8243443114508799,False,423.8907366183328,388.7994679937181,False
21,6,PPP2R1A_MAT2A,71.49023655715354,0.04,True,0.361760669448159,False,576.4853004263821,644.7374047838744,False
22,6,UBA1,14.91061188828013,0.56,False,0.875,False,468.5848614927619,485.5161515855074,False
23,6,UBA1_MAT2A,26.640274366386222,0.29,False,0.871899716079,False,531.331189248373,599.2791446186237,False
24,6,UBA1_PPP2R1A,53.219679237516004,0.07,False,0.47958891701151274,False,568.9355280407088,647.9084173321656,False
25,6,UBA1_PPP2R1A_MAT2A,309.58361050096306,0.0,True,0.0,True,800.8028316473847,855.2790932820702,True
26,6,UROD,42.86087768623861,0.08,False,0.4867811268624384,False,448.2878191252258,416.9718010524769,False
27,6,UROD_PPP2R1A,22.41135179387669,0.34,False,0.8747667424,False,556.1142081860517,653.0741050664906,False
28,6,UROD_PPP2R1A_MAT2A,149.86120020068648,0.0,True,0.0,True,703.1614888814898,819.7188180505572,True (gained)
