,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,significant_adj_new
0,2,Ana-12,70.75191902040095,0.0,True,0.0,True,176.7170522632684,181.18220616198417,True
1,2,Ispenisib,60.30505493560287,0.0,True,0.0,True,166.41421216017207,171.02339004058956,True
2,2,RO4929097,48.73562145335012,0.0,True,0.0,True,166.00966369870397,181.78372659990612,True
3,2,Tazemetostat,51.06049038665466,0.0,True,0.0,True,157.8909752582618,163.2214807857172,True
4,2,control,0.0,0.0,True,0.0,control,101.49997934415171,101.49997934415171,control
5,2,etoposide,25.148832786528473,0.0,True,0.0,True,117.11012809058882,107.57144405049745,True
6,2,panobinostat,6.806184120033635,0.0,True,0.0,True,105.77649104542819,103.24681862667103,True
7,6,Ana-12,81.19261475762764,0.0,True,0.0,True,252.72840436047358,238.07686475782245,True
8,6,Ispenisib,67.4612889140657,0.0,True,0.0,True,240.63585045944728,227.62308279933183,True
9,6,RO4929097,57.770875897266905,0.0,True,0.0,True,239.64233330328295,235.32646150380197,True
10,6,Tazemetostat,86.111458075929,0.0,True,0.0,True,243.10368178683305,213.90857629224004,True
11,6,control,0.0,0.0,True,0.0,control,186.18732920549704,186.18732920549704,control
12,6,etoposide,38.86813557183714,0.0,True,0.0,True,194.44015673595834,163.8248486945825,True
13,6,panobinostat,36.813870221507955,0.0,True,0.0,True,199.013390238079,175.02558104915303,True
14,13,Ana-12,85.52580216053818,0.0,True,0.0,True,296.6913958815634,273.9218045710937,True
15,13,Ispenisib,77.188031270295,0.0,True,0.0,True,288.45863193004016,265.7940475582904,True
16,13,RO4929097,64.75029355664358,0.0,True,0.0,True,287.26530384800566,275.8451291078728,True
17,13,Tazemetostat,97.08080720333854,0.0,True,0.0,True,288.6786813174503,246.34137040006715,True
18,13,control,0.0,0.0,True,0.0,control,233.9351850314949,233.9351850314949,control
19,13,etoposide,41.57534972979673,0.0,True,0.0,True,239.43360665704762,203.3566785528036,True
20,13,panobinostat,53.01959333780283,0.0,True,0.0,True,257.7838111288643,228.61284388843077,True
21,21,Ana-12,87.29473190772666,0.0,True,0.0,True,328.18334725883534,299.41479308742254,True
22,21,Ispenisib,82.28989072250704,0.0,True,0.0,True,322.18372470710887,292.4203891691892,True
23,21,RO4929097,68.9027090782501,0.0,True,0.0,True,321.49726938003124,304.4346601592909,True
24,21,Tazemetostat,103.37352241204962,0.0,True,0.0,True,322.47398009855243,271.91726826253375,True
25,21,control,0.0,0.0,True,0.0,control,269.6571695225215,269.6571695225215,control
26,21,etoposide,43.44523732052585,0.0,True,0.0,True,272.05187220219636,231.0013375613454,True
27,21,panobinostat,58.20680861470544,0.0,True,0.0,True,296.0441319737861,264.22428581034524,True
28,31,Ana-12,88.53614393352666,0.0,True,0.0,True,351.8057330562062,319.2974154381978,True
29,31,Ispenisib,84.42765829008914,0.0,True,0.0,True,347.64804236923317,315.0905197076893,True
