,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,ncells,significant_adj_new
0,0.0027962028188198707,control,0.0,0.0,True,0.0,control,0.0,0.0,1,control
1,0.0027962028188198707,nan,10157.764564173092,0.0,True,0.0,True,5078.882282086546,0.0,1,True (gained)
2,0.02507208781817638,control,0.0,0.0,True,0.0,control,1676.816060311441,1676.816060311441,2,control
3,0.02507208781817638,nan,6323.975215805613,0.0,True,0.0,True,6192.882995876753,4384.974715636452,2,True (gained)
4,0.06912625135579575,control,0.0,0.0,True,0.0,control,3534.3438854222204,3534.3438854222204,4,control
5,0.06912625135579575,nan,1797.7312130593891,0.98,False,0.98,False,4046.744084280438,2761.4130700792666,4,False
6,0.1339745962155613,control,0.0,0.0,True,0.0,control,3585.2945426226497,3585.2945426226497,7,control
7,0.1339745962155613,nan,1320.2557964763228,0.11,False,0.11,False,4312.220634818301,3718.8909305376287,7,False
8,0.2181685175319702,control,0.0,0.0,True,0.0,control,2818.467456473275,2818.467456473275,11,control
9,0.2181685175319702,nan,748.2603670325357,0.04,True,0.04,True,3536.2565609986573,3505.785298491504,11,True (gained)
10,0.31982726222908053,control,0.0,0.0,True,0.0,control,2848.6790910245395,2848.6790910245395,16,control
11,0.31982726222908053,nan,437.7893826392369,0.29,False,0.29,False,3428.9841193578677,3571.499765051959,16,False
12,0.43667994193637794,control,0.0,0.0,True,0.0,control,3231.0510973119867,3231.0510973119867,22,control
13,0.43667994193637794,nan,349.8715919676979,0.1,False,0.1,False,3547.344225338744,3513.765761397803,22,False
14,0.5661162608824419,control,0.0,0.0,True,0.0,control,3081.5672960569577,3081.5672960569577,29,control
15,0.5661162608824419,nan,276.18226782757847,0.1,False,0.1,False,3506.8682147744817,3655.986865664427,29,False
16,0.7052448255890957,control,0.0,0.0,True,0.0,control,2833.276256316031,2833.276256316031,36,control
17,0.7052448255890957,nan,201.3727881759978,0.04,True,0.04,True,3133.9801369732895,3233.3112294545504,36,True (gained)
18,0.8509577338238256,control,0.0,0.0,True,0.0,control,2456.352353529778,2456.352353529778,43,control
19,0.8509577338238256,nan,155.7855785681013,0.07,False,0.07,False,2810.7365729756734,3009.3352138534674,43,False
20,1.0,control,0.0,0.0,True,0.0,control,2294.5630947361155,2294.5630947361155,50,control
21,1.0,nan,127.25846487057652,0.13,False,0.13,False,2574.2281931449993,2726.6348266833065,50,False
