,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,ncells,significant_adj_new
0,0.0027962028188198707,ATF2,4764.515865609029,0.0,True,0.0,True,2382.2579328045144,0.0,1,True
1,0.0027962028188198707,CAV1,5436.297203194805,0.0,True,0.0,True,2718.1486015974024,0.0,1,True
2,0.0027962028188198707,ETV7,5144.230581086653,0.0,True,0.0,True,2572.1152905433264,0.0,1,True (gained)
3,0.0027962028188198707,IFNGR1,4682.801655243033,0.0,True,0.0,True,2341.4008276215163,0.0,1,True
4,0.0027962028188198707,IRF1,5753.352344425455,0.0,True,0.0,True,2876.6761722127276,0.0,1,True
5,0.0027962028188198707,IRF7,4363.625694386057,0.0,True,0.0,True,2181.8128471930286,0.0,1,True
6,0.0027962028188198707,MARCH8,5050.337956623458,0.0,True,0.0,True,2525.168978311729,0.0,1,True
7,0.0027962028188198707,PDL1,5142.585909653933,0.0,True,0.0,True,2571.2929548269667,0.0,1,True
8,0.0027962028188198707,STAT2,4961.963078935893,0.0,True,0.0,True,2480.9815394679463,0.0,1,True
9,0.0027962028188198707,control,0.0,0.0,True,0.0,control,0.0,0.0,1,control
10,0.02507208781817638,ATF2,2164.01373514451,0.29,False,0.74588319,False,2168.201944148782,981.8243876384089,2,False (lost)
11,0.02507208781817638,CAV1,2040.5657435378018,0.0,True,0.0,True,2003.409259180682,775.6870093089176,2,True
12,0.02507208781817638,ETV7,2069.8339304495203,0.39,False,0.74588319,False,2115.0791736942974,969.7586514244298,2,False
13,0.02507208781817638,IFNGR1,2466.891136578498,0.0,True,0.0,True,2369.738706381725,1082.0205106703067,2,True
14,0.02507208781817638,IRF1,2013.1713817399161,0.0,True,0.0,True,1969.8090871409568,735.8810270273523,2,True
15,0.02507208781817638,IRF7,2186.6517859634505,0.0,True,0.0,True,2078.319384605239,779.421217732382,2,True
16,0.02507208781817638,MARCH8,1995.1265267331112,0.38,False,0.74588319,False,2054.3476252331393,923.0029582185225,2,False (lost)
17,0.02507208781817638,PDL1,2651.985427958197,0.31,False,0.74588319,False,2613.867683899256,1385.18417432567,2,False (lost)
18,0.02507208781817638,STAT2,2170.6719356482345,0.0,True,0.0,True,2136.837095389097,912.4364896153152,2,True
19,0.02507208781817638,control,0.0,0.0,True,0.0,control,1190.565765514645,1190.565765514645,2,control
20,0.06912625135579575,ATF2,1088.49795689367,0.26,False,0.835793509824,False,2136.4648254817716,1182.8268558681477,4,False (lost)
21,0.06912625135579575,CAV1,1323.5991768500035,0.18,False,0.75071452943232,False,2565.4274018215524,1805.6507885913766,4,False (lost)
22,0.06912625135579575,ETV7,1316.460497420589,0.84,False,0.9375,False,2698.499591001388,2078.9338463804625,4,False
23,0.06912625135579575,IFNGR1,1346.2415134443854,0.0,True,0.0,True,2356.8335474955998,1365.8207433450902,4,True
24,0.06912625135579575,IRF1,1316.2896024375773,0.5,False,0.9375,False,2645.1169041141693,1972.3393675890372,4,False (lost)
