,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,ncells,significant_adj_new
0,0.0027962028188198707,Ana-12,705.039354683001,0.05,False,0.15065344,False,1896.3525967068526,1677.1325017991378,6,False (lost)
1,0.0027962028188198707,Ispenisib,635.5339675335476,0.08,False,0.15065344,False,1750.4193997633477,1454.7714950615814,6,False (lost)
2,0.0027962028188198707,RO4929097,625.0684163625792,0.02,True,0.114157619136,False,1657.9827763355306,1280.3637993769153,6,False (lost)
3,0.0027962028188198707,Tazemetostat,803.7369086563258,0.04,True,0.15065344,False,1837.3888077069953,1460.5073698260978,6,False (lost)
4,0.0027962028188198707,control,0.0,0.0,True,0.0,control,1410.5333369315667,1410.5333369315667,6,control
5,0.0027962028188198707,etoposide,639.7025417109244,0.04,True,0.15065344,False,1791.8496530783723,1533.4634275142537,6,False (lost)
6,0.0027962028188198707,panobinostat,695.0038986418663,0.03,True,0.14126597429999999,False,1803.1384356153694,1500.7396356573058,6,False (lost)
7,0.02507208781817638,Ana-12,125.77417508940391,0.0,True,0.0,True,691.496102044977,624.4227002259859,49,True
8,0.02507208781817638,Ispenisib,89.03105527319315,0.0,True,0.0,True,610.5273955647009,499.22840708164443,49,True
9,0.02507208781817638,RO4929097,117.36818925323212,0.0,True,0.0,True,642.3758045679124,534.5880911080285,49,True
10,0.02507208781817638,Tazemetostat,133.1488921489689,0.0,True,0.0,True,643.1455116689376,520.3468024143422,49,True
11,0.02507208781817638,control,0.0,0.0,True,0.0,control,632.7953287745642,632.7953287745642,49,control
12,0.02507208781817638,etoposide,70.77378159986586,0.0,True,0.0,True,619.5767050665108,535.5842997585917,49,True
13,0.02507208781817638,panobinostat,85.1135784667,0.0,True,0.0,True,737.3870922223989,756.8652772035337,49,True
14,0.06912625135579575,Ana-12,109.29502016839194,0.0,True,0.0,True,488.6534132792622,411.1291924067241,134,True
15,0.06912625135579575,Ispenisib,102.47511977140323,0.0,True,0.0,True,477.031102818743,394.7044718826746,134,True
16,0.06912625135579575,RO4929097,89.6482576217229,0.0,True,0.0,True,488.17614350819684,429.82141541126265,134,True
17,0.06912625135579575,Tazemetostat,121.21670509337719,0.0,True,0.0,True,480.06066370798254,382.02200833917965,134,True
18,0.06912625135579575,control,0.0,0.0,True,0.0,control,456.8826139834082,456.8826139834082,134,control
19,0.06912625135579575,etoposide,65.80866259490028,0.0,True,0.0,True,440.2971920868933,357.9031075954781,134,True
20,0.06912625135579575,panobinostat,77.26351215833597,0.0,True,0.0,True,492.4542219699608,450.76231779817755,134,True
21,0.1339745962155613,Ana-12,112.84398776258541,0.0,True,0.0,True,436.0843655244725,384.3823808087028,260,True
22,0.1339745962155613,Ispenisib,96.7133771763742,0.0,True,0.0,True,427.786748980252,383.91775830647305,260,True
23,0.1339745962155613,RO4929097,89.68421086273003,0.0,True,0.0,True,423.91989204941456,383.21321075844264,260,True
24,0.1339745962155613,Tazemetostat,116.12984318662382,0.0,True,0.0,True,423.88227393582497,356.69234220736956,260,True
25,0.1339745962155613,control,0.0,0.0,True,0.0,control,374.9423624776567,374.9423624776567,260,control
26,0.1339745962155613,etoposide,45.014235794020976,0.0,True,0.0,True,370.6754299155171,321.39426155935655,260,True
27,0.1339745962155613,panobinostat,70.27397540968121,0.0,True,0.0,True,415.68484167083864,386.1533454543394,260,True
28,0.2181685175319702,Ana-12,87.23104782941789,0.0,True,0.0,True,404.51631202993735,359.98821408324704,423,True
29,0.2181685175319702,Ispenisib,96.24161506706469,0.0,True,0.0,True,406.5233217578211,354.9916663013678,423,True
30,0.2181685175319702,RO4929097,69.86218354010538,0.0,True,0.0,True,403.69296573151144,375.7103857757077,423,True
31,0.2181685175319702,Tazemetostat,110.58955191433603,0.0,True,0.0,True,404.711111704407,337.01930934726823,423,True
32,0.2181685175319702,control,0.0,0.0,True,0.0,control,361.8133621472098,361.8133621472098,423,control
33,0.2181685175319702,etoposide,52.22277585981931,0.0,True,0.0,True,360.15295365677736,306.26976930652563,423,True
34,0.2181685175319702,panobinostat,65.23077523843568,0.0,True,0.0,True,392.72406221149504,358.4039870373446,423,True
35,0.31982726222908053,Ana-12,91.45483425846959,0.0,True,0.0,True,396.8586852711189,355.27599614577974,619,True
36,0.31982726222908053,Ispenisib,90.91706695977672,0.0,True,0.0,True,396.13318005338334,354.36275300900166,619,True
37,0.31982726222908053,RO4929097,76.61919663629874,0.0,True,0.0,True,396.39175576908576,369.1777747638845,619,True
38,0.31982726222908053,Tazemetostat,107.47609601764515,0.0,True,0.0,True,390.70229437814027,326.94195260064686,619,True
39,0.31982726222908053,control,0.0,0.0,True,0.0,control,346.9865401379884,346.9865401379884,619,control
40,0.31982726222908053,etoposide,41.03132274033567,0.0,True,0.0,True,347.1099405429463,306.20201820756847,619,True
41,0.31982726222908053,panobinostat,64.63598872012574,0.0,True,0.0,True,375.46765683993783,339.3127848217615,619,True
42,0.43667994193637794,Ana-12,87.94986263738963,0.0,True,0.0,True,390.53286528682423,351.75444739969413,845,True
43,0.43667994193637794,Ispenisib,87.08887530186507,0.0,True,0.0,True,390.2290579466079,352.0078200547859,845,True
44,0.43667994193637794,RO4929097,74.0927482130171,0.0,True,0.0,True,389.5447342878387,363.6352998260957,845,True
45,0.43667994193637794,Tazemetostat,112.33987777426285,0.0,True,0.0,True,392.6606079882279,331.6199176656275,845,True
46,0.43667994193637794,control,0.0,0.0,True,0.0,control,341.36142053656505,341.36142053656505,845,control
47,0.43667994193637794,etoposide,47.645539220562796,0.0,True,0.0,True,338.94929029961,288.8916208420922,845,True
48,0.43667994193637794,panobinostat,60.2677981741968,0.0,True,0.0,True,370.05414598828514,338.47907326580844,845,True
49,0.5661162608824419,Ana-12,95.4179300901344,0.0,True,0.0,True,391.3937783250578,347.0664204009264,1096,True
50,0.5661162608824419,Ispenisib,86.16872090492421,0.0,True,0.0,True,388.03578529767907,349.5996435313801,1096,True
51,0.5661162608824419,RO4929097,73.89465739580072,0.0,True,0.0,True,387.57316573141577,360.9484679079772,1096,True
52,0.5661162608824419,Tazemetostat,107.566989248889,0.0,True,0.0,True,385.50013051914766,323.1300656303518,1096,True
53,0.5661162608824419,control,0.0,0.0,True,0.0,control,340.3032061590545,340.3032061590545,1096,control
54,0.5661162608824419,etoposide,47.95820937528134,0.0,True,0.0,True,337.4539285554258,286.64644157651577,1096,True
55,0.5661162608824419,panobinostat,61.6787857364194,0.0,True,0.0,True,366.5578870366904,331.1337821779068,1096,True
56,0.7052448255890957,Ana-12,91.08513560728869,0.0,True,0.0,True,386.43987845538305,347.62367363543893,1365,True
57,0.7052448255890957,Ispenisib,88.98110470435728,0.0,True,0.0,True,384.22941801596403,345.30678365953264,1365,True
58,0.7052448255890957,RO4929097,73.92061227864514,0.0,True,0.0,True,382.53742093823445,356.98328192978585,1365,True
59,0.7052448255890957,Tazemetostat,106.95321048010067,0.0,True,0.0,True,381.4922068537964,321.86025555945366,1365,True
60,0.7052448255890957,control,0.0,0.0,True,0.0,control,334.1709476680385,334.1709476680385,1365,control
61,0.7052448255890957,etoposide,49.270579880824414,0.0,True,0.0,True,329.99705319387476,276.55257883888663,1365,True
62,0.7052448255890957,panobinostat,60.12431845195772,0.0,True,0.0,True,362.8787514604835,331.4622368009708,1365,True
63,0.8509577338238256,Ana-12,89.18345961681109,0.0,True,0.0,True,384.3721509216948,345.97603297126557,1647,True
64,0.8509577338238256,Ispenisib,84.67944699208778,0.0,True,0.0,True,381.8173147856807,345.37037332396056,1647,True
65,0.8509577338238256,RO4929097,72.78726842823579,0.0,True,0.0,True,381.5188180401034,356.66555839665835,1647,True
66,0.8509577338238256,Tazemetostat,106.68004722813629,0.0,True,0.0,True,380.18815477904974,320.1114530746507,1647,True
67,0.8509577338238256,control,0.0,0.0,True,0.0,control,333.58480925531296,333.58480925531296,1647,control
68,0.8509577338238256,etoposide,44.84073658860348,0.0,True,0.0,True,331.6923626895272,284.959179535138,1647,True
69,0.8509577338238256,panobinostat,61.522552839802074,0.0,True,0.0,True,363.12528919095377,331.1432162867925,1647,True
70,1.0,Ana-12,90.19196564972657,0.0,True,0.0,True,383.274003265955,345.5129748882832,1935,True
71,1.0,Ispenisib,86.27838744327988,0.0,True,0.0,True,380.4937023657266,343.8659512942735,1935,True
72,1.0,RO4929097,72.70332556794767,0.0,True,0.0,True,379.32017010849995,355.0939486551519,1935,True
73,1.0,Tazemetostat,105.50851505148603,0.0,True,0.0,True,378.2115841460725,320.07158724675793,1935,True
74,1.0,control,0.0,0.0,True,0.0,control,330.84306599390067,330.84306599390067,1935,control
75,1.0,etoposide,46.089866382642924,0.0,True,0.0,True,329.32006799909874,281.7072036216539,1935,True
76,1.0,panobinostat,60.50699154804556,0.0,True,0.0,True,359.62337321921717,327.8966888964881,1935,True
