,edist,pvalue,significant,pvalue_adj,significant_adj,log10_edist
DOK2_1,2.112566399387088,0.007,True,0.19001410747970388,False,0.3248103680047964
DOK2_2,1.2755234953122816,0.27,False,0.9688267693855167,False,0.10568846278155597
EGR1_1,1.2957118295811263,0.218,False,0.9591033448184073,False,0.11250842380409391
EGR1_2,2.238747406362325,0.008,True,0.20140457051078908,False,0.3500050957177545
EGR2_1,1.6890952835415014,0.035,True,0.5747390350975929,False,0.2276541492448354
EGR2_2,1.3881723076525923,0.125,False,0.8819329129787512,False,0.142443376506603
EGR3_1,0.7137784481808147,0.926,False,0.998233899375,False,-0.14643656926555187
EGR3_2,1.8966085962661872,0.017,True,0.3486147115297674,False,0.27797771464171406
EGR4_1,1.233340022938119,0.325,False,0.9688267693855167,False,0.09108282495589919
EGR4_2,1.1005160855214378,0.543,False,0.980066617505943,False,0.04159639473320584
FOS_1,2.021398383377498,0.013,True,0.28838356546129834,False,0.3056519140359261
FOS_2,1.301825361517185,0.251,False,0.9688267693855167,False,0.11455272799836488
JUND_1,1.2395668158696616,0.256,False,0.9688267693855167,False,0.09326994133491497
JUND_2,1.244280331715597,0.261,False,0.9688267693855167,False,0.09491823630466983
JUN_1,1.7148058948134413,0.062,False,0.7392288117396291,False,0.23421496777103565
JUN_2,2.925492839739757,0.0,True,0.0,True,0.4661990394949962
LAT_1,3.248051495562205,0.0,True,0.0,True,0.5116229060559673
LAT_2,3.164127200121829,0.0,True,0.0,True,0.5002539341178649
LCK_1,2.6330748452074424,0.0,True,0.0,True,0.42046320411123683
LCK_2,2.368423065478762,0.001,True,0.03247741531623269,True,0.37445928191569267
NFAT5_1,1.3248329694449588,0.194,False,0.9511695658870922,False,0.12216112731358042
NFAT5_2,0.8139683174552452,0.822,False,0.998233899375,False,-0.08939249906920367
NFATC1_1,2.240966191235767,0.006,True,0.17019142895907285,False,0.3504353045178794
NFATC1_2,1.609420526296777,0.069,False,0.760671940438079,False,0.20666953594991264
NFKB1_1,0.8899263040948959,0.795,False,0.998233899375,False,-0.050645956332734346
NFKB1_2,1.631081472275124,0.059,False,0.7375952360365939,False,0.21247565452636588
NFKB2_1,1.1785153450937322,0.306,False,0.9688267693855167,False,0.07133524171494177
NFKB2_2,0.7424472797389576,0.928,False,0.998233899375,False,-0.12933437962872774
NR4A1_1,1.9495262483260767,0.007,True,0.19001410747970388,False,0.2899290868830365
NR4A1_2,1.1717576259396871,0.367,False,0.9688267693855167,False,0.0688377886422143
PTPN6_1,1.6173547453041088,0.088,False,0.8188752834043385,False,0.2088052870869088
PTPN6_2,1.8070631507039785,0.045,True,0.6532012316429641,False,0.25697332993948074
PTPN11_1,2.1746772121925027,0.003,True,0.09166705552104669,False,0.3373948036506795
PTPN11_2,2.8621150513335856,0.0,True,0.0,True,0.4566870875492042
RELA_1,2.1397228009460925,0.008,True,0.20140457051078908,False,0.33035751455614815
RELA_2,1.2413980567958554,0.178,False,0.9471460726880971,False,0.09391106123344642
RUNX2_1,1.3727746622191255,0.118,False,0.8817051202187697,False,0.1375992546538364
RUNX2_2,1.5142625838485095,0.086,False,0.8188752834043385,False,0.18020119143110333
ZAP70_1,2.88268234339586,0.0,True,0.0,True,0.4597967880312588
ZAP70_2,3.0528970163078917,0.0,True,0.0,True,0.48471215444489146
control,0.0,0.0,True,0.0,True,-inf
