,edist,pvalue,significant,pvalue_adj,significant_adj,log10_edist
A2M,10.374966280032936,0.274,False,1.0,False,1.0159866938738245
ACSL3,8.586879910240157,0.499,False,1.0,False,0.9338353892193539
ACTA2,9.062502257763583,0.445,False,1.0,False,0.9572481277759212
AEBP1,7.222458280860934,0.714,False,1.0,False,0.8586850419050591
AGA,7.358403707093885,0.656,False,1.0,False,0.8667836110234518
AHCY,16.59912408388692,0.046,True,0.9999772238110084,False,1.2200851714393852
AHNAK,13.504854518279956,0.109,False,0.9999999999850864,False,1.130489910089664
APOC2,7.918749781472144,0.594,False,1.0,False,0.8986566202426145
APOD,6.5420627843523675,0.775,False,1.0,False,0.815714707744778
APOE,6.303293928178704,0.846,False,1.0,False,0.7995675591341493
ARMC6,6.8915944488244065,0.759,False,1.0,False,0.8383197125049624
ATP1B1,9.277408983902603,0.45,False,1.0,False,0.9674267023921215
ATP5MD,6.951994846271845,0.751,False,1.0,False,0.8421094414848378
B2M,5.502838559356206,0.906,False,1.0,False,0.740586771795489
BOLA2,7.140879987921352,0.746,False,1.0,False,0.853751734234061
BOLA2B,7.068031632373533,0.686,False,1.0,False,0.8492984844870374
BZW2,6.975790919686403,0.731,False,1.0,False,0.8435934553265703
C1QBP,7.729967664235204,0.564,False,1.0,False,0.8881776771947036
C6orf226,6.511294593019301,0.765,False,1.0,False,0.8136673447445966
C19orf48,9.810706678742122,0.396,False,1.0,False,0.9917002913375897
CCND1,16.08534411557096,0.049,True,0.9999882835288398,False,1.206430356247937
CCND2,11.923957591039937,0.178,False,1.0,False,1.076420422743846
CCR10,4.414823314687368,0.984,False,1.0,False,0.6449133273945022
CCT3,6.641958022803607,0.839,False,1.0,False,0.8222961265284959
CCT6A,11.6878085814987,0.2,False,1.0,False,1.0677330902739819
CD44,7.976170112161924,0.664,False,1.0,False,0.9017944078393811
CD47,7.474559704097857,0.619,False,1.0,False,0.8735856152289041
CD58,7.475286192200571,0.671,False,1.0,False,0.873627824329468
CD59,10.486969682353873,0.293,False,1.0,False,1.0206500124683973
CD63,13.182151507374897,0.098,False,0.9999999998450356,False,1.119986298841004
CD151,9.344340584815882,0.448,False,1.0,False,0.9705486593285254
CD274,6.249851309963418,0.831,False,1.0,False,0.7958696851791873
CDC123,7.637230356228713,0.648,False,1.0,False,0.8829358901089799
CDH19,8.150230603046595,0.575,False,1.0,False,0.9111698968643709
CDK4,9.869630761741064,0.368,False,1.0,False,0.9943009053405638
CDK6,19.32124591012112,0.014,True,0.9614905468577403,False,1.2860351280030928
CDKN1A,12.451736747965299,0.137,False,0.9999999999999766,False,1.0952299303437116
CDKN2A,7.446823478934675,0.638,False,1.0,False,0.8719710593579107
CDKN2B,3.479539285252031,0.997,False,1.0,False,0.541521744199869
CGAS,6.628572502964232,0.793,False,1.0,False,0.8214200109332921
CHCHD2,5.228026584010706,0.926,False,1.0,False,0.718337787259655
CITED1,7.273141872377778,0.663,False,1.0,False,0.8617220591498563
CKS1B,8.465574433611806,0.465,False,1.0,False,0.9276564326024966
CMSS1,7.752560900337755,0.669,False,1.0,False,0.8894451865284223
CORO1A,7.827555007345268,0.578,False,1.0,False,0.8936261282598981
CSPG4,7.315060901439153,0.69,False,1.0,False,0.8642179461891304
CST3,7.3481738601115865,0.681,False,1.0,False,0.8661794232997784
CTPS1,11.5973032427884,0.195,False,1.0,False,1.064357013111803
CTSA,7.259418094336809,0.666,False,1.0,False,0.8609018096054609
CTSB,6.325201926917174,0.812,False,1.0,False,0.8010743945665992
CTSD,9.101615638823347,0.418,False,1.0,False,0.9591184913041173
CTSL,6.589620948083763,0.756,False,1.0,False,0.8188604335788091
CTSO,8.415090523200604,0.542,False,1.0,False,0.9250587921496385
CXCR4,12.178559096577743,0.156,False,0.9999999999999997,False,1.0855959078844528
CYP27A1,8.62353385453477,0.466,False,1.0,False,0.935685272671654
DAG1,8.831526711764468,0.471,False,1.0,False,0.9460357868370441
DDR1,10.814108410248792,0.25,False,1.0,False,1.0339907190158992
DDX17,7.807536891070413,0.655,False,1.0,False,0.8925140449740211
DDX39A,7.248901705923032,0.661,False,1.0,False,0.8602722108207057
DLL3,11.043176866619206,0.241,False,1.0,False,1.0430940278469993
DNMT1,10.411697550043073,0.341,False,1.0,False,1.0175215437768872
E2F1,6.9561544211894955,0.769,False,1.0,False,0.8423692144356337
EEA1,9.998859290304665,0.325,False,1.0,False,0.9999504567816111
EEF1G,10.163663826688094,0.361,False,1.0,False,1.0070502918930095
EIF2S3,9.839823280676512,0.412,False,1.0,False,0.9929872987447341
EIF3K,8.070414469839989,0.598,False,1.0,False,0.9068958392254397
EIF4A1,12.756749536932318,0.156,False,0.9999999999999997,False,1.1057400287733647
