,edist,pvalue,significant,pvalue_adj,significant_adj,log10_edist
ATF2g1,13.844058202228894,0.198,False,0.9998821989667709,False,1.1412634164566544
ATF2g2,10.897556108896254,0.604,False,0.9999999772904498,False,1.037329113773346
ATF2g3,10.204917471428416,0.647,False,0.9999999927565628,False,1.0088094968670658
ATF2g4,12.056737468402218,0.386,False,0.9999988285752599,False,1.081229804391372
BRD4g1,82.15509230484156,0.0,True,0.0,True,1.914634487933597
BRD4g3,12.948727877362217,0.387,False,0.9999988285752599,False,1.1122271040945322
BRD4g4,23.88382296869463,0.014,True,0.5523030335585299,False,1.3781038434507913
CAV1g1,13.067037466379873,0.356,False,0.9999988102330843,False,1.1161771363302189
CAV1g2,12.278084218805134,0.366,False,0.9999988102330843,False,1.089130608001511
CAV1g3,11.37037730745601,0.502,False,0.9999995616548578,False,1.0557748762820478
CAV1g4,9.018934067967109,0.748,False,0.9999999956991943,False,0.9551552120701857
CD86g1,16.504137969998624,0.111,False,0.9964739819872727,False,1.2175928455612304
CD86g2,12.175908107591056,0.362,False,0.9999988102330843,False,1.0855013617887899
CD86g3,7.232323768133313,0.929,False,0.9999999956991943,False,0.8592778598852162
CD86g4,16.64053251057277,0.116,False,0.9969573187683596,False,1.2211672199536783
CMTM6g1,8.832633109029473,0.745,False,0.9999999956991943,False,0.9460901910354309
CMTM6g2,15.013908761466325,0.19,False,0.9998566588802034,False,1.1764937723594524
CMTM6g3,8.491773639199096,0.82,False,0.9999999956991943,False,0.9289984088857414
CUL3g1,24.837523223408255,0.033,True,0.8366836743363952,False,1.395108286189068
CUL3g2,38.661621648949904,0.0,True,0.0,True,1.5872800664131774
ETV7g1,12.052198164400352,0.396,False,0.9999988285752599,False,1.0810662638076636
ETV7g2,9.544266968277498,0.712,False,0.9999999956991943,False,0.9797425787373266
ETV7g3,20.035346735250982,0.063,False,0.9637991193800904,False,1.3017968628108023
ETV7g4,13.459609703946569,0.338,False,0.9999981487901088,False,1.1290324665833604
IFNGR1g1,103.16934986830444,0.0,True,0.0,True,2.0135506938013683
IFNGR1g2,66.98404036902025,0.0,True,0.0,True,1.8259713399349415
IFNGR1g3,113.93776105368721,0.0,True,0.0,True,2.056667681053761
IFNGR1g4,54.38061014818777,0.0,True,0.0,True,1.735444076044871
IFNGR2g1,115.90653862062925,0.0,True,0.0,True,2.064107936453325
IFNGR2g2,74.11334231601211,0.0,True,0.0,True,1.869896399242611
IFNGR2g3,70.08075633485697,0.0,True,0.0,True,1.8455987802359712
