,edist,pvalue,significant,pvalue_adj,significant_adj,log10_edist
2-Methoxyestradiol (2-MeOE2),6.01652191883764,0.0,True,0.0,True,0.7793455032218035
(+)-JQ1,9.096345456756481,0.0,True,0.0,True,0.9588669454257377
A-366,0.6142385830879249,0.1,False,0.6413241413117551,False,-0.21166290704648877
ABT-737,1.0452782758992925,0.016,True,0.4838225406339805,False,0.01923192451323211
AC480 (BMS-599626),2.102108464878768,0.0,True,0.0,True,0.3226551210561745
AG-490 (Tyrphostin B42),1.4476630224897633,0.002,True,0.15478836244247737,False,0.16066748140201023
AG-14361,2.251936592529276,0.0,True,0.0,True,0.35255615798111667
AICAR (Acadesine),1.373560074729241,0.006,True,0.33182879662999065,False,0.13784765869859553
AMG-900,1.0701795499199562,0.013,True,0.45936248843619726,False,0.029456647776552228
AR-42,9.477211771709733,0.0,True,0.0,True,0.9766805851998231
AT9283,3.42612030782756,0.0,True,0.0,True,0.5348026090989222
AZ 960,1.8463129051523453,0.0,True,0.0,True,0.2663053052842019
AZD1480,1.4981668598753402,0.001,True,0.08976004858592684,False,0.17556018605200294
Abexinostat (PCI-24781),11.705865356508994,0.0,True,0.0,True,1.0684035244542711
Alendronate sodium trihydrate,1.8639501551660516,0.0,True,0.0,True,0.2704342944848221
Alisertib (MLN8237),6.247174300922126,0.0,True,0.0,True,0.7956836232619566
Altretamine,1.0025099072474006,0.031,True,0.5859376358915172,False,0.0010886732040567882
Alvespimycin (17-DMAG) HCl,2.909959388043845,0.0,True,0.0,True,0.46388692793039754
Aminoglutethimide ,0.607077005575448,0.107,False,0.6413241413117551,False,-0.21675621670837705
Amisulpride,1.136541269357295,0.012,True,0.43981259488475616,False,0.055585210169864
Anacardic Acid,1.3894050619466753,0.004,True,0.25067130051927883,False,0.14282887678355324
Andarine,0.7983966762174362,0.046,True,0.5859376358915172,False,-0.09778127971596488
Aurora A Inhibitor I,4.5621136531139825,0.0,True,0.0,True,0.6591661003850455
Avagacestat (BMS-708163),1.530122447599382,0.003,True,0.20653606815704986,False,0.18472618649661027
Azacitidine ,6.128019733920652,0.0,True,0.0,True,0.7873201551753057
BMS-265246,2.1771488928333014,0.0,True,0.0,True,0.33788813098170983
BMS-536924,1.8728636179386342,0.001,True,0.08976004858592684,False,0.2725061531717163
BMS-754807,2.93171075695858,0.0,True,0.0,True,0.4671211205211731
BMS-911543,5.773218192879696,0.0,True,0.0,True,0.7614179715247773
BRD4770,1.6763949027869387,0.001,True,0.08976004858592684,False,0.22437633165663431
Barasertib (AZD1152-HQPA),3.943655317291217,0.0,True,0.0,True,0.595898949793515
"Baricitinib (LY3009104, INCB028050)",1.8442004564465861,0.0,True,0.0,True,0.2658081251758969
Belinostat (PXD101),7.822119838321143,0.0,True,0.0,True,0.8933244652498262
Bisindolylmaleimide IX (Ro 31-8220 Mesylate),6.931316686447872,0.0,True,0.0,True,0.8408157418762121
Bosutinib (SKI-606),0.9797544086763565,0.014,True,0.46224524727124205,False,-0.00888277361714088
Busulfan ,1.0309687056332848,0.023,True,0.5409500783890983,False,0.013245482764554952
CEP-33779,1.5818421475931927,0.003,True,0.20653606815704986,False,0.19916314297351032
CUDC-101,1.6702185251903785,0.0,True,0.0,True,0.22277329634255652
CUDC-907,11.396210805690586,0.0,True,0.0,True,1.056760474167072
CYC116,1.928518155612025,0.0,True,0.0,True,0.28522373179163946
Capecitabine ,0.759522777344273,0.067,False,0.5859376358915172,False,-0.11945919753970459
Carmofur,1.1936449042623565,0.008,True,0.38240989483883675,False,0.07687514835457351
Cediranib (AZD2171),1.2010397571616522,0.008,True,0.38240989483883675,False,0.079557383781042
Celecoxib,1.4339108483111715,0.007,True,0.3576042556798063,False,0.15652215043212236
"Cerdulatinib (PRT062070, PRT2070)",1.3511778377466612,0.005,True,0.28883644751028503,False,0.13071251324792402
Cimetidine ,1.007912260604627,0.027,True,0.547860585291851,False,0.0034227281474742367
Clevudine ,0.8831638392931325,0.025,True,0.5438128091776433,False,-0.05395872122374663
Costunolide,0.9013933962800991,0.019,True,0.5267492751515154,False,-0.04508562794866509
Crizotinib (PF-02341066),0.8784709655828635,0.031,True,0.5859376358915172,False,-0.056272587834621295
Curcumin,1.443344576328613,0.002,True,0.15478836244247737,False,0.15937002460261251
Cyclocytidine HCl,1.0417873957752732,0.014,True,0.46224524727124205,False,0.01777909875000814
Dacinostat (LAQ824),21.8312985380621,0.0,True,0.0,True,1.339079568560381
Danusertib (PHA-739358),5.735823344067541,0.0,True,0.0,True,0.7585957671579829
Daphnetin,0.8844927448233335,0.034,True,0.5859376358915172,False,-0.05330572510147598
Dasatinib,4.663599067490878,0.0,True,0.0,True,0.6687212067893723
Decitabine,7.336637493805682,0.0,True,0.0,True,0.8654970609407637
Disulfiram ,0.870796036289903,0.034,True,0.5859376358915172,False,-0.0600835564583902
Divalproex Sodium,4.162933665397674,0.0,True,0.0,True,0.6193994906414553
Droxinostat,0.8469163368360597,0.039,True,0.5859376358915172,False,-0.07215948960440469
EED226,3.7118751202301894,0.0,True,0.0,True,0.5695933566881942
ENMD-2076,1.5353195001237054,0.004,True,0.25067130051927883,False,0.1861987659382896
ENMD-2076 L-(+)-Tartaric acid ,1.7533264612019934,0.001,True,0.08976004858592684,False,0.24386278722804883
Ellagic acid,5.388478777119573,0.0,True,0.0,True,0.7314661766989267
Entacapone,0.8978851033619435,0.032,True,0.5859376358915172,False,-0.04677923367611219
Entinostat (MS-275),3.3846091657173645,0.0,True,0.0,True,0.5295085262052035
Enzastaurin (LY317615),1.009824722860273,0.011,True,0.43113282919374774,False,0.004245999029658571
Epothilone A,2.009530126808343,0.0,True,0.0,True,0.30309452150518407
FLLL32,5.632118211055598,0.0,True,0.0,True,0.7506717615229723
Fasudil (HA-1077) HCl,4.491841518176443,0.0,True,0.0,True,0.6524244250169281
"Fedratinib (SAR302503, TG101348)",2.0690951888620077,0.0,True,0.0,True,0.31578047087190636
Filgotinib (GLPG0634),0.6720932238930715,0.089,False,0.6413241413117551,False,-0.1725704831748534
Flavopiridol HCl,5.6841783441537075,0.0,True,0.0,True,0.7546676956922272
"Fluorouracil (5-Fluoracil, 5-FU)",1.207039759503317,0.008,True,0.38240989483883675,False,0.08172157585418476
Fulvestrant,5.126327268234689,0.0,True,0.0,True,0.7098063283896743
G007-LK,3.965144918409834,0.0,True,0.0,True,0.5982590645705419
GSK1070916,1.813686810144759,0.0,True,0.0,True,0.2585622946485475
GSK J1,1.8460749081480685,0.0,True,0.0,True,0.26624931940675006
GSK-LSD1 2HCl,1.2326954439453601,0.009,True,0.386270014885189,False,0.09085579082776889
Gandotinib (LY2784544),0.9688794612088714,0.02,True,0.5267492751515154,False,-0.01373025038794576
Givinostat (ITF2357),8.150036912945438,0.0,True,0.0,True,0.9111595757402479
Glesatinib?(MGCD265),0.8428684058022924,0.034,True,0.5859376358915172,False,-0.07424022501351446
Hesperadin,10.347404456542321,0.0,True,0.0,True,1.0148314250038901
