,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,ncells,significant_adj_new
0,0.0027962028188198707,ETV7,411.3863301090411,1.0,False,1.0,False,2978.740418995947,1554.392706960135,3,False (lost)
1,0.0027962028188198707,control,0.0,0.0,True,0.0,control,2433.066926207877,2433.066926207877,3,control
2,0.02507208781817638,ETV7,39.05285147323019,1.0,False,1.0,False,2465.561850308785,2325.4730728713794,26,False (lost)
3,0.02507208781817638,control,0.0,0.0,True,0.0,control,2425.3511957720675,2425.3511957720675,26,control
4,0.06912625135579575,ETV7,12.53568421593917,0.0,True,0.0,True,1345.8079180772236,1304.3619708078852,70,True
5,0.06912625135579575,control,0.0,0.0,True,0.0,control,1337.1927466233294,1337.1927466233294,70,control
6,0.1339745962155613,ETV7,8.350169698764716,0.0,True,0.0,True,829.3370809503165,902.6324092412927,134,True
7,0.1339745962155613,control,0.0,0.0,True,0.0,control,732.2714385670405,732.2714385670405,134,control
8,0.2181685175319702,ETV7,5.877983072050597,0.0,True,0.0,True,609.8249481147446,627.2522261383845,219,True
9,0.2181685175319702,control,0.0,0.0,True,0.0,control,577.2210676422627,577.2210676422627,219,control
10,0.31982726222908053,ETV7,5.181419820853819,0.0,True,0.0,True,516.0712032175054,543.8551041614245,320,True
11,0.31982726222908053,control,0.0,0.0,True,0.0,control,475.5270323694686,475.5270323694686,320,control
12,0.43667994193637794,ETV7,5.568007165932158,0.0,True,0.0,True,435.48214435565257,449.26117822407207,437,True
13,0.43667994193637794,control,0.0,0.0,True,0.0,control,409.31601196619687,409.31601196619687,437,control
14,0.5661162608824419,ETV7,4.48959848854804,0.0,True,0.0,True,396.1245774361231,416.4148858637033,567,True
15,0.5661162608824419,control,0.0,0.0,True,0.0,control,366.32978872396853,366.32978872396853,567,control
16,0.7052448255890957,ETV7,4.62056410862084,0.0,True,0.0,True,366.7412313038774,385.5994921172642,706,True
17,0.7052448255890957,control,0.0,0.0,True,0.0,control,337.99476869881295,337.99476869881295,706,control
18,0.8509577338238256,ETV7,4.378933297884117,0.0,True,0.0,True,342.8543523091213,349.6509796038758,851,True
19,0.8509577338238256,control,0.0,0.0,True,0.0,control,326.47658943217766,326.47658943217766,851,control
20,1.0,ETV7,4.303992711372814,0.0,True,0.0,True,329.77137709771574,335.4665550657129,1000,True
21,1.0,control,0.0,0.0,True,0.0,control,315.13812591369197,315.13812591369197,1000,control
