,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,ncells,significant_adj_new
0,0.0027962028188198707,2i (LIF+MEKi+GSK3i),99.02978011835705,0.0,True,0.0,True,2218.3352560189046,1844.8544235991428,34,True
1,0.0027962028188198707,control,0.0,0.0,True,0.0,control,2341.1123122812646,2341.1123122812646,34,control
2,0.02507208781817638,2i (LIF+MEKi+GSK3i),50.01342190373242,0.0,True,0.0,True,869.5625999723753,735.8349889256857,302,True
3,0.02507208781817638,control,0.0,0.0,True,0.0,control,902.0209779977358,902.0209779977358,302,control
4,0.06912625135579575,2i (LIF+MEKi+GSK3i),55.42306367427517,0.0,True,0.0,True,720.685393835709,625.4681470442744,830,True
5,0.06912625135579575,control,0.0,0.0,True,0.0,control,709.4320214819227,709.4320214819227,830,control
6,0.1339745962155613,2i (LIF+MEKi+GSK3i),54.37008501682715,0.0,True,0.0,True,687.9152536405421,608.6476591115944,1609,True
7,0.1339745962155613,control,0.0,0.0,True,0.0,control,663.4166535945999,663.4166535945999,1609,control
8,0.2181685175319702,2i (LIF+MEKi+GSK3i),47.0899425201963,0.0,True,0.0,True,666.7167877485605,607.1707340128793,2620,True
9,0.2181685175319702,control,0.0,0.0,True,0.0,control,636.466281473776,636.466281473776,2620,control
10,0.31982726222908053,2i (LIF+MEKi+GSK3i),48.95602251310504,0.0,True,0.0,True,660.718583699686,603.4135041229376,3840,True
11,0.31982726222908053,control,0.0,0.0,True,0.0,control,624.44693392889,624.44693392889,3840,control
12,0.43667994193637794,2i (LIF+MEKi+GSK3i),48.91879960145843,0.0,True,0.0,True,656.3434312128704,600.0081192548133,5243,True
13,0.43667994193637794,control,0.0,0.0,True,0.0,control,619.851909987053,619.851909987053,5243,control
14,0.5661162608824419,2i (LIF+MEKi+GSK3i),49.73510193636349,0.0,True,0.0,True,652.9249293625046,595.9581963726453,6797,True
15,0.5661162608824419,control,0.0,0.0,True,0.0,control,615.9438601361651,615.9438601361651,6797,control
16,0.7052448255890957,2i (LIF+MEKi+GSK3i),50.17912665748719,0.0,True,0.0,True,652.7386500264289,594.5349139636027,8468,True
17,0.7052448255890957,control,0.0,0.0,True,0.0,control,616.3666995703395,616.3666995703395,8468,control
18,0.8509577338238256,2i (LIF+MEKi+GSK3i),50.986111232512485,0.0,True,0.0,True,650.8204751451117,593.4989647513473,10217,True
19,0.8509577338238256,control,0.0,0.0,True,0.0,control,612.2582061388367,612.2582061388367,10217,control
20,1.0,2i (LIF+MEKi+GSK3i),51.09935006031009,0.0,True,0.0,True,650.4200243312062,593.0927728126776,12006,True
21,1.0,control,0.0,0.0,True,0.0,control,611.7055340592086,611.7055340592086,12006,control
